"languageCode","translationId","languageName","languageNameInEnglish","dialect","homeDomain","title","description","Redistributable","Copyright","UpdateDate","publicationURL","OTbooks","OTchapters","OTverses","NTbooks","NTchapters","NTverses","DCbooks","DCchapters","DCverses","FCBHID","Certified","inScript","swordName","rodCode","textDirection","downloadable","font","shortTitle","PODISBN","script","sourceDate"
"eng","engoke","English","English","","ebible.org","Targum Onkelos Etheridge","The Targums of Onkelos and Jonathan Ben Uzziel On the Pentateuch With The Fragments of the Jerusalem Targum From the Chaldee by J. W. Etheridge, M.A. First Published 1862-65.","True","public domain","2020-12-20","http://ebible.org/engoke/","5","187","5848","0","0","0","0","0","0","ENGOKE","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engoke1865eb","","ltr","True","DejaVu Serif","Targum Onkelos Etheridge","","Latin","2021-11-30"
"eng","engourb","English","English","American","ebible.org","One Unity Resource Bible","The One Unity Resource Bible translation of the Holy Bible into American English with some transliterated Hebrew notations","True","Copyright © 2016 Thomas Robinson","2016-10-03","http://ebible.org/engourb/","8","434","10520","4","89","3779","2","17","931","ENGOUR","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engourb2016eb","","ltr","True","DejaVu Serif","One Unity Resource Bible","978-1-5313-0840-7","Latin","2020-10-09"
"eng","engPEV","Aboriginal English","English","Australian Aboriginal","ebible.org","Plain English Version","Portions of the Holy Bible in the Plain English Version translation for Australian Aboriginal people who speak English as a second language","True","Copyright © 2019 The Plain English Project","2024-07-13","http://ebible.org/engPEV/","5","61","1123","21","192","5042","0","0","0","ENGPEV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engPEV2019eb","","ltr","True","DejaVu Serif","Plain English Version","","Latin","2024-07-16"
"eng","eng-rv","English","English","archaic British","ebible.org","Revised Version with Apocrypha (1895)","The Revised Version of the Holy Bible (1895) with Apocrypha","True","public domain","2024-07-13","http://ebible.org/eng-rv/","39","929","23145","27","260","7957","14","173","5776","ENGRV5","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engRV1895eb","03222","ltr","True","Gentium","Revised Version","978-1-5313-0215-3","Latin","2024-07-13"
"eng","eng-t4t","English","English","American","ebible.org","Translation for Translators","A Bible Translation for Bible Translators which makes implied information explicit in the text as an aid to the translator who may need that information to correctly translate into a particular language.","True","Copyright © 2008-2017 Ellis W. Deibler, Jr.","2024-02-21","http://ebible.org/eng-t4t/","39","929","22769","27","260","7871","0","0","0","ENGT4T","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engT4T2014eb","00025","ltr","True","DejaVu Serif","Translation for Translators","978-1-5313-0216-0","Latin","2024-07-13"
"eng","engtcent","English","English","","ebible.org","Text-Critical English New Testament","The New Testament based on the Byzantine Text with extensive text-critical footnotes","True","Copyright © 2022 Robert Adam Boyd","2024-05-31","http://ebible.org/engtcent/","0","0","0","27","260","7953","0","0","0","ENGTCE","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engtcent2022eb","","ltr","True","DejaVu Serif","Text-Critical English NT","","Latin","2024-07-17"
"eng","engtnt","English","English","archaic British","ebible.org","Tyndale New Testament","The Tyndale New Testament (1534)","True","public domain","2020-12-20","http://ebible.org/engtnt/","0","0","0","27","260","7957","0","0","0","ENGTNT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engtnteb","","ltr","True","DejaVu Serif","Tyndale NT","","Latin","2019-10-23"
"eng","eng-uk-lxx2012","English","English","British","ebible.org","LXX2012: Septuagint in British/International English 2012","The Septuagint with Apocrypha, translated from Greek to English by Sir Lancelot C. L. Brenton and published in 1885, with some language updates (British/International English)","True","public domain","2024-03-19","http://ebible.org/eng-uk-lxx2012/","39","930","22876","0","0","0","15","175","5449","ENGLXU","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engUKLXX2012eb","03222","ltr","True","FreeSerif","British English Septuagint 2012","978-1-5313-0217-7","Latin","2024-07-13"
"eng","engULB","English","English","","ebible.org","Unlocked Literal Bible","The Holy Bible in English, Unlocked Literal Bible translation","True","Copyright © 2017 Door43 World Missions Community","2020-12-04","http://ebible.org/engULB/","39","929","23135","27","260","7959","0","0","0","ENGULB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engULB2017eb","","ltr","True","DejaVu Serif","Unlocked Literal Bible","","Latin","2019-06-13"
"eng","eng-web","English","English","American","ebible.org","World English Bible with Deuterocanon","The World English Bible is a Public Domain translation of the Holy Bible into modern English. Includes Apocrypha/Deuterocanon.","True","public domain","2024-07-13","http://ebible.org/eng-web/","39","929","23145","27","260","7958","15","213","6955","ENGWEB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWEB2015eb","00025","ltr","True","Gentium Plus","World English Bible with Deuterocanon","978-1-5313-0218-4","Latin","2024-07-13"
"eng","eng-webbe","English","English","British","ebible.org","World English Bible British Edition with Deuterocanon","The World English Bible British Edition is a Public Domain translation of the Holy Bible into contemporary British/International English. Includes Apocrypha/Deuterocanon.","True","public domain","2024-07-13","http://ebible.org/eng-webbe/","39","929","23145","27","260","7958","15","213","6955","ENGWEU","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWEBBE2015eb","03222","ltr","True","Gentium Plus","World English Bible British Edition with Deuterocanon","978-1-5313-0220-7","Latin","2024-07-13"
"eng","eng-web-c","English","English","American","ebible.org","World English Bible (Catholic)","The World English Bible with Catholic Book Order","True","public domain","2024-06-22","http://ebible.org/eng-web-c/","37","907","22621","27","260","7958","9","161","4829","ENGWEBC","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWEBc2015eb","00025","ltr","True","Gentium Plus","World English Bible (Catholic)","978-1-5313-0219-1","Latin","2024-07-13"
"eng","engwebp","English","English","American","ebible.org","World English Bible","The World English Bible is a Public Domain translation of the Holy Bible into modern English.","True","public domain","2024-06-22","http://ebible.org/engwebp/","39","929","23145","27","260","7958","0","0","0","ENGWEBP","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWEB2015peb","00025","ltr","True","Gentium Plus","World English Bible","978-1-5313-0226-9","Latin","2024-07-13"
"eng","engwebpb","English","English","British","ebible.org","World English Bible British Edition","The World English Bible British Edition is a Public Domain translation of the Holy Bible into contemporary British/International English.","True","public domain","2024-04-15","http://ebible.org/engwebpb/","39","929","23145","27","260","7958","0","0","0","ENGWEBPB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWEBBE2015peb","03222","ltr","True","Gentium Plus","World English Bible British Edition","978-1-5313-0227-6","Latin","2024-07-13"
"eng","engwebster","English","English","archaic American","ebible.org","Noah Webster Bible","The Holy Bible, Containing the Old and New Testaments, in the Common Version, with Amendments of the language by Noah Webster, LL.D.","True","public domain","2019-10-22","http://ebible.org/engwebster/","39","929","23145","27","260","7957","0","0","0","ENGWBS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engwebster1833eb","","ltr","True","DejaVu Serif","Webster Bible","","Latin","2019-10-23"
"eng","engwebu","English","English","American","ebible.org","World English Bible Updated","The Holy Bible in English, World English Bible Upudated translation","True","public domain","2024-07-13","http://ebible.org/engwebu/","39","929","23145","27","260","7958","15","213","6955","ENGWEBU","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engwebu2024eb","","ltr","True","Gentium Plus","World English Bible Updated","","Latin","2024-07-13"
"eng","engwmb","English","English","American Messianic","ebible.org","World Messianic Bible","The World Messianic Bible is a Public Domain translation of the Holy Bible into modern English as spoken among Messianic Jews. It has also been called the World English Bible: Messianic Edition and the Hebrew Names Version.","True","public domain","2024-04-29","http://ebible.org/engwmb/","39","929","23145","27","260","7958","0","0","0","ENGWMB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWMB2015eb","00025","ltr","True","Gentium Plus","World Messianic Bible","978-1-5313-0228-3","Latin","2024-07-13"
"eng","engwmbb","English","English","British Messianic","ebible.org","World Messianic Bible British Edition","The World Messianic Bible British Edition is a Public Domain translation of the Holy Bible into modern English as spoken among Messianic Jews outside of the United States of America. This translation is also known as the World English Bible: British Messianic Edition.","True","public domain","2024-07-12","http://ebible.org/engwmbb/","39","929","23145","27","260","7958","0","0","0","ENGWMU","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWMBB2015eb","03222","ltr","True","Gentium Plus","World Messianic Bible British Edition","978-1-5313-0229-0","Latin","2024-07-13"
"eng","engwyc2017","English","English","Archaic","ebible.org","Wycliffe's Bible with Modern Spelling","English: Wycliffe's Bible Modern Spelling (with Deuterocanon)","True","Copyright © 2001,2010,2011,2012,2013,2015 Terry Noble","2019-09-26","http://ebible.org/engwyc2017/","11","246","5976","5","31","778","2","31","1479","ENGWYC2017","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engwyc2017eb","03222","ltr","True","DejaVu Serif","English: Wycliffe's Bible Modern Spelling (with Deuterocanon)","","Latin","2019-09-26"
"eng","engwyc2018","English","English","Archaic","ebible.org","Wycliffe's Bible with Modern Spelling (Enhanced)","English: Wycliffe's Bible Modern Spelling (Enhanced) (with Deuterocanon)","True","Copyright © 2001,2010,2011,2012,2013,2015 Terry Noble","2019-09-25","http://ebible.org/engwyc2018/","11","246","5976","5","31","778","2","31","1479","ENGWYC2018","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engwyc2018eb","03222","ltr","True","DejaVu Serif","English: Wycliffe's Bible Modern Spelling (Enhanced) (with Deuterocanon)","","Latin","2019-09-26"
"eng","engWycliffe","Middle English","English","Middle","ebible.org","Wycliffe Bible","This is the Pentateuch and Gospels from The Holy Bible, containing the Old and New Testaments, with the apocryphal books, in the earliest English version made from the latin Vulgate by John Wycliffe and his followers. c.1395","True","public domain","2016-11-08","http://ebible.org/engWycliffe/","5","187","5843","4","89","3779","0","0","0","ENGW88","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engWycliffe1395eb","03222","ltr","True","DejaVu Serif","Wycliffe Bible portions","978-1-5313-0845-2","Latin","2021-11-30"
"eng","engylt","ENGLISH","English","archaic British","ebible.org","Young's Literal Translation","Young's Literal Translation of the Holy Bible","True","public domain","2019-10-20","http://ebible.org/engylt/","39","929","23145","27","260","7957","0","0","0","ENGYLT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engylt1898eb","","ltr","True","Gentium","Young's Literal Translation","","Latin","2019-10-21"
