target_text,source_text,page_number
"Noka upni niwra: ""Itro'a tsoliwut lia hadi wa pa ukleh up-a'na wal pia tro'a tsoliwutu.""",and she said he ought to come live with her since she had no children.,4
"Noka rora rden nek la hande wa pa nhi' pa llawan wa, mere namno'a-namrara.","So they stayed together and the younger brother grew up. However, he contracted a disease.",4
"Noka ler ida na ratlin de kakni di e lernana makhuri miaha-ktor leli, rre'ela nhuri miaha-ntor leli.",Then one day he heard that his brother was with a goldsmith and was learning to make gold jewelry.,4
"Noka garni nakotla upni: ""Upa a'u la umkekteka makhuri miaha-ktor leli ri na.""","So he said to the old woman, ""Grandma, I want to go see this goldsmith.""",4
"Noka upni niwra: ""Yowa de mlia'teka!""","The grandmother said: ""Go have a look.""",4
"Noka lla'awa dewade garni nayapi a'altawi la ma'nu maka ira rwa'alnana totpena nala la kakni, pa kakni namkeka totpena kakni natiana niwra: ""He' makala a'altawi ma'nu warat dina?"" totpena natga garni.","Then he went and wove some palm leaves together and made it into the shape of the bird which he had hit with the stone. He wanted to give it to his elder brother as a sign so that he would look at it and say, ""Who is it that gives me these palm leaves woven like the 'Bird of the West'?"" He wanted his brother to recognize that it was him.",4
"Mere kakni namkeka a'altawi ma'nu warta, noka na'ala pa nhi'a la maha na edon natian wali garni wali.","However, when the elder brother saw the image of the bird he just looked at it and took it and made it into gold, but did not even ask about his younger brother.",4
"Noka garni nmaiwa pa nakotla upni niwra: ""Upa ahgi'a ka'ku totpa natg a'u mere rre'a-ntarwa pa naplinu a'au wa.","Then the younger brother came home and said to the old woman, ""I tried to make it so my older brother would recognize me but he is already rich and does not (want to) recognize me any more.",4
"Na' to'o la a'altawi mak a'uyapia la ma'nu wa rla pa nkenia la mahani.""","He just took the leaves I wove like the bird and made it into gold.""",4
"Noka upni niwra: ""Takot pa nre'a-ntarg olekwa pa naplinu o'o wa.""","The old woman said: ""He has already become so wealthy that he has forgotten you.""",4
"Rrora rholiwutu-rletwutu nek la hande pa lera ida na ne kota-de'eta nwattiawua Melai-Watkali, nmai de de riwra rai Melai Watkali nhi'a weta-weta, pa ha meni lla'pa nwetnana demade nora a'nani patke'a ida rmehlima, yoma a'nani patke'a wonem era re.",So the younger brother continued to stay with the old woman until one day news came from Melai-Watkali that the king of Melai-Watkali had made a riddle. Whoever was able to solve the riddle could marry one of his six daughters.,5
"Noka kakni Rettiau Lay di nwetrul lie'u-ndadli lliara pa totpena nla lla' pa nareri-nawaka maran Melai a'nani id pa nora rmehlima, hornama nwetnana kokkoi hade me weta-weta.","The elder brother, Rettiau Lay planned to sail there and try to solve the riddle so that he could marry one of the king's daughters.",5
Pa puou mniotni riy ida woru ror wali.,There were other people on the boat also.,5
"Noma garni Rettiau Ru'ru di natlinnana noka nakotla upni: ""Upa a'u la wuatena au pa agora mla' Melai.""","The younger brother found out about this and said to the old woman, ""Grandma, I would like to go along to Melai-Watkali.""",5
"Mere upni nakotiwra: ""Up ei, yana mlia'a ma makre'a-maktarga hare pa rla rwahaka mehlimni-marya'ani na omlia' wali.""","But the old woman said: ""Grandchild, do not go off with those rich people to get married,""",5
"Mere upni nahmen memna nakot niwra: ""Upa a'u la'a, a'u edona lia uhaka mehli'mu-marya'u mere a'u lia umkek to'a.""","But he really wanted to go. He said: ""I do not want to go get married. I just want to go have a look,""",5
"Noka upni niwra: ""Dema mlia mpuate'nu pa mlia'awa.""","Then the old woman said: ""Then go with them.""",5
"Noka lla nwatena pa rreinana niwra: ""A'u lia edon uhaka a mehli'mu ma a'u lia umkek to'a noha-rai.""","Then he went asked for a ride saying: ""I'm not trying to get married, I just want to go have a look at that land.""",5
Noka rreinana-rra'nana pa la la' pa nora rhopal mere ndella hota rria'geni nattiaka rria'a rrietni yoma namno'a-namrara.,Then they allowed him to sail with them but he just stayed in the hull of the boat because of his disease.,5
Noka rla'awa.,Then they left.,5
Rla'awa Melai wa pa kakni rerun la keranni wa.,"When they got to Melai-Watkali, the elder brother got off and went ashore.",5
"Rerun la keranni pa rhoi-rtania pa nhoruwa noka rakotiwra: ""Yowa, makota de de u'upu-a'anu pa miora mmiehlima hornama mikwietnana weta-wet hadi ma kokkoia di.""","After they served him food, the king said, ""Yes, you can marry one of my daughters if you guess the riddle.""",5
"Noka maran Melai nhi'a petu wu'unu wonema pa nhi'a pa namdiddidni pa riy raplinga onni meni, ltutnu meni.",Then the king took six pieces of bamboo and made them smooth so no one knew which piece was from the middle or which piece was from the end of the bamboo.,5
Pa nhopan pa rakwieta.,Then the king told him to guess.,5
Rakwieta mere raplinga.,"The elder brother tried to guess, but did not know (the answer).",5
"Noka maran Melai nhopan pa rala wawi a'nani wonema pa nmai na'nama nhopan pa niwra: ""Mikwietteka wawi a'nani yanulu ed ha meni ma, letgara ha meni ma, gari ha meni.""","Then the king of Melai-Watkali brought out six pigs, saying, ""Guess which one is the oldest, middle and youngest.""",5
"Noma rakwieta mere edona rakwietnana, raplinga.","So the elder brother tried to guess again, but he did not know so he guessed wrong.",6
"Noka rai nakota niwra: ""Riy rhoruwa?""","Then the king said, ""Is there no one else (from the boat to guess the riddle)?""",6
"""Ei riy hadamonna, riy hadamonan la puou.""","""That is all, there is no one else in the boat,"" (the elder brother replied)",6
"Ne rai niwra: ""Yan riy erla de mpiolga pa nmai.""","The king said, ""There must be someone; call him to come,""",6
"Nakot niwra: ""Ei riy id etla mere namno'a-namrara.""","He answered, ""There is one person, but he is diseased,""",6
"Noka rai niwra: ""Namno'a-namrar mana riy mormioria pa mlia mpiolga pa yana nakwietnana kokkoi rina.""","The king said, ""It does not matter if he is diseased, he is still a person. Go call him, he might be able to solve the riddle.""",6
Noka rhopan pa rla rpolga.,Then they told them to go call him.,6
"Muanke'a ida lla npolga nakot niwra: ""Ei muerun la!""","The man who went to call him said, ""Come on down!""",6
"Noka nerun la wa, noma niwra: ""A'u la ulg o'a ma plet pa mtiy.""","When the younger brother came off the boat (the man) said, ""I'm going on ahead, you follow quickly.""",6
Noka nayalindoinia pol yatni-rain yatni pa nerun la keranni pa lla'awa.,Then the younger brother changed his dirty clothes and got off the boat to go (follow the man).,6
"Lla lla'pa nden ma'ta la ppuohra gaini, edona lla' ma'ata leta ralamni de nwatromnana patke' ida (happe' ida).","While he was still at the gate, before he even had a chance to go into the village, he met an old woman.",6
Happe' di nwawa Puilioi-Romloi.,This woman's name was Puilioi-Romloi.,6
"Noka happe' di nakotla niwra: ""Upa omlia meni?""","She said to him, ""Grandchild, where are you going?""",6
"""Up ei, rai npolg a'u pa ailia lla' pa rakot hya-hya'a, a'u ge lia'teka.""","""Grandma, the king came and called me to come. He wants to say something to me, I had better go see.""",6
"Noka happe' di nakotla niwra: ""Upa omlia de omukwieta kokkoi petu rahlanu wonema ma wawi a'nani wonema.","Then the old woman said to him, ""When you go to guess the six pieces of bamboo and the six piglets.",6
"Omlia mukwieta, omlia la' de mumkek nek pa llaran mota ntai la petu honi id de de petu onni hade pa emkade mammain nek pa lla genia petu honi.",When you are guessing make sure you look and see where the blue fly lands. The piece of bamboo it lands on will be the end. Then it will land on the middle and then on the other end.,6
Wawi a'na mana emkade wali.,The same with the pigs.,6
"Mumkek nek pa llaran mota ntai la wawi meni de wawi a'nani yanulu hade, ntai owa'an la han meni de mak lernohora yanulu, letgara, mak lernohora letgara, gari, mumkek nek pa llaran mota ntai la ha meni de mukwiet hade, mliernohora.""","It will land on the eldest first, then the middle one and then on the youngest. Make sure you look where the blue fly lands and then guess it.""",6
"""Yowa.""","(He answered), ""Okay""",6
Noka lla'wa.,Then he went.,7
"Lla'awa pa la' noka rhopan namtatna nhornioka rai nakot niwra: ""Hare honnona rakwieta kokkoi mere ta'eni rwetnana pede tre' ma'ta omuemmeh'a pa dodo'on di pa ompwetnana de omuora a'nu ida mmiehlima.""","When he got there he was asked to be seated and then the king said, ""Everyone has tried to guess the riddle, but they have not been able do it. You are the only one left. Have a try so you can marry one of my daughters.""",7
"Noka rla rala petu wu'u matnemnemni pa nmai noka namkek nek pa llaran mota ntai la ha meni dewade nakotiwra: ""Petu onni hadi, rahlanu letgarni hadi na tutnu hadi.""","Then they brought out the six pieces of bamboo. The younger brother looked to see where the blue fly landed and then said, ""This is the end piece, this is the middle and this is the other end.""",7
"Noka rpolu owa'ana wawi a'na rwonema rmai pa nakwieta de namkek nek pa llaran mota ntai la wawi a'nani noka niwra: ""Wawi a'nani yanulu eda di.""","Then they called again for the six piglets to come so he could guess. Then he looked where the blue fly landed. Then he said, ""This is the eldest.""",7
"Llaran mota ntai owa'an la ida: ""A, mak lernohora yanulu ed hadi.""","Then the blue fly landed on another. (So he said,) ""This one is the second eldest.""",7
"Llaran mota ntai owan la ida: ""A, letgara hadi.""","Then the blue fly landed on another. (So he said) ""This is the middle one.""",7
Emkade pa lla'awa gari pa gari hoho'a dewade nwetnana oleka kokkoi wa.,In that manner he continued and solved the whole riddle by guessing which one was younger until he got to the very youngest.,7
"Noka rai niwra: ""Mpwetnan oleka kokkoi pa a'nu wonem hare pa rmai pa mpualiria!","Then the king said, ""You have solved the riddle. I have six daughters. Come and choose!""",7
A o sukmu la ha meni.,Which one do you like?,7
"Mere mukwiet ulga, a' a'nu wonema re yanulu ha meni, letgara ha meni, gari ha meni, pa ompwetnana nanpena muor ida mmiehlima.""","But first you must guess which one is the oldest, the middle and the youngest.""",7
"Noka ne'era a'nani re, mere edona re'era naplollola, gari ndella handi na, yanulu ndella handi na, letgara ndella handi.","Then the king lined up his daughters, but not according to age. He mixed them up.",7
"Noka nakwieta, namkek nek pa llaran mota ntai la riy id dohoni dewade de niwra: ""A yanulu eda hadi.""","Then the younger brother attempted this final riddle. He looked at where the blue fly landed on one of the girl's hair and said, ""This is the oldest.""",7
"Pa llaran mota nnem pa ntai owa'an la id dohoni de niwra: ""Maklernohora yanulu hadi.""","Then the blue fly landed on another one's hair. Then he said, ""This is the next to the oldest,""",7
"Pa llaran mota nnem pa ntai owa'an la id dohoni dewade niwra: ""A letgara hadi la.""","The blue fly landed on another one's hair so he said, ""This is the middle (child).""",7
"Emkade mammain pa nakwietnan mommuoga dewade rai niwra: ""O mukwietnana oleka kokkoi ri wa pa o ralammu niwra muora a' a'nu meni de.""","He continued on like this until he solved the whole riddle. Then the king said, ""You have solved the riddle. You may choose which ever daughter you would like.""",7
"Noka nakotiwra: ""Gari.""","He said, ""The youngest,""",7
Noka nor gari rmehlim pa.,Then the two of them got married.,7
Nor gari rmehlim pa rwahi'a-rwayodi pa rwaho'o-rwatierun pa rawallia Lgon wa.,Then the two of them got married then they prepared to return to Luang.,7
Mere rai a'na di edon nemun gera na nemun mammaini norkohola.,"But the king's daughter would not drink water, only the milk from young coconuts.",8
Noka rken norkohol la puou.,"So they loaded the boat with young coconuts,",8
Me rhi'a tniernu totpena rai a'nani patke'a ndella puou wawannu.,And they made a tent so the king's daughter would stay on the boat's deck.,8
Ne kakni Rettiau Lay di nwaror oleka klili-kdiori ohpa-lahara totpena na'ala patke'eni yoma ralamni namehra la garni.,"But the elder brother Rettiau Lay (felt angry and hurt), so he schemed of a way to deceive his younger brother and to take his new wife.",8
Noka rha'atla puou pa rhopalwa.,Then they got on board the boat to sail.,8
"Rhopal noka ankoda hadi ma kakni di nawew la puou mniotni: ""La' de de miy de mommuou wehla ta'wa re honnona, mkien nieka prahni la tio'ora.","When they (were about) to sail, the elder brother and the captain said to those on the boat, ""When we go, hide all of your machetes and knives, leave only the ax out.",8
"Mere prahni de mhi'a pa nkalkiali, totpena italla tsapil nora de de omriana de natliehudoin la.""","But make the handle a bit loose so that when he takes it to open the coconut (for his wife) the blade will come off.""",8
"Noka puou mniotni rade' mommuou wehla ta'wa re honnona, prahni nmemmeh'a ndella tio'ora.",Then the crew hid all the knives and machetes and left only the ax out.,8
Noka rhopalwa.,Then they set sail.,8
"Rhopal pa rmaiwa hletan letgar wa dewade de patke'a ttiernu keran pa nhopna rhi' nor pa nemnu, nhopan muanke'eni di natian wehla ta'wa pa ralla rhapil nora, riwra: ""A wehla hadamonna, ta'wa hadamonna, e prahni id etla pa mualla mhuapil nora.""","When they had left the shore behind and were over the deep blue water, the girl got thirsty and ordered them to get a coconut ready for her to drink. She told her husband to get a knife or machete to cut open the coconut, but the crew said there were none. There was only an ax available to cut open the coconut.",8
"Noka na'ala prahni di pa niwra nhapil la puou ralamni, kakni ankoda niwra: ""Ei yana mhi'a kdeha puou di, mhuaplia la puou aratni.""","Then his brother, the boat driver, said, ""Hey, do not get this boat dirty. Cut it open on the edge of the boat.""",8
Noka nhap lia la puou aratni pa nhap lia pa rran la prahni emkadewa de prahni natliehudoin la pa ntunierun la hletna wikni.,"Then the younger brother took the ax to cut open the coconut on the boat's edge, but the blade fell off and sunk deep down into the sea.",8
"Dewade kakni nakotla: ""Mlia mual memna a prahni'u, ma a'a ge donna uhaka kupna-kai leli-mah dom la prahni hnierannu, mlia mual memna a prahni'u la hletna wikni.""","Then the elder brother said, ""You go get my ax head. I do not want money or gold things in exchange for it so go to the bottom of the sea and get my ax head.""",8
"Dewade garni nherieriwia pa nmela pa nakotla hawni: ""Kekwali de ailia gala prahni mere na'ala patke'a kdielli pa nakdielia. Then he took the girl's ring off and put it on his finger.""","Then the younger brother was quiet until night time. Then he said to his wife, ""In a little while I will go get the ax head."" Then he took the girl's ring off and put it on his finger.",8
"Lla'pa Orgahi-Ora'a nayoryori a'u de a'u wali, mere ailia pa muati-muoli hgo'a tiawu de de takot pa.""","If God wills to protect me I will return, but I cannot control whether I will return or am lost in the sea.""",8
Ne muor neka puou mniotni mlia'awa lla' pa amuormiori de mpieiwei-mniarnar a'u pa nodia pa a'u wali mere edonan de takot pa!,"You go on with the rest of those on the boat. Wait for me to return, in case I live to return. However if I die and am lost at sea that is beyond my control.",9
"Emkadewa pa lla'awa puou li'irnu pa repreparreria pa nmer la tipur dewade npollia Uplerlawna Mempulwatnu, lir Melai niwra nsumbain la Itmatromlawanni.","Then he went to the back of the boat and early in the morning when the first red rays appeared in the east he called to God, in Malay they call this 'praying to the Lord'.",9
"Na'ul lia watu maka rara werta puou id na'nama ntania la heyanan na'nima npollia Uplerlawna: ""Ei Matromlawnu na, Uplerlawna Mempulwatnu, dodo'on di de aupuolu-wuak ti o'a, mhueri tlinmu-mutatar matmu, mutlina-mutailia ali'ru-atu'nu, polpuo'lu-wakwa'ku.","He picked up a rock which was in the boat, and he offered it up to heaven then called on God. ""Oh God, the Almighty, now I am asking you, turn your head and eyes to listen to my words and my request.",9
Dodo'on di de ailia'awa wuwulla hletna tpopioini-yoiri kdieldelma.,Now I am going into the deepest sea.,9
A'uwilu-uwala wat di la a' ino'nu.,Consider/compare this rock as/to my body.,9
"La lla'pa muyori-mudari a'u pa a'uti'ila-uwal die, de wat di a'utretnia la tah'i de npali.","If you will protect me and allow me to return, let this rock I throw into the water float.",9
Mere ailia lla'pa muati-muolu ahgo'a-tiawu de muala pa wat di nteprernu.,But if I will die in the sea then cause this rock to sink.,9
Dewade de natrerun watu la tah'i de watu npali.,"Then he dropped the rock into the water, and the rock floated.",9
"Noka na'ala pa lokr owa'ana: ""Ei Matromlawnu na aupuolu owa'ana awuak owa'ana ti o'a, plola lla'pa amuati-muolu hgo'a-tiaw la hletan di wikni-yoir di ralamni de wat di mana natniepar wehl ihi nadguaur watu metma.","Then he took it again and earnestly prayed, ""Oh God, I am asking you again, if it is true that I will die in the sea then let this rock sink like the steel of a machete or a black rock.",9
Mere lla' pa muormiori-diardiari mhimpai-mmuahatg a'u pa a'uti'ili-uwallia a noh'u-a rai'yu de wat di npali.,"But if I will live, and you will protect me and allow me to return to my land then let this rock float.""",9
"Noka natrernu owa'ana watu de, watu npali owa'ana.","Then he let the rock drop again, and again it floated.",9
Dewade na' owan la watu pa llokarnana re'eni wotelu emak had owa'ana.,"Then he took the rock again for a third time and did like that again (that is, prayed the same earnest prayer).",9
Dewade natrernu de watu npali.,"He let the rock drop (again), and it floated.",9
Watu npaliwa dewade e' mana lelmerun wali wa.,After the rock floated (again) he dove into the water.,9
Nwuwlierun la tah'i de de ed olek la nu'nu id tutnu.,He descended into the sea and he came to a banyan tree.,9
Dewade nlol nu'nu la yaw pa lla la' de de happe'a ida natentieninreri la nu'nu nainni.,He went below the tree and saw an old woman busily weaving under the banyan tree.,9
"Lla'awa noka nwaka kalwieda la happe'a noka happe'a niwra: ""Up ei, omdiella meni? O ma mhi'a hya'a?""","He went and greeted the old woman. The woman said, ""Where are you coming from? What are you doing?""",9
"""Ulala upa.""","(He answered), ""I'm just traveling around, grandmother.""",9
"Noka rror rwahaur-wahaur noka nakotla upni di: ""Upa, edon mutlin hadoma ntuini la handi na, rokat la handi na?""","Then the two of them talked and talked, and finally he asked the old woman, ""Did you hear anything fall down here?""",10
"Noka niwra: ""Upa a' ge don umkek hadoma, a'u tlin to'a hadoma rokat la kurna hiwi yaterun genni mlia mukekteka, yana etla ma hiwi nernu olekwa.""","Then she said, ""I did not see anything, but I heard a noise by the chicken's nest. Go have a look. Maybe what you are seeking is there because the chicken has already come down.""",10
"Noka lla la' de namkeknana prahni la kurna, noka na'ala pa niwra: ""Upa ed olek di wa.","Then he went and saw the ax head in the nest. Then he took it and said, ""Grandmother, here it is.""",10
"Prahni pa ailiernana oleka.""","I have found the ax head.""",10
Noka na'ala pa nkenia la warni wuwannu la'a hniekru ralamni.,Then he picked up the ax head and put it in his loin cloth.,10
"Nora upni rwahauru-rwahauru noka nakotiwra: ""Upa augiwra lia'awa.""","Then he continued to talk with the old woman. After a while he said, ""I have to go now.""",10
"Noma upni niwra: ""Omlia'awa mere mpei pa apuoltieka i'ina-ya'ana rpa autianteka ha meni maka kwayop pa kottyarg o'o la de.""","The grandmother said, ""You can go, but wait for me to call all the fish so I can ask which one will take you back.""",10
"Npolu i'ina-ya'ana, i'ina-ya'ana dom demade riwra: ""Ami edonna mla heyanna, mla mloi mla mpali.""","She called many different kinds of fish and they said, ""We do not go to the surface of the water.""",10
"Noka npolga ruini, ruini niwra: ""Au ge dona lia puali ma'ata.""","She called the sea cow, and the sea cow said, ""I do not swim on the surface.""",10
"Npolu iwu, iwu niwra: ""Aug edona lia lioi lia puali ma'ta la heyanna, ma a'utlina hruilarna niwra lla heyanna pa mpuolga pa mutianteka.""","Then she called the shark, and the shark said, ""I do not travel along the surface of the water, but I heard the sailfish say that he swims on top, call him and ask him.""",10
"Noka npolga hruilarna pa nmai noka natiana: ""O miwra mlia heyanna?""","Then she called the sailfish. When he came she asked, ""Do you like to go along the surface?""",10
"Noka hruilarna niwra: ""Yowa, augiwra lia lioi-puallia la heyanna.""","The sailfish said, ""Yes, I go along the surface of the water.""",10
"""Mlia mlioi-mpuallia heyanan demade muora muanke' dilla.","(She said to the sailfish), ""You go along the surface with this man.""",10
