source_text,interlinear_gloss,target_text
her house was also black,house 3SG like DIST.SG again black pitch.black PART,èmu na sèmi èèna kahèi mèdhi guru-guru ho
there were many snails before his house,snail bail PROX.SG REL drift.ashore LOC front house,kapui dhui ne'e dhu eta ètu madha èmu
at the entrance gate,mouth fence,hèbha oka
then one day,then a day again PART,hèia ca lod'o hari ka
and they did not know,EXCL 3PL REL 3PL.know 3PL.know not,ha rèngu dhu re'a re'a boe
Where Pesa keli was at,Pesa.Kèli PROX.SG LOC what LOC what PART,Pesa.Kèli ne'e ètu ngaa ètu ngaa na
as he was in the cave and never came out,PART 3SG LOC inside cave DIST.SG REL go.outside not outside PART,te nèngu ètu dara loe èèna dhu podho boe li'u na
than he,PART 3SG,ka nèngu
they both met again,two 3PL meet again,dua ra paraga hari
"met again, than",meet again then,paraga hari hèia
Rika said,according.to Rika PART,aku Rika na
I am the first one on this island,1SG formerly LOC island PROX.SG,ja'a uru ètu kabarai ne'e
Jote also said the same,according.to Jote too like DIST.SG also,aku Jote pun sèmi èèna kahèi
I am the first one on this island,1SG formerly LOC island PROX.SG also,ja'a uru ètu kabarai ne'e kahèi
they argue against each other and quarrel,two 3PL argue PART quarrel,dua ra pasisu ka patao
they quarrel at the beach,quarrel LOC beach sea recent 3SG,patao ètu tataa dhasi deo na
"at the beach, then",beach sea recent 3SG then,tataa dhasi deo na hèia
they never knew Pesa Kèli,3PL 3PL-know not 3SG.CL Pesa.Kèli PROX.SG,rèngu re'a boe na Pesa.Kèli ne'e
spy them from,spy 3PL from,ma'u rèngu ngèti
the cave as mentioned,inside cave recent DIST.SG,ro'a loe deo na
"he said, hi",according.to 3SG PART EXCL,aku nèngu na we
"why do you quarrel and said, ""I am the first one, and he said he is the first?""",2PL speak. angrily what 3SG but say 1SG 3SG 1SG former PART say 3SG PART 3SG former,miu pajèka ngaa èèna te aku ja'a na ja'a uru nga aku nèngu na nèngu uru
I ask you,1SG question 2PL,ja'a karèi miu
"Rika, you said you are the first",2PL Rika 2SG formerly,èu Rika èu uru
"you, Jote, you said you are the first person",2SG Jote 2SG say 3SG 2SG Jote 2SG say 3SG 2SG person formerly,èu Jote èu peka na èu Jote èu peka na èu dhèu uru
then you are living on this island and what name did you give this island?,PART 2PL sit island PROX.SG PROX.SG PART 2PL CAUS- name island PROX.SG PROX.SG PART what,ka miu madhèdi kabarai ne'e ne ka miu pa-ngara kabarai ne'e ne na ngaa?
the name of the land where you live,name land REL 2PL stay PROX.SG,ngara rai dhu miu pea ne'e
"In the past, what do you call, what is the name?",formerly 3SG 2PL call 3SG neme 3SG what,uru na miu paroa na ngara na ngaa
they fail to answer,3PL fail(IND) from DIST.SG tag,rèngu kala ngèti èèna to?
"when they fail to answer, Pesa Kèli said",fail(IND) from DIST.SG PART according.to Pesa. Kèli 3SG,kala ngèti èèna ka aku Pesa. Kèli na
"I came from Sabu', He said, “I brought the indigo plant""",1SG come from name according.to 3SG 1SG-bring indigo,ja'a mai ngèti Sahu aku nèngu k-èti dhau
"came and planted it on this island, so",come plant LOC island PROX.SG so,mai sèla ètu kabarai ne'e de
the name of this island is dhaui,island(IND) PROX.SG name 3SG dhau,pulau ne'e ngara na dhau
"because the Sawunese call the indigo, dhao",because person Sawu say dhau 3SG name,te dhèu Sahu peka dhau na dhao
so the name is Dhao,PART neme 3SG Dhao,ka ngara na Dhao
"That's why brothers and sisters, today'",from DIST.SG PART old.sibling younger.sibling 1PL.in.CL recent PROX.SG,ngèti èèna ka a'a ari ti doe ne'e
"Our father, our brother'",father 1PL.in male friend 1PL.in PROX.SG,ama èdhi mone angalai èdhi ne'e
He came back with no single word',3SG return come only with no more voice discuss talk,nèngu lèpa mai dhoka dènge heka lii padhue padai
Who is he whose heart is not broken',who PART 3SG so.that inside sick not,cee ka nèngu ho dara pèda boe
Who will not drop tears',who PART 3SG so.that CAUS-drip not water eye,cee ka nèngu ho pasuti boe èi madha
separating like this',CAUS-separate like PROX.SG,pa-cèri sèmi ne'e
Our tears never stop,water eye 1PL.in dry not,èi madha èdhi mèti boe
But we know,only 1PL.in 1PL-in.know,dhoka èdhi t-e'a
The love of God is great,DUP-love Lord big enough excessively,sa-sue Lamatua kapai dai seli
"to our father, or our brother",toward above father 1PL.in PART 1PL.in man friend 1PL.in,ma dedha ama èdhi aa èdhi mone angalai èdhi
"That's why, we as believers",from DIST.SG PART 1PL.in person baptize,ngèti èèna ka èdhi dhèu sarani
We know the love of God,1PL.in 1PL-in.know DUP-love Lord PROX.SG,èdhi te'a sa-sue Lamatua ne'e
"please, we bow our heads",come 1PL.in CAUS-bow head,mai èdhi pa-cudu kètu
We ask strength from Him,1PL.in ask DUP-strong from 3SG,èdhi manèngi a-'èra ngèti nèngu
So that we are strong,so.that PART 1PL.in strong,sèna ka èdhi èra
We do not have to be very sad,1PL.in do.not difficult many,èdhi baku j'èra ae
So that today and tomorrow,so.that recent PROX.SG tomorrow,ho doe ne'e bèli
We all bring him to the place,1PL.in all 1PL.in give 3SG to place,èdhi aa'i ti hia nèngu asa era
in peace,with make.piece,dènge mera.milu
"That's why, Ladies and Gentlemen,",from DIST.SG PART mother father relatives all from,nèti èèna ka ina ama a'ari aa'i ngèti
"Please, we close our eyes",come 1PL.in DUP-sleep eye,mai èdhi ba-bhèj'i madha
Ask strength and love from Lord,ask power DUP-love from father Lord,manèngi a-'èra sasue ngèti Ama Lamatua
The Saviour,live soul,Muri Manadu
Lord who protects us day by day,father Lord REL see care 1PL.in from a day arrive reach one day,Ama Lamatua dhu ladhe leru ji'i ngèti ca lod'o toke dai ca lod'o
"Lord, You give us life",father Lord give 1PL.in DUP-breath,Ama Lamatua hia ji'i a-'ae
Give us strength to live our life,give 1PL.in DUP-strong look.for DUP-live PROX.SG,hia ji'i a-'èra tenge ma-muri ne'e
"When the sun rises, Lord, You awake us",sun appear father Lord CAUS-get.up 1PL.in,lod'o rea Ama Lamatua pa-kèdi ji'i
So that we do our jobs,so.that 1PL.in make DUP-work go-3SG 1PL.in,ho ji'i tao sa-saba la-'a ji'i
"When the sun sets, we go to bed",day sink go.3SG 1PL.in sleep,lod'o cèna la'e ji'i bhèj'i
"Lord, protects us all",father Lord pull 1PL.in all 1PL.in.CL,Ama Lamatua bhiri ji'i aa'i mi
"But yesterday morning, Lord made a way",only morning yesterday father Lord make manner one,dhoka madae meda Ama Lamatua tao j'ara èci
for all of us as relatives,in above 1PL.in relatives all 1PL-ex,ma dedha ji'i a'ari aa'i mi
The in Kupang city,LOC above land city,ètu dedha rai Kota
"Lord, You took the life of our brother or our father",father Lord 3SG-take DUP-breath older.sibling 1PL.in father 1PL.in,"Ama Lamatua n-are a-'ae a'a ji'i, ama ji'i"
"So when we hear that, we are sad",then(IND) 1PL.in hear 1PL.in difficult,maka ji'i tadèngi ji'i j'èra
"Our tears still do not stop, Father",water eye 1PL.in dry not Father,èi madha ji'i mèti boe Ama
we just think and think,only 1PL.in evaluate evaluate,dhoka ji'i pajiko pajiko
What Lord is doing is good,what REL father father Lord make PART good enough excessively,ngaa dhu ama Ama Lamatua tao na be'a dai seli
The love of God is great for us,DUP-love father Lord big reach excessively LOC above 1PL.in,sa-sue Ama Lamatua kapai dai seli ètu dedha ji'i
"especially for our father, or brother",more more above father older.sibling 1PL.in PROX.SG,risi risi dedha ama a'a ji'i ne'e
"That's why, Lord",from DIST.SG PART father Lord,ngèti èèna ka Ama Lamatua
You bring him to our place,2SG.bring 3SG to island 1PL.in,m-èti nèngu asa kabarai ji'i
with families,with child grandchild,dènge ana èpu
"All our relatives, this morning, they arrived at our place safely",old.sibling younger.sibling all 3PL.CL morning PROX.SG 3PL reach island 1PL.in with good,a'a ari aa'i ra madae ne'e rèngu dai kabarai ji'i dènge be'a
"Therefore, Lord, we ask",from DIST.SG PART father Lord 1PL.in ask,ngèti èèna ka Ama Lamatua ji'i manèngi
The love of God does not leave us,DUP-love father Lord PROH.NEG keep away 1PL.in,sa-sue Ama Lamatua baku tèke eele ji'i
"But, Father, give us all Your Love",but father make DUP-love toward above 1PL.in all 1PL-ex so.that,tengaa ama tao sasue ma dedha ji'i aa'i mi ho
So that we are not sad,1PL.in PROH.NEG difficult,ji'i baku j'èra
Because the great love is not from us all,because(IND) DUP-love REL Most(IND) big not(IND) from 1PL.in all 1PL-ex,karna sa-sue dhu paling kapai bukan ngèti ji'i aa'i mi
But the great love is from Lord,but DUP-love REL big from father Lord,tengaa sasue dhu kapai ngèti Ama Lamatua
Give his wife strength,give person house 3SG.CL DUP-strong,hia dhèu èmu na a-'èra
Give his children strength,give child 3SG DUP-strong,hia ana nèngu a-'èra
Give his sister strength,give child sister 3SG DUP-strong,hia ana hèni nèngu a-'èra
Give his in-laws strength,give brother.in.law grandpa 3SG DUP-strong,hia kera ba'i nèngu a-'èra
Give his male friends strength,give man friend 3SG power,hia mone angalai nèngu a'èra
So that from today until tomorrow,so.that PART began from recent PROX.SG arrive day tomorrow,sèna ka mulai ngèti doe ne'e toke lod'o bèli
What we are doing,what REL 1PL.in make,ngaa dhu ji'i tao
Lord is with us,Lord with 1PL.in,Ama Lamatua dènge ji'i
So that all is going well,so.that PART walk with make.piece,sèna ka kako dènge mera.milu
Thank you very much Lord,thank(Mal) many father Lord,makasih ae Ama Lamatua
Because of the love of God for us,from DUP-love father Lord toward above 1PL.in,ngèti sa-sue Ama Lamatua ma dedha ji'i
Lord who is love,father Lord REL full with DUP-love,Ama Lamatua dhu pènu dènge sa-sue
"Today is the seventh day Sabbath, that we go to church",recent PROX.SG PROX.SG day PART seven so.that 1PL.in go-1PL.ex house father Lord,doe ne'e ne lod'o ka pidhu ho ji'i la-'a èmu Ama Lamatua
especially Your child who is sleeping here,more more child father REL sleep PROX.SG,risi risi ana ama dhu j'unu ne'e
But today we do not go to church,only recent PROX.SG 1PL.in go-1PL.ex not,dhoka doe ne'e ji'i la-'a boe
We ask that Lord forgive our sins,1PL.in ask (father) father Lord make away sin shortage 1PL.in,ji'i manèngi ama Ama Lamatua tao eele sasala kakura ji'i
"This is all our prayer, Lord",until big like PROX.SG PART voice ask 1PL.in Lord,dai sènge ne'e ka lii manèngi ji'i Ama Lamatua
"We know, Lord, You answer our prayer",1PL.in 1PL-ex.know father Lord hear voice ask 1PL.ex,ji'i ng-e'a Ama Lamatua tadèngi lii manèngi ji'i
"We know, Lord, You accepts our prayer",1PL.ex 1PL-ex.know father Lord like already voice ask 1PL.in,ji'i ng-e'a Ama Lamatua sèmi le lii manèngi ji'i
from today till forever,begin(IND) from recent PROX.SG until reach where where go.3SG,mulai ngèti doe ne'e toke dai mia mia la'e
Good afternoon and thank you for the chance given to us.,safe afternoon and receive give on chance REL be.given for us,selamat sore dan terima kasi atas kesempatan yang diberikan bagi kami
to say something,for EXCL inform a,untuk aa menyampaikan sesuatu
"and therefore, we speak in Dhao language",and for that we use language region ndao,dan untuk itu kita pake bahasa daerah Ndao
I see that from another side,EXCL 1SG DUP-see CONJ(IND) from a part,aa ja'a la-ladhe bahwa ngèti ca bèka
your performance and dresses,appearance(IND) way(IND) dress(IND),"penampilan, cara berpakaian"
are not the everyday clothes that we used to wear,not(IND) clothes(IND) REL a DUP-day 1PL.in use PROX.SG,bukan pakaian dhu ca lod'o-lod'o èdhi pake ne'e
"today, I see that the clothes that you, brothers and sisters from another side, are wearing",recent PROX.SG 1SG DUP-see CONJ(IND) thing DUP-use older.sibling younger.sibling from a part,doe ne'e ja'a la-ladhe bahwa mèdha pa-pake a'a ari ngèti ca bèka
so I would like to ask,so(IND) 1SG want ask,jadi ja'a neo karèi
"by your dresses, perhaps you have a purpose",with thing DUP-use PROX.SG about(IND) custom purpose(IND),dènge mèdha pa-pake ne'e kira-kira ada maksud
perhaps you from another side have a purpose,about(IND) exist(IND) purpose(IND) from(IND) opposite(IND),kira-kira ada maksud dari seberang
"brothers and sisters from another side, please tell so that we know",please older.sibling younger.sibling from a part tell so.that PART 1PL.ex 1PL-ex.know,silakan a'a ari ngèti ca bèka lole sèna ka ji'i nge'a
Thank you,receive(IND) give(IND),terima kasih
"with our presence, we, from Oenale",with(IND) presence(IND) 1PL.ex from Oenale,dengan kehadiran ji'i ngèti Oenale
family in Ndao have accepted us respectfully,family(IND) from Ndao be.like with good,keluarga ngèti Dhao sèmi dènge be'a
we see that all the eyes who see us,1PL.ex DUP-see from eye REL DUP-see 1PL.ex,ji'i la-ladhe ngèti musi.madha dhu la-ladhe ji'i
the hands that come to shake our hands,hand REL sliding come CAUS-sliding with 1PL.ex,kacui.aai dhu j'ola mai pa-j'ola dènge ji'i
with a great tenderness,REL full with softness,dhu pènu dènge kelembutan
like what the spokeswoman has said just now.,be.like just.now REL mother 1PL.ex tell PART,sèmi deo.na dhu ina ji'i peka na
the performance matters,make DUP-see from appearance(IND) just,tao la-ladhe ngèti penampilan di
maybe you worry too much,possible(IND) mother PROX.SG full with amazed PART,mungkin ina ne'e pènu dènge malaa la
because our everyday dresses are not like this,beCAUSE(IND) every.day PROX.SG thing DUP-wear 1PL.in be.absent be.like PROX.SG,karena bèli-bèli ne'e mèdha pa-pake èdhi aad'o sèmi ne'e
"Indeed, it is right that the performance matters",indeed(IND) right appearance(IND) determine(IND),memang tare'a penampilan menentukan
our purpose to come to this house today,purpose(IND) 1PL.ex for(IND) 1PL.ex come eye house PROX.SG day today PROX.SG,maksud ji'i untuk ji'i mai madha èmu ne'e lod'o doe ne'e
"is like this, Madam",be.like PROX.SG mother,sèmi ne'e mama
"One of our children, Meki",child 1PL.ex one Meki,ana ji'i èci Meki
"One day he called us, as parents",a day PART 3SG call enter 1PL.ex mother father,ca lod'o ka nèngu paroa nare ji'i ina ama
the Boboi tribe and other RELated relatives,family(IND) Boboi and(IND) family(IND) other REL RELated PART,keluarga Baboi dan keluarga leo dhu terkait sèra
his tear dropped when he saw us,water eye 3SG flow DUP-see 1PL.ex,èi madha nèngu hae la-ladhe ji'i
because he saw that we are too old already,because(IND) 3SG DUP-see 1PL.ex old many PERF,karena nèngu la-ladhe ji'i heka ae le
"we are no longer strong, we are not able to take water",1PL.ex bone be.absent no.more can(IND) no.more carry water,"ji'i rui aad'o heka, bisa heka dui èi"
we are not able to go to carry firewood at the top of the mountain,can(IND) no.more go.1PL.ex carry firewood to top mountain,bisa heka la-'a dui kadhèna asa kolo ledhe
"then he said, father and mother",PART 3SG tell according.to 3SG PART father PART mother PART,"ka nèngu peka, aku nèngu na, ama e ina e"
I see that you are no longer able to do things,1SG DUP-see 2PL PART 2PL can(IND) no.more,ja'a la-ladhe miu na miu bisa heka
"and perhaps it is the signal, so",and(IND) reach sign PART DIST.SG so.that,dan dai tadha ka èèna ho
I am walking around to find out a rib to help you,1SG with 1SG walk 1SG look.for bone beside so.that PART greet 2PL,"ja'a dènge, ja'a kako ja'a tenge rui karasa sèna ka soru miu"
To help you during this time of your old age,help 2PL LOC inside DUP-old 2PL,batu miu ètu dara ha-heka miu
"then we, parents, asked",PART 1PL.ex mother father PROX.PL 1PL.ex ask,ka ji'i ina ama se'e ji'i karèi
where did you find it when walking around?,LOC where father PART REL DUP-walk PART DUP-see 2PL-see PART,ètu mia ama e dhu kako-kako ka la-ladhe m-èdhi na
"and he said, I saw in the west, father and mother",PART according.to 3SG PART 1SG DUP-see to west mother with father PART PART,nga aku nèngu na ja'a la-ladhe asa haa ina dènge ama e na
"the sun is almost going down, but",sun nearly sink go-3SG but(IND),lod'o oe cèna la-'e tapi
a blossom of the flower is growing up there,blossom flower one 3SG just grow come PART DIST.SG,hela bunga èci nèngu heka bhuku mai ka èèna
it the flower almost blossoms,3SG nearly spread PART DIST.SG,nèngu oe manyèba ka èèna
"I saw it, then I fell in love.",PART 1SG DUP-see PART finished inside 1SG,ka ja'a la-ladhe ka èle dara ja'a
"then I said, there it is.",PART 1SG tell PART 3SG PART REM.SG,ka ja'a peka na nèngu ka nèi
"but for the blossom of this flower, you, the family here, don't have to worry.",but blossom flower PROX.SG mother father from PROX.SG heart PROH.NEG lack tag,tengaa hela bunga ne'e ina ama ngèti ne'e dara baku kura ku
why does he want to take the blossom of the flower as his rib?,PART(Mal) blossom flower 3SG want 3SG.take become toward bone side 3SG,ko hela bunga nèngu neo n-are j'aj'i mi rui karasa nèngu?
the blossom of the flower can metamorphose as well,blossom flower 3SG.OBJ.CL 3SG can(IND) change(IND) also,hela bunga ne nèngu bisa beruba kahèi
"to become a girl, named Santi",become toward child one REL name PART Santi,j'aj'i mi ana èci dhu ngara na Santi
"that is why, this afternoon, we come'.",from DIST.SG PART day afternoon PROX.SG 1PL.ex come,ngèti èèna ka lod'o nihia ne'e ji'i mai
with humility,so.that with 1PL.ex CAUS-low body,ho dènge ji'i pa-haha isi
asking from the bottom of our heart'.,with sound ask from heart 1PL.ex REL clean too.clean,dènge lii manèngi ngèti dara ji'i dhu mèu aadha-aadha
we ask for mercy beCAUSE we are already too old'.,1PL.ex ask DUP-love so.that love PART(IND) 1PL.ex beCAUSE(IND) 1PL.ex old.age many PERF,ji'i manèngi sa-sue ho sue la ji'i karena ji'i heka ae le
we are not able to take firewoods and water anymore,1PL.ex-take water also,ng-are èi hèi
"when lighting the lamp, the lamp is at one place, we are going to light at another place",torch lamp PART lamp LOC place other PART 1PL.ex burn to place other go-3SG PART,suru labhu na labhu ètu era leo na ji'i tunu asa era leo la-'e na
we are afraid that our house is going to be burned out,PROH.NEG only fire 3SG-eat all house 1PL.ex,mage dhoka ai n-a'e aa'i èmu ji'i
"therefore, we come now",from DIST.SG PART 1PL.ex come PROX.SG,ngèti èèna ka ji'i mai ne'e
that is all,that.big DIST.SG PART,sènge èèna ka
"we just heard that Meki came from another side, didn't he? Oenale",recent small PART 1PL.in 1PL-in.know REL(IND) Meki 3SG-bring a PART tag Oenale,doe iiki na èdhi t-e'a bahwa Meki n-èti ca bèka to? Oenale
crossing the ocean,cross(IND) sea,langgar dhasi
"is on Rote Island, from the west to the east part",what(IND) land Rote PROX.SG from tip west to tip east,apa rai Rote ne'e ngèti suu haa asa suu dhimu
no one named Santi?,get not person name Santi,abhu boe dhèu ngara Santi
or no one is like Santi?,or(IND) get not person REL same(IND) with Santi,atau abhu boe dhèu dhu sama dènge Santi?
so Meki should come by a small canoe with one oar?,so.that Meki must(IND) ride child keel with oar one,ho Meki harus ca'e ana kèni dènge sehe èci
how could he cross the Loekeli strait?,so.that 3SG can 3SG.take cross(IND) Loekeli,ho nèngu bisa nare langgar Loekeli?
not all people can cross the Loekeli strait.,person cross(IND) Loekeli not(IND) random(IND) person,dhèu langgar Loekeli tidak sembarangan dhèu
"like the expression said, “Loekeli is roaring”.",like sound REL express Loekeli DUP-poke,sèmi lii dhu pate'a Loekeli edo-edo
so I ask you to tell once more,so(IND) 1SG ask again tag EXCL sound one again,jadi ja'a manèngi hari ku aa lii èci hari
Thank you,Receive(IND) love(IND),terima kasih
"Indeed, if Loekeli strait is roaring",indeed Loekeli PROX.SG see 3SG hold PART,mema Loekeli ne'e ladhe nèngu horo na
"not only does small canoe, KK ship can also sink",PROH.NEG tell PART child keel but KK ship DIST.SG PART drown also,baku peka na ana kèni te KK kapa èèna ka molo kahèi
"however, a grain of sand can move from Oenale",but sand one so.that 3SG come from Oenale so.that,tengaa salae cue ho nèngu mai ngèti Oenale ho
"the sea water brings it and falls into the sand of Ndao, it is not that easy, Madam'.",sea 3SG-bring 3SG so.that come fall LOC sand Ndao PROX.SG mother easy(IND) not,"dhasi n-èti nèngu ho mai bèbhe ètu salae Dhao ne'e, mama, gampang boe"
we also mention that,1PL.ex say also,ji'i peka kahèi
there are a lot of artists in Rote,artist(IND) full LOC Rote REM.SG,artis pènu ètu Edha nèi
"there, he is not interested, he does not like them",place REM.PL 3SG like not PART 3SG-want not,"era sèi nèngu dèi boe nga, n-o'o boe"
"he said that only this one, mommy",according.to 3SG PART only PROX.SG just mother PART,"aku nèngu na dhoka ne'e di, mama e"
"there, God has shown to me, mommy",REL Lord point.to give 1SG PART REM.SG mother PART,dhu Lamatua paj'uj'u hia ja'a ka nèi mama e
in order that I take it to become my rib.,REL 1SG 1SG-take become 1PL.ex.CL bone side 1SG PROX.SG,dhu ja'a k-ore j'aj'i mi rui karasa ja'a ne'e
"so although the Loekeli strait is roaring, mommy.",SO Loekeli roar(IND) or 3SG hold PART PART mother EXCL,de Loekeli mangamok do nèngu horo na ka mama oo
"we have to go, beCAUSE God is with us so we would never sink.",go-1PL.in PART because Lord with 1PL.in SO 1PL.in drown not,la-ti la te Lamatua dènge èdhi de èdhi molo boe
we arrive at the beach safely,1PL.ex touch bow reach shore with safe PART,ji'i jèji kaduru dai dae dènge soda ka
"then he said that over here he found only Santi, no one else.",SO according.to 3SG LOC PROX.SG namely child 1PL.ex Santi REL other be.absent,de aku nèngu ètu ne'e nuka ana ji'i Santi dhu leo aado
since Meki came with a small canoe with two oars.,beCAUSE(IND) Meki come PERF with child keel one use oar two,karena Meki mai le dènge ana kèni cue pake sehe dua
"one oar, Meki holds it, whereas one more oar, no body holds it yet.",oar one Meki catch whereas(IND) oar one person catch not.yet,sehe èci Meki kèpe sedangkan sehe èci dhèu kèpe dhae
so the one who should hold the other oar is Santi,so(IND) person catch oar one be(IND) Santi,jadi dhèu kèpe sehe èci iala Santi
but I need to tell,but 1SG say tag PART,tengaa ja'a peka ku la
she is still too young,child young live sway,ana kalicu muri hedu
who may whimper,REL whimper EXCL,dhu pasale aa
she is more educated than us,school(Mal) 3SG more 1PL.in,sakola nèngu risi èdhi
"because we, parents, are illiterate.",beCAUSE(IND) 1PL.in mother father person blIND(IND) letters(IND),karena èdhi ina ama dhèu buta huruf
"but in the case of knowledge, she still lacks experience, compared to us.",but come to think PART 3SG reach not.yet 1PL.in,tengaa mai asa ngangee na nèngu dai mèka èdhi
"do you, parents from another side, think that she is eligible?",what(IND) mother father from a PART taste(IND) PART 3SG can,apa ina ama ngèti ca bèka rasa na nèngu bisa?
"for us, parents in Ndao, she is not eligible yet.",3SG can not.yet,nèngu bisa mèka
"Madam, you said that she is still too young",according.to(IND) mother(Mal) PART mother(Mal) DUP-see PART 3SG child small many still.exist,menurut mama na mama la-ladhe na nèngu ana iiki ae era
but as I have said just now,but(IND) like sound recent DIST.SG REL 1SG tell recent DIST.SG,tapi sèmi lii deo èèna dhu ja'a peka deo èèna
"we come and have been accepted, is it right, Madam?",1PL.ex come PART be.like PREF 1PL.ex tag mother,ji'i mai ka sèmi le ji'i to mama?
"so the two already become one, Madam.",so two PROX.SG become PREF toward one mother,de dua ne'e j'aj'i le mi èci mama
"so when she is wrong, we all are responsible to advise her",so see 3SG wrong PART 1PL.in DUP-all 1PL.in.CL advise say PROX.SG,de ladhe nèngu sale na èdhi aa'i-aa'i ti holo peka ne'e
because she already becomes our daughter.,because become PREF toward child PART,te j'aj'i le ma ana na
I do not make the decision.,1SG CAUS-cut not,ja'a pa-maète boe
but Santi does,but PROX.SG beCAUSE(IND) Santi,tengaa ne'e karena Santi
