target_text,interlinear_gloss,source_text,page_number
èmu na sèmi èèna kahèi mèdhi guru-guru ho,house 3SG like DIST.SG again black pitch.black PART,her house was also black,6
kapui dhui ne'e dhu eta ètu madha èmu,snail bail PROX.SG REL drift.ashore LOC front house,there were many snails before his house,6
hèbha oka,mouth fence,at the entrance gate,6
hèia ca lod'o hari ka,then a day again PART,then one day,6
ha rèngu dhu re'a re'a boe,EXCL 3PL REL 3PL.know 3PL.know not,and they did not know,7
Pesa.Kèli ne'e ètu ngaa ètu ngaa na,Pesa.Kèli PROX.SG LOC what LOC what PART,Where Pesa keli was at...,7
te nèngu ètu dara loe èèna dhu podho boe li'u na,PART 3SG LOC inside cave DIST.SG REL go.outside not outside PART,as he was in the cave and never came out,7
ka nèngu,PART 3SG,than he,7
dua ra paraga hari,two 3PL meet again,they both met again,7
paraga hari hèia,meet again then,"met again, than",7
aku Rika na,according.to Rika PART,Rika said,7
ja'a uru ètu kabarai ne'e,1SG formerly LOC island PROX.SG,I am the first one on this island,7
aku Jote pun sèmi èèna kahèi,according.to Jote too like DIST.SG also,Jote also said the same,7
ja'a uru ètu kabarai ne'e kahèi,1SG formerly LOC island PROX.SG also,I am the first one on this island,7
dua ra pasisu ka patao,two 3PL argue PART quarrel,they argue against each other and quarrel,7
patao ètu tataa dhasi deo na,quarrel LOC beach sea recent 3SG,(they) quarrel at the beach,8
tataa dhasi deo na hèia,beach sea recent 3SG then,"at the beach, then",8
rèngu re'a boe na Pesa.Kèli ne'e,3PL 3PL-know not 3SG.CL Pesa.Kèli PROX.SG,they never knew Pesa Kèli,8
ma'u rèngu ngèti,spy 3PL from,spy them from...,8
ro'a loe deo na,inside cave recent DIST.SG,the cave as mentioned,8
aku nèngu na we,according.to 3SG PART EXCL,"he said, hi",8
miu pajèka ngaa èèna te aku ja'a na ja'a uru nga aku nèngu na nèngu uru,2PL speak. angrily what 3SG but say 1SG 3SG 1SG former PART say 3SG PART 3SG former,"why do you quarrel and said, ""I am the first one, and he said he is the first?""",8
ja'a karèi miu,1SG question 2PL,I ask you,8
èu Rika èu uru,2PL Rika 2SG formerly,"Rika, you said you are the first",8
èu Jote èu peka na èu Jote èu peka na èu dhèu uru,2SG Jote 2SG say 3SG 2SG Jote 2SG say 3SG 2SG person formerly,"you, Jote, you said you are the first person",8
ka miu madhèdi kabarai ne'e ne ka miu pa-ngara kabarai ne'e ne na ngaa?,PART 2PL sit island PROX.SG PROX.SG PART 2PL CAUS- name island PROX.SG PROX.SG PART what,then you are living on this island and what name did you give this island?,9
ngara rai dhu miu pea ne'e,name land REL 2PL stay PROX.SG,the name of the land where you live,9
uru na miu paroa na ngara na ngaa,formerly 3SG 2PL call 3SG neme 3SG what,"In the past, what do you call, what is the name?",9
ngaa,what,what,9
rèngu kala ngèti èèna to?,3PL fail(IND) from DIST.SG tag,they fail to answer,9
kala ngèti èèna ka aku Pesa. Kèli na,fail(IND) from DIST.SG PART according.to Pesa. Kèli 3SG,"when they fail to answer, Pesa Kèli said",9
ja'a mai ngèti Sahu aku nèngu k-èti dhau,1SG come from name according.to 3SG 1SG-bring indigo,"I came from Sabu', He said, “I brought the indigo plant""",9
mai sèla ètu kabarai ne'e de,come plant LOC island PROX.SG so,"came and planted it on this island, so",9
pulau ne'e ngara na dhau,island(IND) PROX.SG name 3SG dhau,the name of this island is dhaui,9
te dhèu Sahu peka dhau na dhao,because person Sawu say dhau 3SG name,"because the Sawunese call the indigo, dhao",9
ka ngara na Dhao,PART neme 3SG Dhao,so the name is Dhao,10
ngèti èèna ka a'a ari ti doe ne'e,from DIST.SG PART old.sibling younger.sibling 1PL.in.CL recent PROX.SG,"That's why brothers and sisters, today'",11
ama èdhi mone angalai èdhi ne'e,father 1PL.in male friend 1PL.in PROX.SG,"Our father, our brother'",11
nèngu lèpa mai dhoka dènge heka lii padhue padai,3SG return come only with no more voice discuss talk,He came back with no single word',11
cee ka nèngu ho dara pèda boe,who PART 3SG so.that inside sick not,Who is he whose heart is not broken',11
cee ka nèngu ho pasuti boe èi madha,who PART 3SG so.that CAUS-drip not water eye,Who will not drop tears',11
pa-cèri sèmi ne'e,CAUS-separate like PROX.SG,separating like this',11
èi madha èdhi mèti boe,water eye 1PL.in dry not,Our tears never stop,12
dhoka èdhi t-e'a,only 1PL.in 1PL-in.know,But we know,12
sa-sue Lamatua kapai dai seli,DUP-love Lord big enough excessively,The love of God is great,12
ma dedha ama èdhi aa èdhi mone angalai èdhi,toward above father 1PL.in PART 1PL.in man friend 1PL.in,"to our father, or our brother",12
ngèti èèna ka èdhi dhèu sarani,from DIST.SG PART 1PL.in person baptize,"That's why, we as believers",12
èdhi te'a sa-sue Lamatua ne'e,1PL.in 1PL-in.know DUP-love Lord PROX.SG,We know the love of God,12
mai èdhi pa-cudu kètu,come 1PL.in CAUS-bow head,"please, we bow our heads",12
èdhi manèngi a-'èra ngèti nèngu,1PL.in ask DUP-strong from 3SG,We ask strength from Him,12
sèna ka èdhi èra,so.that PART 1PL.in strong,So that we are strong,12
èdhi baku j'èra ae,1PL.in do.not difficult many,We do not have to be very sad,12
ho doe ne'e bèli,so.that recent PROX.SG tomorrow,So that today and tomorrow,13
èdhi aa'i ti hia nèngu asa era,1PL.in all 1PL.in give 3SG to place,We all bring him to the place,13
dènge mera.milu,with make.piece,in peace,13
nèti èèna ka ina ama a'ari aa'i ngèti,from DIST.SG PART mother father relatives all from,"That's why, Ladies and Gentlemen,",13
mai èdhi ba-bhèj'i madha,come 1PL.in DUP-sleep eye,"Please, we close our eyes",13
manèngi a-'èra sasue ngèti Ama Lamatua,ask power DUP-love from father Lord,Ask strength and love from Lord,13
Muri Manadu,live soul,The Saviour,13
Ama Lamatua dhu ladhe leru ji'i ngèti ca lod'o toke dai ca lod'o,father Lord REL see care 1PL.in from a day arrive reach one day,Lord who protects us day by day,13
Ama Lamatua hia ji'i a-'ae,father Lord give 1PL.in DUP-breath,"Lord, (You) give us life",13
hia ji'i a-'èra tenge ma-muri ne'e,give 1PL.in DUP-strong look.for DUP-live PROX.SG,Give us strength to live our life,13
lod'o rea Ama Lamatua pa-kèdi ji'i,sun appear father Lord CAUS-get.up 1PL.in,"When the sun rises, Lord, You awake us",14
ho ji'i tao sa-saba la-'a ji'i,so.that 1PL.in make DUP-work go-3SG 1PL.in,So that we do our jobs,14
lod'o cèna la'e ji'i bhèj'i,day sink go.3SG 1PL.in sleep,"When the sun sets, we go to bed",14
Ama Lamatua bhiri ji'i aa'i (mi),father Lord pull 1PL.in all 1PL.in.CL,"Lord, protects us all",14
dhoka madae meda Ama Lamatua tao j'ara èci,only morning yesterday father Lord make manner one,"But yesterday morning, Lord made a way",14
ma dedha ji'i a'ari aa'i mi,in above 1PL.in relatives all 1PL-ex,for all of us as relatives,14
ètu dedha rai Kota,LOC above land city,The in Kupang city,14
"Ama Lamatua n-are a-'ae a'a ji'i, ama ji'i",father Lord 3SG-take DUP-breath older.sibling 1PL.in father 1PL.in,"Lord, You took the life of our brother or our father",14
maka ji'i tadèngi ji'i j'èra,then(IND) 1PL.in hear 1PL.in difficult,"So when we hear (that), we are sad",14
èi madha ji'i mèti boe Ama,water eye 1PL.in dry not Father,"Our tears still do not stop, Father",14
dhoka ji'i pajiko pajiko,only 1PL.in evaluate evaluate,we just think and think,15
ngaa dhu (ama) Ama Lamatua tao na be'a dai seli,what REL father father Lord make PART good enough excessively,What Lord is doing is good,15
sa-sue Ama Lamatua kapai dai seli ètu dedha ji'i,DUP-love father Lord big reach excessively LOC above 1PL.in,The love of God is great for us,15
risi risi dedha ama a'a ji'i ne'e,more more above father older.sibling 1PL.in PROX.SG,"especially for our father, or brother",15
ngèti èèna ka Ama Lamatua,from DIST.SG PART father Lord,"That's why, Lord",15
m-èti nèngu asa kabarai ji'i,2SG.bring 3SG to island 1PL.in,You bring him to our place,15
dènge ana èpu,with child grandchild,with families,15
a'a ari aa'i ra madae ne'e rèngu dai kabarai ji'i dènge be'a,old.sibling younger.sibling all 3PL.CL morning PROX.SG 3PL reach island 1PL.in with good,"All our relatives, this morning, they arrived at our place safely",15
ngèti èèna ka Ama Lamatua ji'i manèngi,from DIST.SG PART father Lord 1PL.in ask,"Therefore, Lord, we ask",15
sa-sue Ama Lamatua baku tèke eele ji'i,DUP-love father Lord PROH.NEG keep away 1PL.in,The love of God does not leave us,16
tengaa ama tao sasue ma dedha ji'i aa'i mi ho,but father make DUP-love toward above 1PL.in all 1PL-ex so.that,"But, Father, give us all Your Love",16
ji'i baku j'èra,1PL.in PROH.NEG difficult,So that we are not sad,16
karna sa-sue dhu paling kapai bukan ngèti ji'i aa'i mi,because(IND) DUP-love REL Most(IND) big not(IND) from 1PL.in all 1PL-ex,Because the great love is not from us all,16
tengaa sasue dhu kapai ngèti Ama Lamatua,but DUP-love REL big from father Lord,But the great love is from Lord,16
hia dhèu èmu na a-'èra,give person house 3SG.CL DUP-strong,Give his wife strength,16
hia ana nèngu a-'èra,give child 3SG DUP-strong,Give his children strength,16
hia ana hèni nèngu a-'èra,give child sister 3SG DUP-strong,Give his sister strength,16
hia kera ba'i nèngu a-'èra,give brother.in.law grandpa 3SG DUP-strong,Give his in-laws strength,16
hia mone angalai nèngu a'èra,give man friend 3SG power,Give his male friends strength,16
sèna ka mulai ngèti doe ne'e toke lod'o bèli,so.that PART began from recent PROX.SG arrive day tomorrow,So that from today until tomorrow,17
ngaa dhu ji'i tao,what REL 1PL.in make,What we are doing,17
Ama Lamatua dènge ji'i,Lord with 1PL.in,Lord is with us,17
sèna ka kako dènge mera.milu,so.that PART walk with make.piece,So that (all) is going well,17
makasih ae Ama Lamatua,thank(Mal) many father Lord,Thank you very much Lord,17
ngèti sa-sue Ama Lamatua ma dedha ji'i,from DUP-love father Lord toward above 1PL.in,Because of the love of God for us,17
Ama Lamatua dhu pènu dènge sa-sue,father Lord REL full with DUP-love,Lord who is love,17
doe ne'e ne lod'o ka pidhu ho ji'i la-'a èmu Ama Lamatua,recent PROX.SG PROX.SG day PART seven so.that 1PL.in go-1PL.ex house father Lord,"Today is the seventh day (Sabbath), that we go to church",17
risi risi ana ama dhu j'unu ne'e,more more child father REL sleep PROX.SG,especially Your child who is sleeping here,17
dhoka doe ne'e ji'i la-'a boe,only recent PROX.SG 1PL.in go-1PL.ex not,But today we do not go (to church),18
ji'i manèngi (ama) Ama Lamatua tao eele sasala kakura ji'i,1PL.in ask (father) father Lord make away sin shortage 1PL.in,'We ask that Lord forgive our sins',18
dai sènge ne'e ka lii manèngi ji'i Ama Lamatua,until big like PROX.SG PART voice ask 1PL.in Lord,"This is all our prayer, Lord",18
ji'i ng-e'a Ama Lamatua tadèngi lii manèngi ji'i,1PL.in 1PL-ex.know father Lord hear voice ask 1PL.ex,"'We know, Lord, You answer our prayer'",18
ji'i ng-e'a Ama Lamatua sèmi le lii manèngi ji'i,1PL.ex 1PL-ex.know father Lord like already voice ask 1PL.in,"'We know, Lord, You accepts our prayer'",18
mulai ngèti doe ne'e toke dai mia mia la'e,begin(IND) from recent PROX.SG until reach where where go.3SG,'from today till forever',18
selamat sore dan terima kasi atas kesempatan yang diberikan bagi kami,safe afternoon and receive give on chance REL be.given for us,Good afternoon and thank you for the chance given to us.,19
untuk aa menyampaikan sesuatu,for EXCL inform a,to say something,19
dan untuk itu kita pake bahasa daerah Ndao,and for that we use language region ndao,"and therefore, we speak in Dhao language",19
aa ja'a la-ladhe bahwa ngèti ca bèka,EXCL 1SG DUP-see CONJ(IND) from a part,I see that from another side,19
"penampilan, cara berpakaian",appearance(IND) way(IND) dress(IND),(your) performance and dresses,19
bukan pakaian dhu ca lod'o-lod'o èdhi pake ne'e,not(IND) clothes(IND) REL a DUP-day 1PL.in use PROX.SG,are not the everyday clothes that we used to wear,20
doe ne'e ja'a la-ladhe bahwa mèdha pa-pake a'a ari ngèti ca bèka,recent PROX.SG 1SG DUP-see CONJ(IND) thing DUP-use older.sibling younger.sibling from a part,"today, I see that the clothes that you, brothers and sisters from another side, are wearing",20
jadi ja'a neo karèi,so(IND) 1SG want ask,so I would like to ask,20
dènge mèdha pa-pake ne'e kira-kira ada maksud,with thing DUP-use PROX.SG about(IND) custom purpose(IND),"by your dresses, perhaps you have a purpose",20
kira-kira ada maksud dari seberang,about(IND) exist(IND) purpose(IND) from(IND) opposite(IND),perhaps you from another side have a purpose,20
silakan a'a ari ngèti ca bèka lole sèna ka ji'i nge'a,please older.sibling younger.sibling from a part tell so.that PART 1PL.ex 1PL-ex.know,"brothers and sisters from another side, please tell so that we know",20
terima kasih,receive(IND) give(IND),Thank you,20
dengan kehadiran ji'i ngèti Oenale,with(IND) presence(IND) 1PL.ex from Oenale,"with our presence, we, from Oenale",21
keluarga ngèti Dhao sèmi dènge be'a,family(IND) from Ndao be.like with good,family in Ndao have accepted us respectfully,21
ji'i la-ladhe ngèti musi.madha dhu la-ladhe ji'i,1PL.ex DUP-see from eye REL DUP-see 1PL.ex,we see that all the eyes who see us,21
kacui.aai dhu j'ola mai pa-j'ola dènge ji'i,hand REL sliding come CAUS-sliding with 1PL.ex,the hands that come to shake our hands,21
dhu pènu dènge kelembutan,REL full with softness,with a great tenderness,21
sèmi deo.na dhu ina ji'i peka na,be.like just.now REL mother 1PL.ex tell PART,like what the spokeswoman has said just now.,21
tao la-ladhe ngèti penampilan di,make DUP-see from appearance(IND) just,the performance matters,21
mungkin ina ne'e pènu dènge malaa la,possible(IND) mother PROX.SG full with amazed PART,maybe you worry too much,21
karena bèli-bèli ne'e mèdha pa-pake èdhi aad'o sèmi ne'e,beCAUSE(IND) every.day PROX.SG thing DUP-wear 1PL.in be.absent be.like PROX.SG,because our everyday dresses are not like this,21
memang tare'a penampilan menentukan,indeed(IND) right appearance(IND) determine(IND),"Indeed, it is right that the performance matters",22
maksud ji'i untuk ji'i mai madha èmu ne'e lod'o doe ne'e,purpose(IND) 1PL.ex for(IND) 1PL.ex come eye house PROX.SG day today PROX.SG,our purpose to come to this house today,22
sèmi ne'e mama,be.like PROX.SG mother,"is like this, Madam",22
ana ji'i èci Meki,child 1PL.ex one Meki,"One of our children, Meki",22
ca lod'o ka nèngu paroa nare ji'i ina ama,a day PART 3SG call enter 1PL.ex mother father,"One day he called us, as parents",22
keluarga Baboi dan keluarga leo dhu terkait sèra,family(IND) Boboi and(IND) family(IND) other REL RELated PART,the Boboi tribe and other RELated relatives,22
èi madha nèngu hae la-ladhe ji'i,water eye 3SG flow DUP-see 1PL.ex,his tear dropped when he saw us,22
karena nèngu la-ladhe ji'i heka ae le,because(IND) 3SG DUP-see 1PL.ex old many PERF,because he saw that we are too old already,22
"ji'i rui aad'o heka, bisa heka dui èi",1PL.ex bone be.absent no.more can(IND) no.more carry water,"we are no longer strong, we are not able to take water",23
bisa heka la-'a dui kadhèna asa kolo ledhe,can(IND) no.more go.1PL.ex carry firewood to top mountain,(we) are not able to go to carry firewood at the top of the mountain,23
"ka nèngu peka, aku nèngu na, ama e ina e",PART 3SG tell according.to 3SG PART father PART mother PART,"then he said, father and mother",23
ja'a la-ladhe miu na miu bisa heka,1SG DUP-see 2PL PART 2PL can(IND) no.more,'I see that you are no longer able (to do things)',23
dan dai tadha ka èèna ho,and(IND) reach sign PART DIST.SG so.that,"'and perhaps it is the signal, so'",23
"ja'a dènge, ja'a kako ja'a tenge rui karasa sèna ka soru miu",1SG with 1SG walk 1SG look.for bone beside so.that PART greet 2PL,'I am walking around to find out a rib to help you',23
batu miu ètu dara ha-heka miu,help 2PL LOC inside DUP-old 2PL,'To help you during this time of your old age',23
ka ji'i ina ama se'e ji'i karèi,PART 1PL.ex mother father PROX.PL 1PL.ex ask,"'then we, parents, asked'",23
ètu mia ama e dhu kako-kako ka la-ladhe m-èdhi na,LOC where father PART REL DUP-walk PART DUP-see 2PL-see PART,where did you find it when walking around?,24
nga aku nèngu na ja'a la-ladhe asa haa ina dènge ama e na,PART according.to 3SG PART 1SG DUP-see to west mother with father PART PART,"and he said, I saw in the west, father and mother",24
lod'o oe cèna la-'e tapi,sun nearly sink go-3SG but(IND),"the sun is almost going down, but",24
hela bunga èci nèngu heka bhuku mai ka èèna,blossom flower one 3SG just grow come PART DIST.SG,a blossom of the flower is growing up there,24
nèngu oe manyèba ka èèna,3SG nearly spread PART DIST.SG,it (the flower) almost blossoms,24
ka ja'a la-ladhe ka èle dara ja'a,PART 1SG DUP-see PART finished inside 1SG,"I saw it, then I fell in love.",24
ka ja'a peka na nèngu ka nèi,PART 1SG tell PART 3SG PART REM.SG,"then I said, there it is.",24
tengaa hela bunga ne'e ina ama ngèti ne'e dara baku kura ku,but blossom flower PROX.SG mother father from PROX.SG heart PROH.NEG lack tag,"but for the blossom of this flower, you, the family here, don't have to worry.",24
RT ko hela bunga nèngu neo n-are j'aj'i mi rui karasa nèngu?,PART(Mal) blossom flower 3SG want 3SG.take become toward bone side 3SG,why does he want to take the blossom of the flower as his rib?,25
RT hela bunga ne nèngu bisa beruba kahèi,blossom flower 3SG.OBJ.CL 3SG can(IND) change(IND) also,the blossom of the flower can metamorphose as well,25
RT j'aj'i mi ana èci dhu ngara na Santi,become toward child one REL name PART Santi,"to become a girl, named Santi",25
RT ngèti èèna ka lod'o nihia ne'e ji'i mai,from DIST.SG PART day afternoon PROX.SG 1PL.ex come,"that is why, this afternoon, we come'.",25
RT ho dènge ji'i pa-haha isi,so.that with 1PL.ex CAUS-low body,with humility,25
RT dènge lii manèngi ngèti dara ji'i dhu mèu aadha-aadha,with sound ask from heart 1PL.ex REL clean too.clean,asking from the bottom of our heart'.,25
RT ji'i manèngi sa-sue ho sue la ji'i karena ji'i heka ae le,1PL.ex ask DUP-love so.that love PART(IND) 1PL.ex beCAUSE(IND) 1PL.ex old.age many PERF,we ask for mercy beCAUSE we are already too old'.,25
ng-are èi hèi,1PL.ex-take water also,we are not able to take firewoods and water anymore,26
suru labhu na labhu ètu era leo na ji'i tunu asa era leo la-'e na,torch lamp PART lamp LOC place other PART 1PL.ex burn to place other go-3SG PART,"when lighting the lamp, the lamp is at one place, we are going to light at another place",26
mage dhoka ai n-a'e aa'i èmu ji'i,PROH.NEG only fire 3SG-eat all house 1PL.ex,(we) are afraid that our house is going to be burned out,26
ngèti èèna ka ji'i mai ne'e,from DIST.SG PART 1PL.ex come PROX.SG,"therefore, we come now",26
sènge èèna ka,that.big DIST.SG PART,that is all,26
doe iiki na èdhi t-e'a bahwa Meki n-èti ca bèka to? Oenale,recent small PART 1PL.in 1PL-in.know REL(IND) Meki 3SG-bring a PART tag Oenale,"we just heard that Meki came from another side, didn't he? Oenale",26
langgar dhasi,cross(IND) sea,crossing the ocean,26
apa rai Rote ne'e ngèti suu haa asa suu dhimu,what(IND) land Rote PROX.SG from tip west to tip east,"is on Rote Island, from the west to the east part",26
abhu boe dhèu ngara Santi,get not person name Santi,no one named Santi?,27
atau abhu boe dhèu dhu sama dènge Santi?,or(IND) get not person REL same(IND) with Santi,or no one is like Santi?,27
ho Meki harus ca'e ana kèni dènge sehe èci,so.that Meki must(IND) ride child keel with oar one,so Meki should come by a small canoe with one oar?,27
ho nèngu bisa nare langgar Loekeli?,so.that 3SG can 3SG.take cross(IND) Loekeli,how could he cross the Loekeli strait?,27
dhèu langgar Loekeli tidak sembarangan dhèu,person cross(IND) Loekeli not(IND) random(IND) person,not all people can cross the Loekeli strait.,27
sèmi lii dhu pate'a Loekeli edo-edo,like sound REL express Loekeli DUP-poke,"like the expression said, “Loekeli is roaring”.",27
jadi ja'a manèngi hari ku aa lii èci hari,so(IND) 1SG ask again tag EXCL sound one again,so I ask you to tell once more,27
terima kasih,Receive(IND) love(IND),Thank you,27
mema Loekeli ne'e ladhe nèngu horo na,indeed Loekeli PROX.SG see 3SG hold PART,"Indeed, if Loekeli strait is roaring",27
baku peka na ana kèni te KK kapa èèna ka molo kahèi,PROH.NEG tell PART child keel but KK ship DIST.SG PART drown also,"not only does small canoe, KK ship can also sink",28
tengaa salae cue ho nèngu mai ngèti Oenale ho,but sand one so.that 3SG come from Oenale so.that,"however, a grain of sand can move from Oenale",28
"dhasi n-èti nèngu ho mai bèbhe ètu salae Dhao ne'e, mama, gampang boe",sea 3SG-bring 3SG so.that come fall LOC sand Ndao PROX.SG mother easy(IND) not,"the sea (water) brings it and falls into the sand of Ndao, it is not that easy, Madam'.",28
ji'i peka kahèi,1PL.ex say also,we also mention that,28
artis pènu ètu Edha nèi,artist(IND) full LOC Rote REM.SG,there are a lot of artists in Rote,28
"era sèi nèngu dèi boe nga, n-o'o boe",place REM.PL 3SG like not PART 3SG-want not,"there, he is not interested, he does not like (them)",28
"aku nèngu na dhoka ne'e di, mama e",according.to 3SG PART only PROX.SG just mother PART,"he said that only this one, mommy",28
dhu Lamatua paj'uj'u hia ja'a ka nèi mama e,REL Lord point.to give 1SG PART REM.SG mother PART,"there, God has shown to me, mommy",28
dhu ja'a k-ore j'aj'i mi rui karasa ja'a ne'e,REL 1SG 1SG-take become 1PL.ex.CL bone side 1SG PROX.SG,in order that I take (it) to become my rib.,29
de Loekeli mangamok do nèngu horo na ka mama oo,SO Loekeli roar(IND) or 3SG hold PART PART mother EXCL,"so although the Loekeli strait is roaring, mommy.",29
la-ti la te Lamatua dènge èdhi de èdhi molo boe,go-1PL.in PART because Lord with 1PL.in SO 1PL.in drown not,"we have to go, beCAUSE God is with us so we would never sink.",29
ji'i jèji kaduru dai dae dènge soda ka,1PL.ex touch bow reach shore with safe PART,we arrive at the beach safely,29
de aku nèngu ètu ne'e nuka ana ji'i Santi dhu leo aado,SO according.to 3SG LOC PROX.SG namely child 1PL.ex Santi REL other be.absent,"then he said that over here he found only Santi, no one else.",29
karena Meki mai le dènge ana kèni cue pake sehe dua,beCAUSE(IND) Meki come PERF with child keel one use oar two,since Meki came with a small canoe with two oars.,29
sehe èci Meki kèpe sedangkan sehe èci dhèu kèpe dhae,oar one Meki catch whereas(IND) oar one person catch not.yet,"one oar, Meki holds it, whereas one more oar, no body holds it yet.",29
jadi dhèu kèpe sehe èci iala Santi,so(IND) person catch oar one be(IND) Santi,so the one who should hold the other oar is Santi,30
tengaa ja'a peka ku la,but 1SG say tag PART,but I need to tell,30
ana kalicu muri hedu,child young live sway,she is still too young,30
dhu pasale aa,REL whimper EXCL,who may whimper,30
sakola nèngu risi èdhi,school(Mal) 3SG more 1PL.in,she is more educated than us,30
karena èdhi ina ama dhèu buta huruf,beCAUSE(IND) 1PL.in mother father person blIND(IND) letters(IND),"because we, parents, are illiterate.",30
tengaa mai asa ngangee na nèngu dai mèka èdhi,but come to think PART 3SG reach not.yet 1PL.in,"but in the case of knowledge, she still lacks experience, compared to us.",30
