source_word,target_word,pos
carry,pasa,vt
carry,tebe,vt
cart,gareta,n
wagon,gareta,n
carved,suri,vt
cassava,sihu aj'u,n
cat,meo,n
catastrophe,rai opo,n
catch,kèpe,vt
cave,loe₁,n
cement,samee,n
cemetry,lutu bhatu,n
centimeter,senti,n
chair,kadera,n
change,uba,v
chanting,hini,n
seed,hini,n
charcoal,kadhu,n
charcoal,kalaha'a,n
charm,na'i,n
chase,bate,vt
chase,magèle₁,vt
chase,magèle₂,vt
chase,megèle,vt
chase away,so,v
cheek,ripi,n
cheer,pabaa,v
chest,kabhu,n
chest,kakara,n
chew,panyami,v
chew,mame,vt
chicken,manu,n
chicken spur,pa'iu,n
child,ana,n
chili,sili,n
chin,pangalahii,n
China,Sina,n
chirrup,kio,vi
chisel,pae,n
choke,mati'a,vi
chop,j'ue,vt
chord,lodha₁,n
cigarette,roko,n
circle,kahore,adj
clamp,ngapi,vt
clap,katèju₂,v
clap water,dobho₂,v
clean,j'angi,v
clean up,soso,v
clear,ko'o,vt
cleave,kacèbhe,vt
cleave,sèg'i,v.
crack,sèg'i,v.
cleave,bèka,v.
lacerate,bèka,v.
climb,karèke,vt.
close,kutu,v.
close,bèdho,vt.
close,saguru,vt.
close,cèlu,v.
putty,cèlu,v.
closing,kakutu,n.
cloth,bèla,n.
cloth,kepe,n.
cloth,sig'i,n.
cloud (white),rai liru,n.
cluck,doa₂,vi.
clump,nau,n.
cluster of lontar,nau.dhua,n.
coaxing,rarange,v.
coaxing,solo.mako,v.
cobweb,gaguu,n.
coconut,nyiu,n.
coconut calyx,karoba,n.
coconut fiber,kahunu,n.
coconut's shell,sasule,n.
coffee,kohi,n.
cold,pacuhi,vi.
collapse,guri,vi.
collect,oru,vt.
colorful,karata,adj.
come,mai,vi.
come to,mai asa,
command,paredha,vt.
govern,paredha,vt.
compare,pajojo,vt.
accuse,galaa₁,vt.
demand,galaa₁,vt.
complete,tesa,vi.
condensed,kabhète,adj.
thick,kabhète,adj.
confiscating each other,parame,vt.
connect,patuhu,v.
consider,babenu,v.
consider,kasere,vi.
consider,pajiko,vt.
continue,no-no,TAM.
continue,tao-tao,TAM.
continue,taruu,TAM.
continuously,tino,adv.
cook,pana₂,vt.
cooked rice,kau,n.
corn,tarae.sina,n.
corner,kabicu,n.
cornered,katata,vi.
cotton,kanyahu hèngu,n.
coughed,me'a₂,vi.
count,bareke,v.
count,iga,vt.
cover,katanga,n.
cover,hutu,vt.
crab,karaka,n.
crawl,rodo,vi.
crazy,huj'u,vi.
creep,rodo,vi.
creeping,loro,n.
cresset,suru,n.
crew,mataroo,n.
croak,mag'ao,v.
crock,g'ala,n.
crocodile,baki.hoe,n.
crooked,koe,adj.
bent,koe,adj.
cross,pège,v.
crow,kokotoo,v.
crowd in,malupu,vi.
crowd in,pasèki,vt.
crowded,iia-aala,vi.
crowded,rame,vi.
crown,lèbha,n.
crunchy,kèru-kèru,adv.
crunchy,sakaa,v.
cry,banga.taraa,vi.
cry,tangi,vi.
cry out,taraa,v.
crying aloud,tangi dolo aae,v.
crying sound,ooi-ooi,adv.
crying sound,kii-kii,v.
cup,mago,n.
current,rii,n.
custom,ada,n.
cut,èta₂,v.
cut,poro,v.
cut,tutu,v.
cut,para,vt.
cut,tate,vt.
cut open,sola,vt
cut with scissor,g'ute,v
cut (fish),dhadhe,vt
cuttings of rice,karunu,n
dab,gai,vt
dance,jara,v
dance,ledho,vi
dance,roge,vi
dangle,kaheko,vt
dark,maroga,adj
day,lod'o,n
time,lod'o,n
sun,lod'o,n
daytime,lonètu,n
daytime,mèu,n
daytime,mèu te'e,n
deaf,katele,v
debt,kèlu,n
deed,tatao,n
deep,marèma,adj
definitely,neuka,adv
demon,nidhu,n
dense,bhetu,adj
December,Nyale Sèpu,n
despise,padhèdi,v
destroyed,laho,vi
dew,paringi,n
dice,dobe,n
die,madhe,v
difficult,j'èra,vi
suffer,j'èra,vi
difficulties,dadèdhu,adj
dig,kèi,v
dilligent,maj'èni,adj
dilute,dhobho,vt
dim,rau-rau,adv
dip,cèbu,vt
dirty,hera,adj
dirty,kaj'alu,adj
filthy,kaj'alu,adj
dirty,kaj'alu,n
filthy,kaj'alu,n
discuss,padhue,vi
disentangle,madahu,v
disentangle,uri,v
deal,uri,v
dispart,pakula,v
distance,tatia,n
disturb,rarode,v
dive,cèla,vi
dizzy,madea,v
do laundry,rarumu,vt
doctor,dote,n
dog,busa,n
done,mami,v
don't,mage,neg
afraid,mage,neg
don't,mage,vi
afraid,mage,vi
door,hèba,n
dove,koro j'aha,n
dragonfly,tibhene,n
drawee,kaj'èpe,v
dream,nii,vi
dregs,èto,n
dregs,sota,n
drift ashore,eta,vt
drill,pudhu,v
drink,kinu,vt
drink,minu,vt
drink,ninu,vt
drink,nginu,vt
drink,tinu,vt
drink,rinu,vt
drip,lola,vi
drip,suti,vi
dripping sound,rèji-rèji,v
drive,gili,v
drizzle,rèku-rèku,adv
drop,parèu,vt
drown,molo,vi
drowning,lala o'oo,v
drunk,mahu,vt
dry,mango,adj
dry,mèti,adj
dry,kalèsa,v
dry,kamango,vi
dry in sun,ai,v
dry in sun,gela,v
dry leaves,laloe,n
dry fruit of lontar,kabholo keke,n
dulcify with water,paringi,v
dull,bhaka,v
dust,ahu,n
dysentry,po'e raa,v
each,baka,PART
per,baka,PART
ear,rèu dhilu,n
earrings,ate-ate,n
east,dhimu,n
eat,"ku'a, mu'a, mi'a, na'a, nga'a, ta'a, ra'a",vt
edge,sebhe,n
edge,baboa,n
side,baboa,n
eel,roma,n
egg,kanadhu,n
eggplant,tère,n
egret,ha'u,n
eight,aru,num
eight grams,èma,n
elevate,sode,vt
spoon,sode,vt
embryo,parahi,n
emerge,madhore,v
empty,mola,vi
encounter,range,vt
endure,taha,vt
enemy,musu,n
enemy,musu,v
engraved,suri,vt
enlace,heo,v
enlace,sabhu kaho,v
enough,tèja,Qnt
enough,dai,Qnt
enough,dai,prep
enough,dai,vi
enter,maso,v
enter,nare,vt
escort,lere,vt
accompany,lere,vt
essence,subhi,n
estimated,puku,adv
everyday,ca'a-ca'a,adv
everyday,bèli-bèli,adv
everywhere,lème,n
evict,babège,vt
evict,bhabhoo,vt
evil spirit,nidhu,n
exceed,seli,adv
exchange,pasilu,v
exchange,tuka,v
exit,bhodho,vi
exit,kalua,vi
exit quickly,sabhoka,vi
eye,madha₁,n
eye,musi madha,n
eye brow,rèu madha,n
face,katanga madha,n
face,rohu,n
face,tangara,vi
face powder,madaa,n
facedown,sagèba,v
fall,bèbha,v
fall,kabhui,v
fall,manahu,v
fall,mèlu,vi
fall facedown,mopo-mopo,adv
falling sound,karubhu,n
family,a'a-ari,n
fence post,agarii,n
far,kaj'èu,adj
farewell,palangu,vi
fast,karohe,adv
fast,mèdhu₁,vi
aloud,mèdhu₁,vi
fat,kabèbu,adj
father,ama,n
fathom,rèpa,n
February,Nyale Edha,n
feces,dhèi,n
feed,panga'a,vt
feel,g'ag'e,vt
fell,patue,vt
female,bhèni,n
fence,oka,n
fence stone,tedhe,n
fence wood,lalolo,n
field,mamoo,n
field,pada,n
fight,patèku,vi
fight,pag'ag'a,vt
filings,rarodho,n
fill,isi,v
fill,pèlo,vt
fill forcefully,cèci,vt
filter,sule,v
filter,tatai,vt
filter,sasula,n
sieve,sasula,n
fine,lutu,adj
dense,lutu,adj
finish,haku,v
finish,nare,vt
arrive,nare,vt
finished,meme,vi
finished,èle,v
recover,èle,v
finishing,hi'i,v
fire blower,tatiu,n
fireplace,rao,n
firewood,kadèna,n
firewood,kadhèna,n
fish,i'a,n
fish net,pèku,n
fishhook,malebha,vt
fishing,mad'ulu,v
fish trap,huhu,n
fist,j'ubhu,v
five,lèmi,num
flag,paji,n
flame,kaha'a,n
flame,kaha'a,v
flank,gepe,vt
flat,mera,adj
flat object,kalibhi,n
flat stone,kabela,n
flimsy,tede,adj
float,gamu,n
floating,eebo-eebo,vi
flood,lala,n
floor mat,dhèpi,n
flow,hae,vi
flowing loose,koro-koro,adv
flute,sakino,n
fly,lara,n
fly,matana,v
foal,horo,n
foam,pèko,n
fold,lèpa,vt
fold,lèpe,vt
fold,lidhu,vt
follow,madhutu,v
foot,haga,n
forbidden,luri,vi
force,katèju,v
force,lakaseti,vi
force,panyuu,vi
force,pakaseti,vt
force,pakaseti,vi
forceps,kakatua,n
forehead,katanga rèi,n
forget,bhèlu,vi
formerly,uru,adv
fortunately,malo,adv
four,èpa,num
fragrant,mèngi,vi
blessing,mèngi,vi
free,patabuli,vt
free,iia,adv
common,iia,adv
fried,sèngi,v
friend,anga,n
friend,angalai,n
frighten,bege,vt
from,ngèti,prep
front,madha,n
fruit,hua,n
fruitless,bhob'o,n
full,pènu,vi
full moon,hèru kateme,n
fumigate,sanuu,vt
fur,tumea,n
garbage,maruru,n.
garden,oka,n.
garden,tine,n.
gather,kaboko,vi.
get,abhu,vt.
get into,ca'e,v.
climb,ca'e,v.
ascend,ca'e,v.
get,mera,v.
get,nara,vt.
gingger,lia pana,n.
give,hia,v.
give birth,kora/nara/rara iisi,vi.
give,j'ole,vt.
hand over,j'ole,vt.
hand up,j'ole,vt.
glass,galaa,n.
go along,noo-noo,v.
go arround,reo,vi.
go down,dha'u,vi.
go down,puru,vt.
go home,lèpa,vi.
go outside,podho,vi.
go outside,sali'u,vt.
goat,kahibi,n.
God the creator,horo parahi,n.
gold,hualaa,n.
gong,babha,n.
good,be'a,adj.
good,iia,adj.
gouge,cèru,vt.
lacerate,cèru,vt.
gourd,karèbho,n.
go,laku,vi.
go,lamu,vi.
go,la'e,vi.
go,lami,vi.
go,lati,vi.
go,la'a,vi.
go,lasi,vi.
gram,baj'u,n.
grandchild,èpu,n.
grandfather,baki,n.
grandmother,bèi,n.
grass,j'u'u,n.
great,aae,adj.
big,aae,adj.
green,mangèru,adj.
greet,sabhu,v.
greet,soru,v.
grey,ahu,adj.
grinding,kico-kico,adv.
grindstone,dari,n.
groan,bhesi,vi.
grope,dèu,v.
grope,gogo,v.
grope,d'èu,vt.
ground,rai,n.
land,rai,n.
territory,rai,n.
group,robhonga,n.
group of,maho,n.
grow,bhuku,n.
grow,muri,vi.
grub up,edo,v.
grub up,huki,vt.
gouge,huki,vt.
guard,j'aga,v.
guard,madhenge,vt.
guess,siri,vt.
gun,bhabhua,n.
gun,kasiro,v.
gun,kasiro,n.
guy,la'i aae,n.
half,camalore,vt.
half-cut,bèke,v.
hamper,pahadhe,v.
hand,kacui.aai,n.
hand over,soro,vt.
hand,ai,n.
stingray fish,ai,n.
fire,ai,n.
handkerchief,lesu,n.
handle,uru₁,n.
hang,kadhoe,v.
hang,patahi,vi.
hang,lalodhe,vt.
hanged,lodha₂,v.
happy,karej'e,adj.
hard,adhu,adj.
harvest,puu-g'ètu,vt.
harvest (fishing),osa,n.
hat,solo,n.
have cramps,mela,vi.
have just,heka₁,adv.
have nothing,lao-lao,adv.
have tobacco on lips,sag'ig'i,v.
hawk,manea,n.
head,kapala,n.
head,kètu₁,n.
head,salaka,n.
hear,tadèngi,vi.
heart,dara,n.
heart,usu,n.
heavy,bia,adj.
help,bara,v.
herd,èo,vt.
herd,eo,vt.
turn,eo,vt.
he/she (SG),nèngu,pro.
he/she (SG),ne,pro.
hey,weh,Interj.
hide,lu'u,v.
hide,huni₁,vt.
high tide,dhasi joro,n.
high tide,luu,vi.
high tide,pasa,vt.
high tide,dhasi.uli,n.
highway,oka-hoo,n.
hill,kabhuku,n.
hill,ledhe,n.
hinges,hensel,n.
hip,haleja,n.
hit,dhèto,v.
hit,gama,v.
hit,dhedhe₁,vt.
hit,haka,vt.
hit,mamobo,vt.
hit,rage,vt.
hit gong,babha,v.
hoelike tool,bego,n.
hold,kèd'u,v.
hold,lake,v.
hold,horo₁,vt.
hold,kadhèi,vt.
hold,kèdu,vt.
hold,kèpe,vt.
hold,nèd'u,vt.
hold,saru'u,vt.
hold,sa'u,vt.
hold on,mèdu,v.
hole,ro'a,n.
cemetery,ro'a,n.
Holiday,Hari Besa,n.
Holy Spirit,Manadhu Lai Lodha,n.
honorable,hua iia,adj.
hook,pakai,vi.
hope,maena,vt.
hope,sanao,vt.
horns,tadhu,n.
horse,jara,n.
hot,sagoro,n.
hot,pana₁,vt.
house,èmu,n.
how,tasameramia,Qw.
how,tasamia,Qw.
how many,pèri,Qw.
how much,ca ngaa,Qw.
hug,liku,vt.
embrace,liku,vt.
hull,senta,n.
humid,kabe'e,vi.
hundreds,ngasu,num.
hungry,lojo,vi.
hungry,manganga,vi.
I (clitic),ku₁,pro
I (SG),cèku,pro
I (SG),ja'a,pro
if,teko,adv
if,karii,cnj
if,ladhe,cnj
if only,sèmi,prep
igniter,garu,n
matches,garu,n
in a moment,ciki-diki,adv
in need,to'a,adj
in a row,patia,vi
incredulous,cècu,vt
incubate,tutu,v
indigo,dhau,n
ineptly,leli,adv
injection,jesi,vt
injury,bhabe,n
injury,nu'a,n
in-laws,matu,n
insert,kiju,vt
tuck,kiju,vt
inside,dara,n
inside body,dèlu,n
inside threat (of weaving),pama'a,n
inspect,parisa,v
intact,kateme,adj
intestine,tanèi,n
invite,hoka,vt
invite,nèru,vt
invite,gale,vt
urge,gale,vt
iron,bèsi,n
iron,haj'a,n
island,kabarai,n
island,pulu,n
it means,maso,adv
itch,pèdi,vi
ivory,gadi,n
jail,bui,n
jail,ridhu,vt
January,Ari Nyale,n
January,Tèu Bharu,n
June,Bhui Nidhu,n
traditional ceremony,Bhui Nidhu,n
Japan,Japaa,n
jungle,j'ami,n
Jesus,Jesu,n
just,dhoka,adv
Jote,Jote,n
just,kala'a,TAM
July,Marose,n
just,sène,TAM
jump,boku-boku,adv
jump,bèdhi,v
jump,pasoka,v
jump,soa,v
just now,deo,adv
just now,doe iiki,TAM
kampong,rae,n
keep,tèka,vt
put,tèka,vt
alight,tèka,vt
perch,tèka,vt
kapok,kahèru,n
keep,tèke₁,v
save,tèke₁,v
keel,kèni,n
postpone,budu.tèke,v.
kick,katuju,vt.
kidding,aka,v.
kiss,uu,v.
kitchen,dapu,n.
knee,urutuu,n.
knife,tudi,n.
knife case,sope tudi,n.
know,ke'a,vt.
know,me'a,vt.
know,ne'a,vt.
know,nge'a,vt.
know,te'a,vt.
know,re'a,vt.
container,gagiti,n.
kueh,koki,n.
lack,dadèdhu,adj.
ladle,pangala,n.
lake,dano,n.
lamp,labhu,n.
land,dae,n.
language,lii,n.
lap,iha,n.
large,kapai,adj.
large turledove,koro,n.
larynx,koko,n.
lasso,sasii,n.
later,pe,adv.
latest,limuri,adv.
last,limuri,adv.
laugh,radhu,v.
laugh,mari,vt.
lazy,talej'e,v.
lazy,baieeda,vi.
lazy,haa-bai,vi.
leader,kapala,n.
leader,katua,n.
leaf,rèu,n.
leafless,motu,adj.
leafy,rapo,n.
leak through,katiti,v.
lean on,sarai,v.
leave,lega,v.
leave,lege,vi.
leave,pakèdi,vi.
leave behind,tèke,v.
leave,dhiu,vi.
left,kariu,n.
leg,haga,n.
legend,nanuku,n.
lemon,j'èru sina,n.
less,kura,vi.
lest,aeka,cnj.
let,hudi,v.
not care,hudi,v.
level,tada,n.
lever,cui,v.
lie,ag'o,v.
lie,bèle,vi.
lie,leko-monya,vi.
lie,pasili,vt.
cross,palèbha,v.
lift,boti,v.
lift,dede,vt.
lift up,nedhe,v.
lifted up,boti-boti,adv.
light,samaa,adj.
lightning,bela,n.
like,sèmi,prep.
like,dèi,vt.
liken,paloa,vi.
Like or dislike,neu-neu,adv.
absolutely,neu-neu,adv.
lime,ao,n.
lime powder container,tiba,n.
lips,panyoro,n.
listen,nanene,v.
little,ciki,adj.
live,muri,vi.
liver,adhe,n.
lizard,ana sapa,n.
lizard,tèke,n.
in,buli,prep.
lock,goe,vt.
logs,aj'u,n.
wood,aj'u,n.
tree,aj'u,n.
mud,lobho,n.
long,madhera,adj.
long time,nèbhu,adj.
lontar/coconut leaf,rèu suru,n.
lontar palm,kèli,n.
lontar stem with thorn,saga.roro,n.
look around,oro,v.
look after,kaboi,vt.
rear,kaboi,vt.
raise,kaboi,vt.
loom,lore,n.
loose,golo,adj.
loosen,cèpu,vt.
loosen bowels,po'e,vi
Lord,Lamatua,n
lose,ele,vi
lose,meme,vi
lose,mèle,vi
loss,balu₂,n
loss,balu₂,adj
louse,udhu,n
love,sue,vt
low,haha,adj
low,haha,n
low tide,mara,n
low tide,rèmi,n
lung,haa₂,n
machete,hela,n
make,tao,vt
make,tao,adv
make known,padelo,vt
make salt,marèi,vt
awake,marèi,vt
make conspicuous,adu ue,vi
make layer,labhi,vt
make noise,bhute,v
make oval,dobho₁,v
Malay,Malai,n
male,mone,n
male,la'i,n
man,mone,n
manage,pangèci,v
manage,lalo'o,vt
manggo,pao,n
manner,j'ara,n
way,j'ara,n
many,ae₁,adj
marbles,ana bhadolu,n
March,Nyale Dhao,n
marry,kabi,vi
match,mèci,adv
material,nèu₁,n
mattress,bosalaa,n
May,Hèru Holomanu,n
maybe,sina,cnj
meaning,sasoa,n
measure,uku,v
do magic,uku,v
meat,sisi,n
medicine,na'i,n
meet,raga,vt
melt,libu,v
melted mucus,tabhu'u,v
mention,ale,vt
message,moa,vi
middle,ta,adv
middle,talora,n
million,kehi,num
mist,bhuru,n
mix,pakihu,vt
mock,padhidhi,vt
model,mode,n
moist,kabe'e,vi
momentarily,none,adv
money,doi,n
money,kajii,n
monkey,kode,n
moon,hèru,n
month,hèru,n
more,risi,adv
moringa,jihona,n
moringa,j'ihona,n
morning,madae,n
morta,ngècu,n
mother,ina,n
mother,mama,n
mother,rena,n
motherless,lalu,n
motif,sasau,n
moti'f,pajala,n
mountain,ledhe,n
mountain side,lia,n
mourn,balu₃,v
mouse,maraho,n
mouth,hèba,n
mouth,suu panutu,n
move,eso,v
move,hari,vi
move,pidha,vi
move,hiki,vt
Mr,ama,n.
Mr,Lamatua,n.
mud,kabheca,n.
mud,lub'u,n.
muddy,kabhèca,v.
mug,moo,n.
name,ngara,n.
name of fish,kalij'u,n.
namely,nuka,adv.
as,nuka,adv.
nape,hui kehi,n.
nape,lasa ara,n.
narrow,kobo,adj.
navel,èsu,n.
Ndao,Dhao,n.
near,dètu,v.
nearly,nia,adv.
nearly,oe-eo,TAM.
neck,ladhagoro,n.
neck,lakoko,n.
nerve,kalua,n.
nest,rèdha,n.
net,dhai,n.
net,j'ala,n.
new,hiu,adj.
New Year,Tèu Bharu,n.
nice,be'a,adj.
night,mèda,n.
nine,ceo,num.
no,aad'o,neg.
no longer,heka,neg.
noon,lod'o nètu,n.
noon,titu mera,n.
normally,ca'a-ca'a,adv.
north,badae,n.
not,boe,neg.
not move,kaloo,v.
notch,tanu'i,n.
nothing,hua,adv.
not stop,bau boe,neg.
not yet,dhae,neg.
November,Matena,n.
nurse,matarii,n.
oar,sehe,n.
October,Hadhu aae,n.
October,Hèru Hadhu aae,n.
octopus,kapaj'u,n.
offer,paj'ojo,vt.
oh,o,EXCL.
oh,oo,Interj.
oh my God,ira e,—
oil,lèngi,n.
oil,mènyi,n.
fat,mènyi,n.
old,dhui,adj.
older sibling,a'a,n.
once,catèka,adv.
once,sèka,v.
one,ci'u,num.
one,èci,num.
one,cue,num.
a,cue,num.
onion,lasona,n.
only,dho-dhoka,adv.
only,di,adv.
only,mèra,adv.
only,tao,vt ; adv.
ooh,eea,EXCL.
ooh,wa,EXCL.
gosh,wa,EXCL.
ouch,inaa,EXCL.
open,bhoke,vt.
open,conge,vt.
outside,li'u,adv.
outside,baboro,n.
open ceremony,caro.nadha,n.
overflow,lala,vi.
overflow,lale,vi.
oppose,laba,vt.
oppose,sisu,vt.
overlap,ènyi,v.
overlapping,manya'e,vi.
or,do,Cnj; PART;.
overshade,leo₂,vi.
shelter,leo₂,vi.
order,paleha,vt.
own,dènge,v.
order,pua,vt.
owner of boat,juraga,n.
other,leo₁,adj.
pacify,paiia,vi.
pea,kabui,n.
paddy,are,v.
cross,are,v.
peace,dame₁,v.
paint,dule,v.
peel,kacici,v.
paint,dame₂,vt.
peel,kaliji,v.
pair,sase,v.
peep at,ma'u,vt.
palm beam,kabhèu,n.
pencil,potoloo,n.
palm fiber,kadhai,n.
person,dhèu,n.
persuade,leko,v.
palmjuice,dhua,n.
sap,dhua,n.
petrescent,mèje,n; vi.
palpitate,kadhèko,v.
phalange,sasesu,n.
pandanus,lata,n.
pick,puu,v.
panting (walk),eepo-eepo,adv.
pick,g'ètu,vt.
pants,baruku,n.
piece,tète,v.
pants,baru,n.
piece,roro,vt.
pants,lamakera,n.
pig,hahi,n.
papaya,lolobhangi,n.
pile,udu,vt.
papyrus,tula,n.
pile up,tègu,vi.
parcel,bugu,n.
pillow,nanèlu,n.
part,kadhèli₂,n.
pinch,ku'u,vt.
part,kanee,n.
pitch,guru-guru,adv.
part,bèka,n.
fragment,bèka,n.
place,era₁,n.
part,èta₂,n.
piece,èta₂,n.
place athwart,palèbhe,vt.
partition,roa,n.
place name,Holomanu,n.
partly,cahag'e,adv.
plait,ènyu,v.
pass,lènge,vi.
plait,èpi,v.
passanger,manubha,n.
plait,cèbi,vt.
pastor,panita,n.
plait,tari,vt.
paw,cag'ari,v.
plane (wood),toru,n.
pay,bae,v.
intercept,sanunu,v.
pay,seba,v.
plant,lari,v.
plastic mat,parlaa,n.
plate,pega,n.
platform,kalaga-ledo,n.
play,karihu,v.
plural,si,PART.
point to,paj'uj'u,v.
poke,dhète,vt.
poke,dugu,v.
tease,dugu,v.
pole,raria,n.
poniard,samala,n.
sword,samala,n.
porpoise,ruj'u,n.
portion,pala,n.
possess,unu,v.
possession,unu,n.
possible,tao,vt
possible,tao,adv.
pound,abo,v.
pound,maj'u,v.
