verse,text
MAT 3:5,"Kemudian, orang-orang Yerusalem datang kepadanya, dan seluruh Yudea, dan seluruh wilayah di sekitar Yordan."
MAT 3:6,"Lalu, mereka dibaptiskan olehnya di Sungai Yordan, sambil mengakui dosa-dosa mereka."
MAT 3:7,"Namun, ketika Yohanes melihat banyak orang Farisi dan Saduki datang pada baptisannya, dia berkata kepada mereka, “Kamu, keturunan ular beludak, siapa yang memperingatkan kamu untuk lari dari murka yang akan datang?"
MAT 3:8,"Karena itu, hasilkanlah buah-buah yang sesuai dengan pertobatan,"
MAT 3:9,"dan jangan berpikir untuk berkata kepada dirimu sendiri, ‘Kami mempunyai Abraham, bapak leluhur kami,’ karena aku mengatakan kepadamu bahwa dari batu-batu ini, Allah sanggup membangkitkan anak-anak untuk Abraham!"
MAT 3:10,"Bahkan, sekarang, kapak diletakkan di akar pohon-pohon, dan setiap pohon yang tidak menghasilkan buah yang baik ditebang dan dilemparkan ke dalam api."
MAT 3:11,"Aku sesungguhnya membaptis kamu dengan air untuk pertobatan, tetapi Dia yang datang sesudah aku adalah lebih berkuasa daripada aku, yang membawa sandal-Nya pun aku tidak layak. Dia akan membaptis kamu dengan Roh Kudus dan dengan api."
MAT 3:12,"Alat penampi ada di tangan-Nya, dan Dia akan membersihkan tempat pengirikan-Nya, dan akan mengumpulkan gandum ke dalam lumbung. Namun, Dia akan membakar sekamnya dengan api yang tidak dapat dipadamkan.”"
MAT 3:13,"Kemudian, Yesus datang dari Galilea ke Yordan kepada Yohanes untuk dibaptis olehnya."
MAT 3:14,"Namun, Yohanes berusaha mencegah-Nya dan berkata, “Akulah yang perlu dibaptis oleh-Mu, tetapi justru Engkau yang datang kepadaku?”"
MAT 3:15,"Lalu, Yesus menjawab dan berkata kepadanya, “Biarkanlah hal itu terjadi sekarang pada kita untuk menggenapi seluruh kebenaran.” Dan, Yohanes pun membiarkan Dia."
MAT 3:16,"Setelah dibaptis, Yesus langsung keluar dari air, dan lihat, surga terbuka dan Dia melihat Roh Allah turun seperti burung merpati datang ke atas-Nya."
MAT 3:17,"Dan, dengarlah suara dari surga yang berkata, “Inilah Anak-Ku yang Kukasihi, kepada-Nyalah Aku berkenan.”"
MAT 4:1,"Kemudian, Yesus dipimpin oleh Roh ke padang belantara untuk dicobai oleh Iblis."
MAT 4:2,"Dan, Dia berpuasa empat puluh hari dan empat puluh malam, sesudah itu Ia menjadi lapar."
MAT 4:3,"Lalu, datanglah si pencoba itu dan berkata kepada Yesus, “Jika Engkau adalah Anak Allah, perintahkanlah supaya batu-batu ini menjadi roti.”"
MAT 4:4,"Namun, Dia menjawab dan berkata, “Ada tertulis, ‘Manusia bukan hidup dari roti saja, tetapi oleh setiap firman yang keluar melalui mulut Allah.’”"
MAT 4:5,"Kemudian, Iblis membawa-Nya ke kota suci dan menempatkan-Nya di puncak Bait Allah,"
MAT 4:6,"dan berkata kepada-Nya, “Jika Engkau Anak Allah, jatuhkanlah diri-Mu ke bawah karena ada tertulis: ‘Mengenai Engkau, Allah akan memerintahkan malaikat-malaikat-Nya dan mengangkat Engkau di atas tangan mereka supaya kaki-Mu jangan menyandung batu.’”"
MAT 4:7,"Yesus berkata kepadanya, “Sekali lagi, ada tertulis, ‘Kamu jangan mencobai Tuhan Allahmu.’”"
MAT 4:8,"Sekali lagi, Iblis membawa Yesus ke atas bukit yang sangat tinggi dan memperlihatkan kepada-Nya semua kerajaan dunia beserta kemegahannya,"
MAT 4:9,"dan berkata kepada-Nya, “Semuanya ini akan kuberikan kepada-Mu, jika Engkau sujud dan menyembahku.”"
MAT 4:10,"Kemudian, Yesus berkata kepadanya, “Enyahlah, Satan! Ada tertulis, ‘Kamu harus menyembah Tuhan Allahmu dan kepada-Nya saja kamu beribadah.’”"
MAT 4:11,"Setelah itu, Iblis meninggalkan Dia, dan lihat, malaikat-malaikat datang untuk melayani Dia."
MAT 4:12,"Lalu, ketika Yesus mendengar bahwa Yohanes telah ditangkap, Dia menyingkir ke Galilea."
MAT 4:13,"Dia meninggalkan Nazaret dan tiba di Kapernaum lalu tinggal di sana, di tepi danau, di perbatasan Zebulon dan Naftali,"
MAT 4:14,supaya digenapi apa yang dikatakan melalui Nabi Yesaya:
MAT 4:15,"“Tanah Zebulon dan tanah Naftali, jalan dekat danau, di seberang Yordan, Galilea, wilayah orang-orang bukan Yahudi,"
MAT 4:16,"bangsa yang diam dalam kegelapan melihat Terang yang besar, dan bagi mereka yang diam di negeri dan dalam bayang-bayang kematian, Terang itu telah terbit."
MAT 4:17,"Sejak waktu itu, Yesus mulai berkhotbah dan berkata, “Bertobatlah karena Kerajaan Surga sudah dekat!”"
MAT 4:18,"Ketika Yesus berjalan di tepi danau Galilea, Dia melihat dua bersaudara, yaitu Simon yang disebut Petrus, dan Andreas, saudaranya, sedang melempar jala di danau sebab mereka adalah penjala ikan."
MAT 4:19,"Dan, Dia berkata kepada mereka, “Marilah ikut Aku dan Aku akan menjadikanmu penjala manusia.”"
MAT 4:20,Mereka langsung meninggalkan jala-jalanya dan mengikut Dia.
MAT 4:21,"Dan, saat pergi dari sana, Dia melihat dua bersaudara yang lain, Yakobus anak Zebedeus dan Yohanes, saudaranya. Mereka berada dalam sebuah perahu bersama Zebedeus, ayah mereka, sedang memperbaiki jala-jalanya. Dan, Ia memanggil mereka."
MAT 4:22,"Dan, mereka langsung meninggalkan perahu dan ayah mereka, lalu mengikut Yesus."
MAT 4:23,"Yesus berkeliling ke seluruh daerah Galilea, mengajar di sinagoge-sinagoge mereka, memberitakan Injil Kerajaan, dan menyembuhkan segala macam penyakit, dan segala macam kesakitan di antara banyak orang."
MAT 4:24,"Dan, berita tentang Dia tersebar sampai ke seluruh Siria. Dan, mereka membawa kepada-Nya semua orang sakit yang menderita berbagai macam penyakit dan rasa sakit, dan yang kerasukan setan, yang sakit ayan, dan yang lumpuh, dan Dia menyembuhkan mereka."
MAT 4:25,"Kerumunan besar dari orang banyak pun mengikuti Dia dari Galilea, Dekapolis, Yerusalem, Yudea, dan dari seberang Yordan."
MAT 5:1,"Ketika melihat orang banyak itu, Yesus naik ke atas bukit. Dan, setelah Dia duduk, murid-murid-Nya datang kepada-Nya."
MAT 5:2,"Dan, Dia membuka mulut-Nya dan mengajar mereka, kata-Nya,"
MAT 5:3,“Diberkatilah orang yang miskin dalam roh sebab mereka yang mempunyai Kerajaan Surga.
MAT 5:4,Diberkatilah mereka yang berdukacita sebab mereka akan dihibur.
MAT 5:5,Diberkatilah orang yang lembut hatinya sebab mereka akan mewarisi bumi.
MAT 5:6,Diberkatilah mereka yang lapar dan haus akan kebenaran sebab mereka akan dikenyangkan.
MAT 5:7,Diberkatilah mereka yang berbelas kasihan sebab mereka akan memperoleh belas kasihan.
MAT 5:8,Diberkatilah mereka yang murni hatinya sebab mereka akan melihat Allah.
MAT 5:9,Diberkatilah mereka yang membawa damai sebab mereka akan disebut anak-anak Allah.
MAT 5:10,Diberkatilah mereka yang dianiaya demi kebenaran sebab mereka yang memiliki Kerajaan Surga.
MAT 5:11,"Diberkatilah kamu apabila orang mencelamu dan menganiayamu, dan mengatakan segala macam perkataan jahat terhadapmu dengan fitnah karena Aku."
MAT 5:12,"Bersukacita dan bergembiralah karena besar upahmu di surga, karena demikianlah mereka menganiaya para nabi sebelum kamu.”"
MAT 5:13,"“Kamu adalah garam dunia, tetapi kalau garam itu menjadi hambar, dengan apa ia akan diasinkan? Dia tidak berguna sama sekali selain untuk dibuang dan diinjak-injak oleh manusia.”"
MAT 5:14,“Kamu adalah terang dunia. Kota yang terletak di atas bukit tidak dapat disembunyikan.
MAT 5:15,"Orang-orang juga tidak menyalakan pelita dan meletakkannya di bawah gantang, melainkan di atas kaki pelita, dan ia menerangi semua yang ada di dalam rumah."
MAT 5:16,Biarlah terangmu juga bercahaya dengan cara yang sama supaya mereka dapat melihat perbuatan-perbuatanmu yang baik dan memuliakan Bapamu yang di surga.”
MAT 5:17,“Jangan berpikir bahwa Aku datang untuk meniadakan Hukum Taurat atau kitab para nabi. Aku datang bukan untuk meniadakannya melainkan untuk menggenapinya.
MAT 5:18,"Aku mengatakan yang sebenarnya kepadamu, sampai langit dan bumi berlalu, tidak ada satu iota atau satu coretan pun yang akan hilang dari Hukum Taurat sampai semuanya digenapi."
MAT 5:19,"Karena itu, siapa yang meniadakan salah satu dari perintah-perintah terkecil ini dan mengajar orang lain untuk melakukan hal yang sama, ia akan disebut yang terkecil dalam Kerajaan Surga. Namun, siapa yang melakukan perintah-perintah itu dan mengajarkannya akan disebut besar dalam Kerajaan Surga."
MAT 5:20,"Sebab, Aku mengatakan kepadamu bahwa jika kebenaranmu tidak lebih baik daripada kebenaran ahli-ahli Taurat dan orang-orang Farisi, kamu sama sekali tidak akan masuk ke dalam Kerajaan Surga."
MAT 5:21,"Kamu telah mendengar yang dikatakan kepada nenek moyang kita, ‘Jangan membunuh,’ dan ‘Siapa yang membunuh pantas dibawa ke pengadilan.’"
MAT 5:22,"Akan tetapi, Aku mengatakan kepadamu bahwa siapa pun yang marah kepada saudaranya pantas berada dalam hukuman, dan siapa pun yang berkata kepada saudaranya, ‘Kamu tolol,’ pantas berada di hadapan Mahkamah Agama, dan siapa pun yang berkata, ‘Kamu bodoh,’ pantas berada dalam neraka api."
MAT 5:23,"Karena itu, jika kamu mempersembahkan persembahanmu di atas altar, dan di sana kamu teringat bahwa ada sesuatu dalam hati saudaramu terhadapmu,"
MAT 5:24,"tinggalkanlah persembahanmu itu di depan altar dan pergilah untuk terlebih dahulu berdamai dengan saudaramu, setelah itu kembalilah dan persembahkan persembahanmu."
MAT 5:25,"Secepat mungkin, berdamailah dengan orang yang menuduhmu selagi kamu dalam perjalanan bersamanya supaya jangan penuduhmu itu menyerahkanmu kepada hakim, dan hakim itu menyerahkanmu kepada pegawainya, dan kamu dijebloskan ke dalam penjara."
MAT 5:26,"Aku mengatakan yang sebenarnya kepadamu, kamu tidak akan pernah keluar dari sana sampai kamu sudah membayar sen yang terakhir.”"
MAT 5:27,"“Kamu sudah mendengar bahwa dikatakan, ‘Jangan berzina.’"
MAT 5:28,"Akan tetapi, Aku mengatakan kepadamu bahwa setiap orang yang memandangi seorang perempuan dan menginginkannya, ia sudah berzina dengan perempuan itu di dalam hatinya."
MAT 5:29,"Kalau mata kananmu membuatmu berdosa, cungkillah matamu itu dan buanglah itu darimu. Sebab, lebih baik kamu kehilangan salah satu anggota tubuhmu daripada seluruh tubuhmu dibuang ke dalam neraka."
MAT 5:30,"Dan, jika tangan kananmu membuatmu berdosa, potong dan buanglah tanganmu itu darimu karena lebih baik kamu kehilangan salah satu anggota tubuhmu daripada seluruh tubuhmu dibuang ke dalam neraka."
MAT 5:31,Sudah dikatakan: Siapa yang menceraikan istrinya harus memberi surat cerai kepada istrinya itu.
MAT 5:32,"Akan tetapi, Aku mengatakan kepadamu bahwa siapa yang menceraikan istrinya, kecuali karena zina, ia membuat istrinya berzina. Dan, siapa yang menikah dengan perempuan yang telah diceraikan itu, ia juga berzina."
MAT 5:33,"Sekali lagi, kamu telah mendengar yang dikatakan kepada nenek moyang kita, ‘Jangan bersumpah palsu, tetapi penuhilah sumpahmu itu di hadapan Tuhan.’"
MAT 5:34,"Namun, Aku berkata kepadamu: jangan sekali-kali kamu bersumpah, baik demi surga karena surga adalah takhta Allah,"
MAT 5:35,"ataupun demi bumi karena bumi adalah tumpuan kaki-Nya, ataupun demi Yerusalem karena itu adalah kota Sang Raja Besar."
MAT 5:36,"Jangan juga kamu bersumpah demi kepalamu karena kamu tidak dapat membuat sehelai rambut pun, putih atau hitam."
MAT 5:37,"Namun, hendaklah perkataanmu, ya jika ya, tidak jika tidak, karena yang selebihnya dari itu berasal dari si jahat."
MAT 5:38,"Kamu telah mendengar apa yang telah dikatakan, ‘Mata ganti mata dan gigi ganti gigi.’"
MAT 5:39,"Namun, Aku mengatakan kepadamu jangan melawan yang jahat, melainkan siapa yang menamparmu pada pipi kanan, sodorkan kepadanya pipimu yang lain juga."
MAT 5:40,"Dan, jika seseorang hendak menuntutmu dan mengambil bajumu, berikan juga jubahmu kepadanya."
MAT 5:41,"Dan, siapa yang memaksamu berjalan 1 mil, berjalanlah bersamanya sejauh 2 mil."
MAT 5:42,Berilah kepada orang yang meminta kepadamu dan jangan menolak orang yang ingin meminjam darimu.”
MAT 5:43,"“Kamu telah mendengar yang difirmankan, ‘Kasihilah sesamamu,’ dan ‘Bencilah musuhmu.’"
MAT 5:44,"Namun, Aku berkata kepadamu, kasihilah musuh-musuhmu dan berdoalah bagi orang-orang yang menganiaya kamu,"
MAT 5:45,"dengan demikian kamu dapat menjadi anak-anak Bapamu yang di surga karena Dia menerbitkan matahari-Nya bagi yang jahat dan yang baik, dan menurunkan hujan bagi yang benar dan yang tidak benar."
MAT 5:46,"Sebab, kalau kamu hanya mengasihi orang-orang yang mengasihimu, upah apa yang kamu dapatkan? Bukankah pengumpul pajak juga melakukan hal yang sama?"
MAT 5:47,"Dan, jika kamu memberi salam hanya kepada saudara-saudaramu, apa lebihnya perbuatanmu? Bukankah orang-orang yang tidak mengenal Allah juga berbuat seperti itu?"
MAT 5:48,"Karena itu, kamu harus menjadi sempurna, seperti Bapamu yang di surga adalah sempurna.”"
MAT 6:1,"“Waspadalah dalam melakukan kewajiban agamamu di hadapan manusia, untuk dilihat oleh mereka. Jika demikian, kamu tidak akan menerima upah dari Bapamu yang di surga."
MAT 6:2,"Karena itu, ketika kamu memberi sedekah, jangan membunyikan trompet di hadapanmu seperti yang orang-orang munafik lakukan di sinagoge-sinagoge dan di jalan-jalan supaya mereka dipuji orang lain. Aku mengatakan yang sebenarnya kepadamu bahwa mereka sudah menerima upahnya."
MAT 6:3,"Akan tetapi, ketika kamu memberi sedekah, jangan biarkan tangan kirimu mengetahui apa yang tangan kananmu lakukan,"
MAT 6:4,supaya sedekahmu itu tersembunyi dan Bapamu yang melihat yang tersembunyi itu akan memberikan upah kepadamu.”
MAT 6:5,"“Dan, ketika kamu berdoa, jangan kamu seperti orang-orang munafik karena mereka suka berdiri dan berdoa di sinagoge-sinagoge dan di sudut-sudut jalan supaya dilihat orang lain. Aku mengatakan yang sesungguhnya kepadamu, mereka sudah menerima upahnya."
MAT 6:6,"Akan tetapi, ketika kamu berdoa, masuklah ke dalam kamarmu dan tutuplah pintunya, dan berdoalah kepada Bapamu yang ada di tempat tersembunyi, maka Bapamu yang melihat yang tersembunyi itu akan memberikan upah kepadamu."
MAT 6:7,"Dan, ketika kamu berdoa, jangan menggunakan kata-kata yang tidak ada artinya, seperti yang dilakukan orang-orang yang tidak mengenal Allah, sebab mereka mengira dengan banyaknya kata-kata, mereka akan didengarkan."
MAT 6:8,"Karena itu, jangan seperti mereka karena Bapamu mengetahui apa yang kamu perlukan sebelum kamu meminta kepada-Nya."
MAT 6:9,"Berdoalah demikian, ‘Bapa kami yang di surga, Dikuduskanlah nama-Mu."
MAT 6:10,"Datanglah kerajaan-Mu, jadilah kehendak-Mu di bumi seperti di surga."
MAT 6:11,"Berikanlah kami, pada hari ini, makanan kami yang secukupnya."
MAT 6:12,"Dan, ampunilah kesalahan-kesalahan kami, seperti kami juga mengampuni orang-orang yang bersalah kepada kami."
MAT 6:13,"Dan, janganlah membawa kami ke dalam pencobaan, tetapi lepaskanlah kami dari yang jahat. Karena Engkaulah Sang Pemilik Kerajaan, dan kuasa, dan kemuliaan sampai selama-lamanya. Amin.’"
MAT 6:14,"Karena jika kamu mengampuni kesalahan-kesalahan orang lain, Bapa surgawimu juga akan mengampunimu."
MAT 6:15,"Akan tetapi, jika kamu tidak mengampuni kesalahan-kesalahan orang lain, Bapamu juga tidak akan mengampuni kesalahan-kesalahanmu.”"
MAT 6:16,"“Dan, ketika kamu berpuasa, jangan murung seperti orang munafik karena mereka mengubah mukanya supaya dilihat sedang berpuasa oleh orang lain. Aku mengatakan yang sebenarnya kepadamu bahwa mereka telah menerima upahnya."
MAT 6:17,"Akan tetapi, kamu, ketika berpuasa, minyakilah kepalamu dan cucilah wajahmu"
MAT 6:18,"supaya puasamu tidak dilihat orang, melainkan oleh Bapamu yang berada di tempat yang tersembunyi. Dan, Bapamu yang melihat perbuatanmu yang tersembunyi itu akan membalasnya kepadamu.”"
MAT 6:19,"“Jangan menimbun untuk dirimu sendiri harta di bumi, tempat ngengat dan karat merusak, dan tempat pencuri membongkar serta mencuri."
MAT 6:20,"Akan tetapi, kumpulkan untuk dirimu sendiri harta di surga, tempat ngengat dan karat tidak merusak, dan tempat pencuri tidak membongkar serta mencuri."
MAT 6:21,"Karena di tempat hartamu berada, di situ juga hatimu berada.”"
MAT 6:22,"“Mata adalah pelita tubuh. Jadi, kalau matamu baik, seluruh tubuhmu akan menjadi terang."
MAT 6:23,"Akan tetapi, jika matamu jahat, seluruh tubuhmu akan penuh kegelapan. Jadi, jika terang yang seharusnya ada padamu adalah kegelapan, betapa pekatnya kegelapan itu.”"
MAT 6:24,"“Tidak ada orang yang dapat melayani dua tuan karena ia akan membenci tuan yang satu dan mengasihi yang lain, atau ia akan setia kepada tuan yang satu dan meremehkan yang lain. Kamu tidak dapat melayani Allah dan mamon.”"
MAT 6:25,"“Sebab itu Aku berkata kepadamu, jangan khawatir tentang hidupmu, apa yang akan kamu makan atau apa yang kamu minum. Demikian juga tentang tubuhmu, apa yang akan kamu pakai. Bukankah hidup lebih penting daripada makanan, dan tubuh daripada pakaian?"
MAT 6:26,"Lihatlah burung-burung di langit yang tidak menabur, tidak menuai, dan tidak mengumpulkan ke dalam lumbung, tetapi Bapa surgawimu memberi mereka makan. Bukankah kamu lebih berharga daripada mereka?"
MAT 6:27,Siapakah di antara kamu yang karena khawatir dapat menambah sehasta pada usianya?
MAT 6:28,"Dan, tentang pakaian, mengapa kamu khawatir? Perhatikan bunga bakung di padang, bagaimana mereka tumbuh, mereka tidak bekerja dan juga tidak memintal,"
MAT 6:29,tetapi Aku mengatakan kepadamu bahwa Salomo dalam segala kemuliaannya pun tidak berpakaian seperti salah satu dari bunga-bunga itu.
MAT 6:30,"Jadi, jika Allah mendandani sedemikian rupa rumput di padang, yang ada hari ini dan besok dilemparkan ke dalam perapian, bukankah terlebih lagi Dia akan mendandani kamu, hai kamu yang kurang iman?"
MAT 6:31,"Karena itu, jangan kamu khawatir dengan berkata, ‘Apa yang akan kami makan?’, atau ‘Apa yang akan kami minum?’, atau ‘Apa yang akan kami pakai?’"
MAT 6:32,"Sebab, bangsa-bangsa lain mencari-cari semua ini dan Bapa surgawimu tahu bahwa kamu membutuhkan semua ini."
MAT 6:33,"Akan tetapi, carilah dahulu Kerajaan dan kebenaran-Nya, dan semuanya itu akan ditambahkan kepadamu."
MAT 6:34,"Jadi, jangan khawatir tentang hari esok karena hari esok akan mengkhawatirkan dirinya sendiri. Cukuplah suatu hari dengan kesusahannya sendiri.”"
MAT 7:1,“Jangan menghakimi supaya kamu tidak dihakimi.
MAT 7:2,"Karena dengan penghakiman yang kamu gunakan untuk menghakimi, kamu akan dihakimi, dan ukuran yang kamu gunakan untuk mengukur akan diukurkan kepadamu."
MAT 7:3,"Mengapa kamu melihat serpihan kayu di mata saudaramu, tetapi tidak mengetahui balok yang ada di matamu sendiri?"
MAT 7:4,"Atau, bagaimana bisa kamu berkata kepada saudaramu, ‘Biar aku mengeluarkan serpihan kayu itu dari matamu,’ tetapi lihat, ada balok di matamu sendiri?"
MAT 7:5,"Hai, orang munafik, keluarkan dahulu balok itu dari matamu, dan kemudian kamu akan melihat dengan jelas untuk mengeluarkan serpihan kayu dari mata saudaramu."
