verse,text
GEN 2:11,"Nama sungai yang pertama adalah Pison yang mengelilingi seluruh tanah Hawila, tempat yang ada emasnya."
GEN 2:12,"Emas dari tanah itu bagus, dan di sana ada damar bedolah dan batu krisopras."
GEN 2:13,Nama sungai yang kedua adalah Gihon yang mengalir mengelilingi seluruh tanah Kush.
GEN 2:14,Nama sungai yang ketiga adalah Tigris yang mengalir di sebelah timur Asyur. Sungai yang keempat adalah Efrat.
GEN 2:15,TUHAN Allah mengambil manusia itu dan menempatkannya di taman Eden untuk mengolahnya dan memeliharanya.
GEN 2:16,"Kemudian, TUHAN Allah memberikan perintah kepada manusia itu, firman-Nya, “Kamu boleh makan dari segala pohon apa yang ada di taman ini,"
GEN 2:17,"tetapi kamu jangan makan dari pohon pengetahuan tentang yang baik dan yang jahat, sebab pada hari kamu memakannya, kamu pasti akan mati.”"
GEN 2:18,"Kemudian, TUHAN Allah berfirman, “Tidak baik kalau manusia itu sendiri saja. Aku akan membuat baginya, penolong yang sepadan dengannya.”"
GEN 2:19,"Lalu, dari tanah, TUHAN Allah membentuk segala binatang di padang dan segala burung di udara, dan membawanya kepada manusia untuk melihat bagaimana dia akan menyebut mereka. Apa pun sebutan manusia itu bagi setiap makhluk hidup itu, itulah namanya."
GEN 2:20,"Jadi, manusia itu memberikan nama untuk semua hewan, untuk burung-burung di udara, dan semua binatang liar di padang. Akan tetapi, bagi manusia itu, tidak ditemukan seorang penolong yang sepadan dengannya."
GEN 2:21,"Lalu, TUHAN Allah mendatangkan tidur yang lelap atas manusia itu. Ketika dia tidur, TUHAN mengambil salah satu tulang rusuknya, lalu menutupnya dengan daging."
GEN 2:22,"Tulang rusuk, yang telah TUHAN Allah ambil dari manusia itu, dibuat-Nya menjadi seorang perempuan dan dibawa-Nya kepada manusia itu."
GEN 2:23,"Kemudian, manusia itu berkata, “Inilah tulang dari tulang-tulangku, dan daging dari dagingku; dia akan disebut perempuan karena dia diambil dari laki-laki.”"
GEN 2:24,"Karena itu, laki-laki akan meninggalkan ayahnya dan ibunya, lalu bersatu dengan istrinya sehingga mereka akan menjadi satu daging."
GEN 2:25,"Manusia dan istrinya itu, keduanya telanjang, tetapi mereka tidak merasa malu."
GEN 3:1,"Ular adalah yang paling licik dari segala binatang di padang yang telah dijadikan oleh TUHAN Allah. Dia berkata kepada perempuan itu, “Apakah Allah benar-benar berfirman, ‘Kamu tidak boleh makan dari pohon mana pun di taman ini?’”"
GEN 3:2,"Perempuan itu berkata kepada ular, “Kami boleh makan buah dari pohon-pohon di dalam taman,"
GEN 3:3,"tetapi dari buah pohon yang ada di tengah taman, Allah telah berfirman, ‘Kamu tidak boleh memakannya, kamu juga tidak boleh menyentuhnya, nanti kamu akan mati.’”"
GEN 3:4,"Namun, ular itu berkata kepada perempuan itu, “Kamu sama sekali tidak akan mati,"
GEN 3:5,"sebab Allah tahu bahwa pada hari kamu memakannya, matamu akan terbuka dan kamu akan menjadi seperti Allah, tahu yang baik dan yang jahat!”"
GEN 3:6,"Ketika perempuan itu melihat bahwa pohon itu baik sebagai makanan dan itu menarik bagi mata, dan pohon itu diinginkan untuk membuat seseorang bijaksana, dia pun memetik buahnya dan memakannya. Lalu, dia juga memberikannya kepada suaminya yang bersamanya, dan suaminya pun memakannya."
GEN 3:7,"Lalu, mata mereka berdua terbuka sehingga mereka tahu bahwa mereka telanjang. Kemudian, mereka menyemat daun-daun ara dan membuat cawat."
GEN 3:8,"Ketika mereka mendengar suara TUHAN Allah yang berjalan di taman pada suatu hari yang sejuk, manusia dan istrinya itu menyembunyikan diri mereka dari hadapan TUHAN Allah di antara pohon-pohon di dalam taman."
GEN 3:9,"Namun, TUHAN Allah memanggil manusia itu dan berkata kepadanya, “Di manakah kamu?”"
GEN 3:10,"Dia menjawab, “Aku mendengar suara-Mu di taman dan aku takut karena aku telanjang, jadi aku bersembunyi.”"
GEN 3:11,"Kemudian, TUHAN berkata, “Siapa yang memberitahukanmu kalau kamu telanjang? Apakah kamu makan dari pohon yang kepadamu telah Kuperintahkan jangan kamu memakannya?”"
GEN 3:12,"Manusia itu berkata, “Perempuan yang Engkau berikan untuk bersamaku itu, dialah yang telah memberikannya kepadaku dari pohon itu, maka aku pun memakannya.”"
GEN 3:13,"Lalu, TUHAN Allah berkata kepada perempuan itu, “Apa yang telah kaulakukan?” Perempuan itu menjawab, “Ular itu menipuku, maka aku makan.”"
GEN 3:14,"Kemudian, TUHAN Allah berkata kepada ular itu, “Karena kamu telah melakukan hal ini, terkutuklah kamu di antara segala hewan ternak, dan di antara segala binatang liar di padang. Dengan perutmu, kamu akan berjalan, dan kamu akan makan debu tanah seumur hidupmu."
GEN 3:15,"Aku akan mengadakan permusuhan antara kamu dengan perempuan ini, dan di antara keturunanmu dan keturunannya. Keturunannya akan meremukkan kepalamu, dan kamu akan meremukkan tumitnya.”"
GEN 3:16,"Kepada perempuan itu, Allah berfirman, “Aku akan sangat melipatgandakan susah payahmu ketika mengandung; dalam kesakitan kamu akan melahirkan anak-anak; tetapi kamu tetap akan berahi kepada suamimu, dan dia akan berkuasa atasmu.”"
GEN 3:17,"Lalu, kepada manusia itu, Dia berfirman, “Karena kamu mendengarkan suara istrimu, dan telah makan dari pohon yang kepadamu telah Kuperintahkan, ‘Jangan kamu memakannya,’ terkutuklah tanah karena kamu! Dengan susah payah kamu akan makan dari hasilnya selama hari-hari hidupmu."
GEN 3:18,"Semak duri dan rumput liarlah yang akan ditumbuhkan bagimu, dan kamu akan memakan tumbuh-tumbuhan di padang."
GEN 3:19,"Dengan keringat di wajahmu, kamu akan makan roti, sampai kamu kembali kepada tanah yang darinya kamu diambil. Sebab, kamu adalah debu, dan kamu akan kembali kepada debu."
GEN 3:20,Manusia itu menyebut istrinya Hawa karena dia adalah ibu dari semua yang hidup.
GEN 3:21,"TUHAN Allah membuat pakaian dari kulit untuk manusia dan istrinya itu, lalu mengenakannya kepada mereka."
GEN 3:22,"Setelah itu, TUHAN Allah berfirman, “Lihatlah, manusia itu menjadi seperti salah satu dari Kita, tahu tentang yang baik dan yang jahat. Sekarang, jangan sampai dia mengulurkan tangannya dan mengambil juga dari pohon kehidupan, lalu memakannya dan hidup selama-lamanya.”"
GEN 3:23,"Karena itu, TUHAN Allah menyuruhnya keluar dari taman Eden untuk mengolah tanah yang dari itu dia diambil."
GEN 3:24,"Setelah Allah menghalau manusia itu keluar, di sebelah timur taman Eden ditempatkan-Nyalah kerub-kerub dengan pedang api yang menyambar-nyambar untuk menjaga jalan menuju pohon kehidupan."
GEN 4:1,"Adam bersetubuh dengan Hawa, istrinya, lalu Hawa mengandung dan melahirkan Kain. Dia berkata, “Aku telah mendapatkan seorang laki-laki dari TUHAN!”"
GEN 4:2,"Kemudian, Hawa melahirkan adiknya, yaitu Habel. Habel menggembalakan domba, sedangkan Kain menggarap tanah."
GEN 4:3,"Pada suatu waktu, Kain membawa kepada TUHAN suatu persembahan hasil dari tanah itu,"
GEN 4:4,"Habel juga membawa yang sulung dari kawanan dombanya beserta lemak-lemaknya. TUHAN memperhatikan Habel dan persembahannya,"
GEN 4:5,"tetapi terhadap Kain dan persembahannya, Dia tidak memperhatikannya. Lalu, Kain menjadi sangat marah dan wajahnya muram."
GEN 4:6,"TUHAN berkata kepada Kain, “Mengapa kamu marah? Mengapa mukamu muram?"
GEN 4:7,"Jika kamu berbuat baik, bukankah kamu akan diterima? Namun, jika kamu tidak berbuat baik, dosa sudah mengintip di pintu, keinginannya adalah untukmu, tetapi kamu harus berkuasa atasnya.”"
GEN 4:8,"Kain berbicara dengan Habel, saudaranya. Lalu, terjadilah, ketika mereka berada di padang, Kain bangkit untuk menyerang Habel, saudaranya itu, dan membunuhnya."
GEN 4:9,"Lalu, TUHAN bertanya kepada Kain, “Di mana Habel, adikmu?” Kain menjawab, “Aku tidak tahu. Apakah aku penjaga adikku?”"
GEN 4:10,"TUHAN berkata, “Apa yang sudah kamu lakukan? Suara darah adikmu itu menjerit kepada-Ku dari dalam tanah."
GEN 4:11,"Sekarang, kamu terkutuk dari tanah yang telah membuka mulutnya untuk menerima darah adikmu dari tanganmu."
GEN 4:12,"Jika kamu menggarap tanah itu, ia tidak akan lagi memberikan hasilnya untukmu. Kamu akan mengembara dan menggelandang di bumi.”"
GEN 4:13,"Kemudian, Kain berkata kepada TUHAN, “Hukumanku itu lebih berat daripada yang sanggup kutanggung."
GEN 4:14,"Lihat! Hari ini Engkau telah menggiring aku dari tanah ini. Lalu, aku akan tersembunyi dari hadapan-Mu, dan aku akan menjadi buronan dan pengembara di bumi, dan akan terjadi, siapa saja yang bertemu denganku akan membunuhku.”"
GEN 4:15,"Namun, TUHAN berkata kepada Kain, “Karena itu, siapa pun yang membunuh Kain, kepadanya akan dibalaskan tujuh kali lipat.” Kemudian, TUHAN memberi tanda pada Kain supaya tidak seorang pun yang bertemu dengannya akan membunuhnya."
GEN 4:16,"Lalu, Kain pergi dari hadapan TUHAN dan menetap di tanah Nod, sebelah timur Eden."
GEN 4:17,"Kain bersetubuh dengan istrinya, lalu istrinya itu mengandung dan melahirkan Henokh. Kain membangun suatu kota dan menyebut nama kota itu seperti nama anaknya, Henokh."
GEN 4:18,"Bagi Henokh, lahirlah Irad, dan Irad adalah ayah Mehuyael. Mehuyael adalah ayah Metusael, dan Metusael adalah ayah Lamekh."
GEN 4:19,"Lamekh mengambil dua istri baginya, yang satu bernama Ada dan yang lain bernama Zila."
GEN 4:20,Ada melahirkan Yabal yang adalah nenek moyang semua yang tinggal dalam tenda dan beternak.
GEN 4:21,"Saudaranya bernama Yubal, dia adalah nenek moyang semua yang memainkan kecapi dan seruling."
GEN 4:22,"Zila juga melahirkan Tubal-Kain, dia yang menempa segala perkakas dari perunggu dan besi. Saudara perempuan Tubal-Kain adalah Naama."
GEN 4:23,"Lamekh berkata kepada kedua istrinya, “Ada dan Zila, dengarlah suaraku! Hai istri-istri Lamekh, dengarkanlah perkataanku! Aku telah membunuh seorang laki-laki karena lukaku, dan seorang laki-laki muda karena melukaiku."
GEN 4:24,"Jika kepada Kain dibalaskan tujuh kali lipat, kepada Lamekh dibalaskan 77 kali lipat!”"
GEN 4:25,"Adam bersetubuh lagi dengan istrinya, dan istrinya itu melahirkan anak laki-laki lainnya, dan menyebut namanya Set, sebab katanya, “Allah menentukan benih yang lain bagiku sebagai ganti Habel karena Kain telah membunuhnya.”"
GEN 4:26,"Seorang anak laki-laki juga lahir bagi Set, dan dia menyebut namanya Enos. Pada masa itulah manusia mulai memanggil nama TUHAN."
GEN 5:1,"Inilah catatan keturunan Adam. Pada hari Allah menciptakan manusia, Dia membuatnya dalam keserupaan dengan Allah."
GEN 5:2,"Dia menciptakan mereka, laki-laki dan perempuan, dan Dia memberkati mereka, dan menamai mereka manusia, pada hari mereka diciptakan."
GEN 5:3,"Ketika Adam hidup selama 130 tahun dan seorang anak laki-laki lahir baginya dalam keserupaan dengannya, menurut rupanya. Lalu, dia menamainya Set."
GEN 5:4,"Adam hidup 800 tahun lagi, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:5,"Jadi, seluruh masa hidup Adam adalah 930 tahun, kemudian dia mati."
GEN 5:6,"Ketika Set hidup selama 105 tahun, Enos lahir baginya."
GEN 5:7,"Set hidup 807 tahun lagi setelah Enos lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:8,"Jadi, seluruh masa hidup Set adalah 912 tahun, kemudian dia mati."
GEN 5:9,"Ketika Enos hidup selama 90 tahun, Kenan lahir baginya."
GEN 5:10,"Enos hidup 815 tahun lagi setelah Kenan lahir, dan dia mendapatkan anak laki-laki dan anak perempuan. Masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:11,"Jadi, masa hidup Enos adalah 905 tahun, kemudian dia mati."
GEN 5:12,"Ketika Kenan hidup selama 70 tahun, Mahalaleel lahir baginya."
GEN 5:13,"Kenan hidup 840 tahun lagi setelah Mahalaleel lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:14,"Jadi, masa hidup Kenan adalah 910 tahun, kemudian dia mati."
GEN 5:15,"Ketika Mahalaleel hidup selama 65 tahun, Yared lahir baginya."
GEN 5:16,"Mahalaleel hidup 830 tahun lagi setelah Yared lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:17,"Jadi, masa hidup Mahalaleel adalah 895 tahun, kemudian dia mati."
GEN 5:18,"Ketika Yared hidup selama 162 tahun, Henokh lahir baginya."
GEN 5:19,"Yared hidup 800 tahun lagi setelah Henokh lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:20,"Jadi, masa hidup Yared adalah 962 tahun, kemudian dia mati."
GEN 5:21,"Ketika Henokh hidup selama 65 tahun, Metusalah lahir baginya."
GEN 5:22,"Henokh berjalan dengan Allah selama 300 tahun setelah Metusalah lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:23,"Jadi, masa hidup Henokh adalah 365 tahun."
GEN 5:24,"Henokh berjalan dengan Allah, setelah itu dia tidak ada lagi, sebab Allah mengambilnya."
GEN 5:25,"Ketika Metusalah hidup selama 187 tahun, Lamekh lahir baginya."
GEN 5:26,"Metusalah hidup 782 tahun lagi setelah Lamekh lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:27,"Jadi, masa hidup Metusalah adalah 969 tahun, kemudian dia mati."
GEN 5:28,"Setelah Lamekh hidup selama 182 tahun, seorang anak laki-laki lahir baginya."
GEN 5:29,"Dia menamai anak itu Nuh dan berkata, “Dia ini akan menghibur kita dalam kerja keras dan jerih payah tangan kita akibat tanah yang telah TUHAN kutuk ini.”"
GEN 5:30,"Lamekh hidup 595 tahun lagi setelah Nuh lahir, dan masih ada anak laki-laki dan anak perempuan lainnya yang lahir baginya."
GEN 5:31,"Jadi, masa hidup Lamekh adalah 777 tahun, kemudian dia mati."
GEN 5:32,"Ketika Nuh hidup selama 500 tahun, Sem, Ham, dan Yafet lahir baginya."
GEN 6:1,"Ketika manusia mulai berlipat ganda di muka bumi dan anak-anak perempuan dilahirkan bagi mereka,"
GEN 6:2,"anak-anak Allah melihat bahwa anak-anak perempuan manusia itu cantik, lalu mereka mengambil istri-istri yang mereka pilih untuk diri mereka sendiri."
GEN 6:3,"Kemudian, TUHAN berfirman, “Roh-Ku tidak akan selama-lamanya beperkara dengan manusia karena dia adalah daging, hari-harinya akan menjadi 120 tahun.”"
GEN 6:4,"Ada raksasa-raksasa di bumi pada zaman itu, bahkan sesudahnya, ketika anak-anak Allah datang kepada anak-anak perempuan manusia dan melahirkan anak-anak bagi mereka. Inilah orang-orang yang perkasa sejak dahulu kala, orang-orang yang terkenal."
GEN 6:5,"TUHAN melihat bahwa kejahatan manusia demikian besar di bumi, dan setiap maksud pikiran dari hatinya semata-mata jahat sepanjang waktu."
GEN 6:6,"TUHAN menyesal bahwa Dia telah menjadikan manusia di bumi, dan hal itu mendukakan hati-Nya."
GEN 6:7,"Karena itu, TUHAN berfirman, “Aku akan memusnahkan manusia yang telah Kuciptakan dari muka bumi; baik manusia dan binatang, yang merayap dan burung-burung di udara, sebab Aku menyesal telah menjadikan mereka.”"
GEN 6:8,"Namun, Nuh mendapat perkenanan di mata TUHAN."
GEN 6:9,"Inilah keturunan Nuh. Nuh adalah orang yang benar, tidak bercela pada zamannya, dan Nuh berjalan dengan Allah."
GEN 6:10,"Tiga anak laki-laki lahir bagi Nuh, yaitu Sem, Ham, dan Yafet."
GEN 6:11,"Pada saat itu, bumi sudah rusak di hadapan Allah dan bumi dipenuhi dengan kekerasan."
GEN 6:12,"Allah mengamati bumi, dan lihatlah, ia sudah rusak, sebab semua manusia telah merusak jalan hidupnya di bumi."
GEN 6:13,"Lalu, Allah berkata kepada Nuh, “Akhir dari semua manusia telah datang di hadapan-Ku sebab bumi sudah dipenuhi dengan kekerasan oleh mereka. Lihat! Aku akan memusnahkan mereka bersama dengan bumi."
GEN 6:14,Buatlah bahtera dari kayu gofir untuk dirimu. Buatlah kamar-kamar di dalam bahtera itu dan lapisilah bagian dalam maupun luarnya dengan ter.
GEN 6:15,"Beginilah kamu harus membuatnya: panjang bahtera itu 300 hasta, lebarnya 50 hasta, dan tingginya 30 hasta."
GEN 6:16,"Buatlah jendela untuk bahtera itu dan selesaikanlah itu kira-kira sehasta dari atas. Pasanglah pintu bahtera di sisinya. Buatlah bahtera itu dengan geladak bawah, kedua, dan ketiga."
GEN 6:17,"Lihat, Aku akan mendatangkan air bah ke atas bumi untuk memusnahkan semua daging yang di dalamnya ada napas kehidupan di bawah langit sehingga semua yang ada di bumi akan mati."
GEN 6:18,"Akan tetapi, Aku akan menetapkan perjanjian-Ku denganmu, dan kamu akan masuk ke dalam bahtera; kamu, anak-anakmu, istrimu, dan para istri anak-anakmu."
GEN 6:19,"Dari segala yang hidup, kamu harus membawa sepasang dari setiap jenisnya ke bahtera untuk menjaganya tetap hidup bersamamu, jantan dan betina."
GEN 6:20,"Dari burung-burung menurut jenisnya, dari binatang-binatang menurut jenisnya, dan dari setiap yang merayap di tanah menurut jenisnya, sepasang dari setiap jenis itu akan datang kepadamu supaya mereka tetap hidup."
GEN 6:21,"Bawalah juga segala makanan yang dapat dimakan, kumpulkanlah itu bagi dirimu, dan itu akan menjadi makanan untukmu dan untuk mereka.”"
GEN 6:22,"Demikianlah Nuh melaksanakannya, dia melaksanakan semua yang diperintahkan Allah kepadanya."
GEN 7:1,"Kemudian, TUHAN berfirman kepada Nuh, “Masuklah ke dalam bahtera, kamu dan seisi rumahmu, sebab aku telah melihat bahwa kamulah yang benar di hadapan-Ku dalam generasi ini."
GEN 7:2,"Bawalah tujuh pasang binatang yang halal, jantan dan betinanya, dan sepasang dari setiap jenis binatang yang haram jantan dan betinanya,"
GEN 7:3,"juga tujuh pasang burung di udara, jantan dan betina, untuk menjaga keturunan mereka di seluruh muka bumi."
GEN 7:4,"Sebab, dalam tujuh hari, Aku akan menurunkan hujan ke bumi selama empat puluh hari dan empat puluh malam, dan segala yang hidup, yang telah Aku buat itu, akan Aku musnahkan dari muka bumi.”"
GEN 7:5,"Lalu, Nuh melaksanakan semua yang telah TUHAN perintahkan kepadanya."
GEN 7:6,Nuh berumur 600 tahun ketika air bah itu melanda bumi.
GEN 7:7,"Lalu, Nuh beserta anak-anaknya, dan istrinya, dan para istri anak-anaknya masuk ke dalam bahtera karena air bah itu."
GEN 7:8,"Dari binatang yang halal dan binatang yang haram, dan burung-burung, dan segala yang merayap di tanah,"
GEN 7:9,"sepasang demi sepasang, jantan dan betina, datang kepada Nuh ke dalam bahtera itu, sebagaimana yang telah diperintahkan Allah kepada Nuh."
GEN 7:10,"Setelah tujuh hari, air bah itu pun melanda bumi."
GEN 7:11,"Pada tahun keenam ratus masa hidup Nuh, pada bulan kedua, hari ketujuh belas bulan itu, pada hari itu semua mata air samudra raya terbelah dan semua pintu air di langit terbuka."
GEN 7:12,Hujan turun ke bumi selama empat puluh hari dan empat puluh malam.
GEN 7:13,"Pada hari yang sama, Nuh bersama Sem, dan Ham, dan Yafet; anak-anak Nuh, serta istri Nuh, dan ketiga istri anak-anaknya masuk ke dalam bahtera."
GEN 7:14,"Mereka dan setiap binatang menurut jenisnya, setiap jenis ternak, segala yang merayap di muka bumi menurut jenisnya, dan setiap burung menurut jenisnya, setiap yang bersayap."
GEN 7:15,"Mereka masuk ke dalam bahtera bersama Nuh, sepasang demi sepasang dari segala makhluk yang ada napas hidup di dalamnya."
GEN 7:16,"Mereka yang masuk ke dalam, jantan dan betina dari segala makhluk, mereka masuk sebagaimana yang telah diperintahkan TUHAN kepada Nuh. Lalu, TUHAN menutupkan bahtera itu untuk Nuh."
GEN 7:17,"Banjir itu berlangsung selama empat puluh hari, dan air itu bertambah-tambah dan mengangkat bahtera itu sehingga naik tinggi di atas bumi."
GEN 7:18,"Air itu semakin hebat dan bertambah sangat besar di muka bumi, dan bahtera itu terapung-apung di permukaan air."
GEN 7:19,"Air itu makin bertambah-tambah hebatnya di bumi sehingga semua gunung yang tinggi, yang ada di kolong langit pun tertutup."
GEN 7:20,Air itu mencapai 15 hasta lebih tinggi dan gunung-gunung ditutupinya.
GEN 7:21,"Segala makhluk yang bergerak di bumi pun musnah, baik burung-burung, ternak, binatang liar, segala makhluk melata yang merayap di atas bumi, dan semua manusia."
GEN 7:22,"Semua yang di darat, yang ada napas kehidupan dalam hidungnya, mati."
GEN 7:23,"Dia memusnahkan segala yang hidup yang ada di muka bumi, manusia dan binatang, dan yang merayap, dan burung-burung di langit. Mereka dimusnahkan dari bumi. Hanya Nuh yang tertinggal serta mereka yang bersama dengannya dalam bahtera."
GEN 7:24,Air pun terus menguasai bumi selama 150 hari.
GEN 8:1,"Lalu, Allah mengingat Nuh, dan segala binatang, dan segala ternak yang bersamanya dalam bahtera itu. Allah membuat angin berembus ke atas bumi sehingga air pun surut."
GEN 8:2,"Setelah itu, mata air-mata air dari kedalaman bumi dan dari pintu-pintu air di langit juga ditutup. Hujan dari langit pun dihentikan."
GEN 8:3,"Air itu berangsur-angsur surut dari muka bumi dan pada akhir hari ke-150, air itu berkurang."
GEN 8:4,"Pada bulan ketujuh, hari yang ketujuh belas pada bulan itu, bahtera itu kandas di pegunungan Ararat."
