oov_word,verse_reference,indonesian_text,dhao_text
bintik,GEN 30:32,"Hari ini, izinkan aku berjalan di antara kawanan kambing dombamu untuk memisahkan dari situ setiap domba yang berbintik-bintik dan bertutul, dan setiap anak domba yang berwarna gelap, dan setiap kambing yang bertutul atau berbintik-bintik. Itulah yang akan menjadi upahku.","Ladhe moꞌo, deo neꞌe kahèi, jaꞌa laku asa badha-manu toꞌo sèi, ho hagꞌe si. Mia dhu dènge boe katèdꞌa aa dènge boe karata, sèra sa unu toꞌo ku taruu. Te ngaa mia dhu dènge katèdꞌa aa dhu karata, hia mi jaꞌa. Dènge kahibꞌi-kalèbho dhu mèdhi, jaꞌa kora aaꞌi si. Seꞌe se, hudꞌi laa jꞌajꞌi mi babꞌae rui-jꞌajꞌèra jaꞌa."
piala,GEN 40:11,"Pada saat itu, di tanganku ada piala Firaun, lalu aku memetik buah anggur itu dan memerasnya ke dalam piala Firaun. Kemudian, aku memberikan piala itu ke tangan Firaun.”","Aa jaꞌa kèdꞌu galaa dhu dhèu aae biasa pake ninu. Jaꞌa puu hua anggor, ka pacèli èi sa dꞌara galaa deo na. Hèia kèti asa dhèu aae, hia na ninu.”"
karungnya,GEN 42:25,"Setelah itu, Yusuf memerintahkan untuk mengisi karung-karung mereka dengan gandum, mengembalikan uang masing-masing orang ke dalam karungnya, dan memberikan bekal untuk perjalanan kepada mereka. Dilaksanakanlah hal itu bagi mereka.","Èle èèna ka, Yusuf paredha dhèu sabꞌa sèra, ho soli are asa dꞌara karo aꞌa na si. Aa tao hari doi kabꞌua are sèra, asa dꞌara karo ra èci-èci. Ra tèke ètu hèbꞌa karo sèra. Na pua dhèu sabꞌa seꞌe, ho hia si dènge gee. Ka dhèu sabꞌa seꞌe lalau ka, madhutu ngaa dhu Yusuf paredha."
menetap,GEN 4:16,"Lalu, Kain pergi dari hadapan TUHAN dan menetap di tanah Nod, sebelah timur Eden.","Hèia Kaen tèke eele dènge era èèna. Laꞌe pakajꞌèu nèti LAMATUA, asa era èci, ètu bèka dhimu oka Eden. Era neꞌe, ngara na Nod dhu sasoa na, ‘lole-laa’. Ka na pea ètu era èèna."
filistin,GEN 10:14,"Patrusim, Kasluhim, yang adalah nenek moyang bangsa Filistin, dan Kaftorim.","dhèu Patrusim, dhèu Kasluhim, dènge dhèu Kaftorim. Dhèu Kasluhim nuka bèi-baki nèti dhèu Pilistin."
gerar,GEN 10:19,"Wilayah orang Kanaan membentang dari Sidon ke arah Gerar sampai ke Gaza, dan ke arah Sodom, Gomora, Adma, Zeboim, sampai ke Lasa.","toke too rai rèngu mulai nèti Sidon taruu asa Gerar, dꞌai Gasa. Nèti èèna, laꞌe dꞌai Sodom, Gomora, Adma dènge Seboim, dꞌai kota Lasa."
perempuanmu,GEN 19:15,"Pada waktu fajar, malaikat-malaikat itu mendesak Lot, katanya, “Bangun! Bawa istri dan kedua anak perempuanmu yang ada di sini, atau kamu juga akan dibinasakan dalam penghukuman kota ini!”","Bèli madꞌae aae era, ana pajuu Lamatua dhèu dua se, pakaseti Lot si, ho lasi karohe asa era kajꞌèu. Ra peka na, “Lami ka! Ère mèti dhèu èmu mu, dènge ana bhèni èu dhèu dua sèra, ho rai ka. Tèke eele kota neꞌe! Mage dhoka miu madhe aaꞌi palere-lere dènge kota ne.”"
pangkal,GEN 24:2-3,"Abraham berkata kepada hambanya yang tertua dalam rumahnya, yaitu hambanya yang bertanggung jawab atas seluruh harta miliknya, “Letakkanlah tanganmu di bawah pangkal pahaku. Aku mau supaya kamu bersumpah demi TUHAN, yaitu Allah langit dan Allah bumi, bahwa kamu tidak akan mengambil istri bagi anakku dari anak-anak perempuan Kanaan yang di tengah-tengahnya aku berdiam ini.","Abraham dhu dènge dhèu èci dhu na lèka ho ladhe-leru mèdha-panyau na. Ca lodꞌo, Abraham paroa nare, ka peka dènge ne, aku nèngu na, “Mu pasa dhilu èu paie-iie! Jaꞌa manèngi sèna ka èu subha madhe dènge kolongara LAMATUA. Nèngu ka, Ama Lamatua dhu tao dedha-liru dènge rai-haha ne. Dhu peka na, èu bisa boe more ana bhèni nèti dhèu Kanaꞌan, ho paleo dènge ana jaꞌa Isak."
anting,GEN 24:22,"Setelah unta-unta itu selesai minum, dia mengambil sepasang anting-anting emas seberat 0,5 syikal serta dua gelang emas seberat 10 syikal.","Onta se rinu toke bècu. Hèia dhèu ne nare kadheli sahènga, dènge kanau ca pasa. Mèdha se dhu tao nèti hualaa. Ka na pasa mi sahènga dènge pasaluu mi ai kariu dènge gꞌana ana bhèni ne."
bertutul,GEN 30:32,"Hari ini, izinkan aku berjalan di antara kawanan kambing dombamu untuk memisahkan dari situ setiap domba yang berbintik-bintik dan bertutul, dan setiap anak domba yang berwarna gelap, dan setiap kambing yang bertutul atau berbintik-bintik. Itulah yang akan menjadi upahku.","Ladhe moꞌo, deo neꞌe kahèi, jaꞌa laku asa badha-manu toꞌo sèi, ho hagꞌe si. Mia dhu dènge boe katèdꞌa aa dènge boe karata, sèra sa unu toꞌo ku taruu. Te ngaa mia dhu dènge katèdꞌa aa dhu karata, hia mi jaꞌa. Dènge kahibꞌi-kalèbho dhu mèdhi, jaꞌa kora aaꞌi si. Seꞌe se, hudꞌi laa jꞌajꞌi mi babꞌae rui-jꞌajꞌèra jaꞌa."
ana,GEN 36:2,"Esau mengambil istri dari anak-anak perempuan Kanaan, yaitu Ada, anak Elon, orang Het; Oholibama, anak Ana, anak perempuan Zibeon, orang Hewi;","Esau leo dènge ana bhèni Kanaꞌan dhèu dua. Èci dhèu Het, ana bhèni nèti Elon, ngara na Ada. Dhèu èmu na èci hari, dhèu Hewi, ngara na Oholibama. Ama na, ngara na Anah, aa baki na Sibeon."
petang,GEN 1:5,"Allah menyebut terang itu siang dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama.","Ka pangare saraa ne ‘mèu’, aa maroga na ‘mèda’. Neꞌe ne, lodꞌo ka èci kèna."
lahirlah,GEN 4:18,"Bagi Henokh, lahirlah Irad, dan Irad adalah ayah Mehuyael. Mehuyael adalah ayah Metusael, dan Metusael adalah ayah Lamekh.","Ka Henok matana Irad. Hèia Irad matana Mehuyael. Mehuyael matana Metusael. Aa ana Metusael, Lamek."
milka,GEN 11:29,"Abram dan Nahor mengambil istri. Istri Abram bernama Sarai dan istri Nahor bernama Milka, anak Haran, ayah Milka dan Yiska.","Abram madhèdi dènge Sarai. Nahor leo dènge ana bhèni Haran, ngara na Milka. Haran abhu ana mone èci kahèi, ngara na Yiska."
zoar,GEN 13:10,"Lalu, Lot mengarahkan matanya dan melihat seluruh Lembah Yordan, yang terairi dengan baik di mana-mana seperti taman TUHAN, seperti tanah Mesir ke arah Zoar. Keadaan itu adalah sebelum TUHAN membinasakan Sodom dan Gomora.","Hèia Lot ladhe palème. Ka na ladhe nèdhi rai taleo ètu sebhe loko Yarden dhu madha èi ae, toke dꞌai rae Soar. Era ne, rai hèu mèngi sama sèmi oka LAMATUA, dènge rai Masir kahèi. (Lodꞌo èèna, LAMATUA dhae huku mèka kota Sodom dènge kota Gomora. De rai èèna, beꞌa era.)"
kotanya,GEN 23:10,"Pada waktu itu, Efron sedang duduk di tengah-tengah keturunan Het itu. Lalu, Efron, orang Het itu menjawab Abraham dan didengar oleh para keturunan Het itu, yaitu semua orang yang datang ke pintu gerbang kotanya, katanya","Lodꞌo èèna, Efron madhèdi ètu era èèna kahèi, dènge dhèu-dhèu Het sèra. Ka na tadèngi kahèi lii padhai lii Abraham deo na. Hèia na kèdꞌi titu, ka na bꞌala Abraham ètu madha dhèu heka aaꞌi-aaꞌi ra ètu sèra, aku nèngu na,"
lezat,GEN 27:4,"Lalu, olahlah makanan lezat bagiku, seperti yang aku suka, dan bawalah kemari untuk kumakan supaya aku dapat memberkatimu sebelum aku mati.”","Mu pananasu pabeꞌa-beꞌa, madhutu dadꞌèi jaꞌa, ho mèti mai hia jaꞌa. Ladhe kuꞌa-kinu kora, jaꞌa hia mema èu mèngi-nale. Sadꞌi èu unu le mèngi-nale èèna, jaꞌa madhe èèna ka, ngaa-ngaa tao heka.”"
zilpa,GEN 29:23-27,"Malam itu, Laban mengambil anak perempuannya, Lea, dan membawanya kepada Yakub. Lalu, Yakub bersetubuh dengannya. Laban juga memberikan hamba perempuannya, Zilpa, kepada anaknya, Lea, untuk menjadi hamba anaknya itu. Keesokan paginya, lihatlah, itu adalah Lea! Karena itu, Yakub berkata kepada Laban, “Apa yang engkau lakukan terhadapku? Bukankah aku bekerja untukmu demi Rahel? Lalu, mengapa engkau menipuku?” Laban menjawab, “Bukan kebiasaan di negeri kami untuk memberikan yang termuda sebelum yang sulung. Genapilah dahulu 7 hari baginya, lalu kami akan memberikan dia juga kepadamu asalkan kamu kembali bekerja untukku selama tujuh tahun lagi.”","Ropa dꞌai mèda èèna, Laban hia boe Rahel, te ngaa na pua Lea maso asa dꞌara paleo Yakob. Ka Yakob jꞌunu dènge ne. Asa bèli èèna, Yakob heka neꞌa kèna, nèngu dhu leo dènge Lea di. Hèia Yakob laꞌe patao dènge Laban, aku nèngu na, “Nga tao ka, toꞌo pasèru jaꞌa sèmi neꞌe? Jaꞌa sabꞌa sèmi ènu pidhu tèu kateme hia mi èu, sèna ka bisa abhu Rahel! Nga tao ka toꞌo pasilu dènge Lea?” Ka Laban dhaa, “Baku nasa ku! Madhutu adꞌa jiꞌi ètu rai neꞌe, ari bisa boe leo uuru èmu nèti aꞌa. De beꞌa risi sèmi neꞌe! Èu mate hari ku pidhu lodꞌo, dꞌai èle tatao ne, heka èu abhu Rahel kèna. Sadꞌi èu sabꞌa hari hia jaꞌa pidhu tèu.” Hèia Laban pangèdꞌu dènge ènu bhèni èci, hia mi Lea. Ngara na Silpa."
dina,GEN 30:21,"Setelah itu, dia melahirkan seorang anak perempuan dan menamainya Dina.","Ka Lea nara iisi hari, te ngaa ana bhèni, ka na pangare na, Dina."
bergaris,GEN 30:35,"Namun, pada hari itu, dia memisahkan kambing-kambing jantan yang bergaris-garis dan bertutul, dan semua kambing betina yang berbintik-bintik dan bertutul, semua yang ada warna putih pada badannya. Dia juga memisahkan semua domba yang berwarna gelap, lalu Laban menyerahkannya ke tangan anak-anaknya.","Te ngaa ètu dꞌara lodꞌo èèna kahèi, Laban hagꞌe dènge badha dhu katèdꞌa, dhu karata, dènge kahibꞌi-kalèbho dhu mèdhi. Ka na pangèdꞌu mi ana na si, ho ladhe-leru."
tumpukan,GEN 31:46,"Yakub berkata kepada saudara-saudaranya, “Kumpulkanlah batu-batu.” Lalu, mereka mengambil batu-batu dan membuat satu tumpukan. Setelah itu, mereka makan di sana, di dekat tumpukan itu.","Hèia Yakob pua dhèu sabꞌa na, lasi udhu hadhu. Ka ra madhèdi raꞌa-rinu ètu era èèna, padètu dènge hadhu sèra."
oholibama,GEN 36:2,"Esau mengambil istri dari anak-anak perempuan Kanaan, yaitu Ada, anak Elon, orang Het; Oholibama, anak Ana, anak perempuan Zibeon, orang Hewi;","Esau leo dènge ana bhèni Kanaꞌan dhèu dua. Èci dhèu Het, ana bhèni nèti Elon, ngara na Ada. Dhèu èmu na èci hari, dhèu Hewi, ngara na Oholibama. Ama na, ngara na Anah, aa baki na Sibeon."
elifas,GEN 36:4,"Lalu, Ada melahirkan Elifas bagi Esau, Basmat melahirkan Rehuel,","Ada, dhèu èmu uuru Esau, nara iisi Elifas. Basmat matana Rahuel."
penggantinya,GEN 36:33,"Setelah Bela mati, yang memerintah sebagai penggantinya adalah Yobab, anak Zerah, dari Bozra.","Ropa Bela madhe, ra dedꞌe Yobab ho gati ne, jꞌajꞌi dhèu aae. Ama na, ngara na Sera, nèti rae Bosra."
kurus,GEN 41:3,"Kemudian, lihatlah, dari sungai muncul tujuh ekor sapi betina lainnya, yang kelihatan buruk dan kurus badannya, dan berdiri dengan sapi-sapi lainnya di tepi sungai itu.","Nèbhu boe, sapi pidhu ngiꞌu dhu leo hari, kalua nèti dꞌara loko deo na. Ngiꞌu sapi sèra malaka-godꞌa. Ra titu padètu dènge sapi kabèbꞌu sèra."
berlipatgandalah,GEN 1:22,"Allah memberkatinya, firman-Nya, “Berkembangbiaklah, dan berlipatgandalah, dan penuhilah air di lautan, dan biarlah burung-burung berlipat ganda di bumi.”","Ka Na padhai lii ho sèna ka hia berkat mi aaꞌi-aaꞌi dhu mamuri, peka na, “Iꞌa se, hudꞌi laa bèba-kacanga sèna ka papènu èi ètu mia-mia. Aa manu-bhui, asa tabha kahèi.”"
eden,GEN 2:8,"Lalu, TUHAN Allah membuat sebuah taman di sebelah timur, di Eden, dan di sana Dia menempatkan manusia yang telah dibentuk-Nya itu.","Hèia Ama LAMATUA bhoke oka cue ètu rai Eden, re bèka dhimu. Hèia Na hia dhèu ne pea ètu dꞌara oka na."
cantik,GEN 6:2,"anak-anak Allah melihat bahwa anak-anak perempuan manusia itu cantik, lalu mereka mengambil istri-istri yang mereka pilih untuk diri mereka sendiri.","Ana-ana mone nèti Lamatua ladhe rèdhi ana bhèni nèti dhèu rai-haha se, bhèni iia hua. Ka lasi todhe rare ana bhèni mia dhu ra dꞌèi."
sulungnya,GEN 10:15,"Kanaan adalah ayah Sidon, anak sulungnya, dan Het,","Ana uuru Kanaꞌan, nuka, Sidon. Kanaꞌan jꞌajꞌi bèi-baki nèti dhèu Het,"
amori,GEN 10:16,"dan orang Yebusi, orang Amori, orang Girgasi,","dhèu Yebusi, dhèu Amori, dhèu Girgasi,"
selah,GEN 10:24,Arpakhsad adalah ayah Selah; dan Selah adalah ayah Eber.,"Ana Arpaksad ka, Sela. Ana Sela ka, Eber."
tarbantin,GEN 12:6,"Abram berjalan melalui tanah itu sampai ke suatu tempat di Sikhem, di pohon tarbantin More. Pada masa itu, orang Kanaan tinggal di tanah itu.","Dꞌai era èèna, Abram kako palème rai ne, toke dꞌai padètu dènge rae èci, ngara na Sikem. Ka ra pea taha ètu èèna, padètu dènge ajꞌu aae ca kapua ètu More. Lodꞌo èèna, dhèu Kanaꞌan dhu pea ètu èèna era."
hori,GEN 14:6,"dan orang Hori yang tinggal di pegunungan mereka, Seir, sampai ke El-Paran di pinggir padang belantara.","dènge dhèu Hori dhu ètu ledhe Seir, dꞌai sebhe mamoo El Paran."
