source_word,target_word,confidence_score
perlakukanlah,baku,6.623633535052521e-44
mengubur,Mamre,6.623633535052521e-44
terdapat,Mamre,6.623633535052521e-44
anakku.,hèli,6.623633535052521e-44
kedatanganku,sebhe,6.623633535052521e-44
Goren-Haatad,nèi,6.623633535052521e-44
Sungai,Asyur,6.80354698574037e-44
atasmu,ako-pènu,6.80354698574037e-44
ia,mamuri,6.80354698574037e-44
atap,lèke,6.80354698574037e-44
ditawan,ugu-geꞌe,6.80354698574037e-44
sesuatunya,hèia,6.80354698574037e-44
membungkukkan,nèi,6.80354698574037e-44
kacang,Lami,6.80354698574037e-44
makanan.,Nèti,6.992541575039516e-44
mengambilnya,mamuri,6.992541575039516e-44
busur,mamuri,6.992541575039516e-44
menyerahkannya,kahèi,6.992541575039516e-44
badam,Lami,6.992541575039516e-44
hidupmu,lèke,7.191099578907972e-44
diserahkan,Mamre,7.191099578907972e-44
besertanya,pidhu,7.191099578907972e-44
termasuk,kota,7.191099578907972e-44
tempatnya,Panginu,7.191099578907972e-44
Tuan,sanao,7.191099578907972e-44
berdiam,Asyur,7.191099578907972e-44
sehari,pakaseti,7.191099578907972e-44
cincin,tatea,7.191099578907972e-44
meterai,tatea,7.191099578907972e-44
binatang-binatang,kahèi,7.400474292505228e-44
Ketahuilah,isi,7.400474292505228e-44
Kelak,nèi,7.400474292505228e-44
memuji,kahèi,7.400474292505228e-44
kuberikan,ako-pènu,7.400474292505228e-44
menyusahkan,do,7.400474292505228e-44
menyerangku,ae-ae,7.400474292505228e-44
raya,pidhu,7.620516059414765e-44
menyentuh,cangasu,7.620516059414765e-44
asal,baku,7.620516059414765e-44
kasihan,nèi,7.620516059414765e-44
Selagi,meter,7.620516059414765e-44
perlu,nèi,7.620516059414765e-44
jiwanya,madhe-madhe,7.707116260526019e-44
Hai,lèke,7.853380623286302e-44
marilah,kota,7.853380623286302e-44
suka.,kahèi,7.853380623286302e-44
1000,kahèi,7.853380623286302e-44
kesucianmu,kahèi,7.853380623286302e-44
dibersihkan,kahèi,7.853380623286302e-44
didengar,kahèi,7.853380623286302e-44
Berilah,wakil,7.853380623286302e-44
jaminan,nèi,7.853380623286302e-44
menjaminnya,mamuri,7.853380623286302e-44
tangankulah,mamuri,7.853380623286302e-44
bukankah,kahèi,8.098218439434987e-44
niat,kahèi,8.098218439434987e-44
pindah,re,8.098218439434987e-44
firman,baku,8.098218439434987e-44
sesudah,kahèi,8.098218439434987e-44
biarkanlah,èru,8.098218439434987e-44
gemetar,hèia,8.098218439434987e-44
kesusahanku,Yusuf,8.098218439434987e-44
bangkitlah,nèi,8.098218439434987e-44
kakak-kakak,nèi,8.098218439434987e-44
tanda-tanda,re,8.358208348416103e-44
tumbuh,re,8.358208348416103e-44
berahi,leo-èmu,8.358208348416103e-44
menghibur,kota,8.358208348416103e-44
hatiku,kahèi,8.358208348416103e-44
kulakukan,ako-pènu,8.358208348416103e-44
mengambilkan,mi,8.358208348416103e-44
berjalan-jalan,lèke,8.358208348416103e-44
Allahmu,baku,8.358208348416103e-44
Atau,do,8.358208348416103e-44
temannya,nèi,8.358208348416103e-44
menyusulnya,paraga,8.359044211043408e-44
kesakitan,kota,8.63258582004556e-44
buatlah,nèi,8.63258582004556e-44
jelas,dua,8.63258582004556e-44
ceritakanlah,karohe,8.63258582004556e-44
menjatuhkan,doi,8.63258582004556e-44
menjadikanku,lèke,8.63258582004556e-44
kau,nèi,8.923105995340341e-44
dibeli,Mamre,8.923105995340341e-44
Demi,kota,8.923105995340341e-44
ketahuilah,kai,8.923105995340341e-44
terampil,dua,8.923105995340341e-44
pengawas,pidhu,8.923105995340341e-44
Semoga,kahèi,8.923105995340341e-44
nyatakan,ngaa,8.993877712916487e-44
makin,era,9.231708106982553e-44
rasa,ae,9.231708106982553e-44
diam-diam,ugu-geꞌe,9.231708106982553e-44
kumimpikan,hèia,9.231708106982553e-44
berkasku,hèia,9.231708106982553e-44
tegak,hèia,9.231708106982553e-44
apabila,baku,9.231708106982553e-44
ikan-ikan,mamuri,9.56053886147636e-44
negerimu,le,9.56053886147636e-44
berisi,Bèli,9.56053886147636e-44
semesta,baku,9.56053886147636e-44
turunkan,èru,9.56053886147636e-44
kepalanya,hèia,9.56053886147636e-44
suka,dua,9.56053886147636e-44
kami.,re,9.56053886147636e-44
terimalah,do,9.56053886147636e-44
sangatlah,nèi,9.56053886147636e-44
cucilah,ae,9.909006506858382e-44
kakimu,ae,9.909006506858382e-44
hatimu,Tareꞌa,9.909006506858382e-44
harga,kahèi,9.909006506858382e-44
Lebih,Rahel,9.909006506858382e-44
biarkan,do,9.909006506858382e-44
sakit,lèke,9.909006506858382e-44
kerudung,sebhe,9.909006506858382e-44
menyelubungi,sebhe,9.909006506858382e-44
dewasa,sebhe,9.909006506858382e-44
beruban,Yusuf,9.909006506858382e-44
dukacita,Yusuf,9.909006506858382e-44
pelayan-pelayannya,nèi,1.025068048066129e-43
sebutan,manu-bhui,1.0281478696328117e-43
menyentuhnya,Tareꞌa,1.0281478696328117e-43
istri-istri,dua,1.0281478696328117e-43
90,cangasu,1.0281478696328117e-43
tempatmu,re,1.0281478696328117e-43
hadapan-Nya,kahèi,1.0281478696328117e-43
usia,cangasu,1.0281478696328117e-43
sulungmu,pala-bagi,1.0281478696328117e-43
baginya.,èna.,1.0281478696328117e-43
mengapa,èu,1.059989496109232e-43
berkumpul,re,1.0678625126143476e-43
Kutunjukkan,nèi,1.0678625126143476e-43
menyambut,nèi,1.0678625126143476e-43
Mundur,kai,1.0678625126143476e-43
menumpang,kai,1.0678625126143476e-43
berlagak,kai,1.0678625126143476e-43
mendorong,kai,1.0678625126143476e-43
Menantu,do,1.0678625126143476e-43
Teriakan,do,1.0678625126143476e-43
kasih,ae,1.0678625126143476e-43
selain,lèke,1.0678625126143476e-43
aib,lèke,1.0678625126143476e-43
membantunya,baku,1.0678625126143476e-43
Omar,Sera,1.0678625126143476e-43
Zefo,Sera,1.0678625126143476e-43
Gaetam,Sera,1.0678625126143476e-43
mereka.,dètu,1.0678625126143476e-43
jual,kahèi,1.0678625126143476e-43
bicarakan,do,1.0678625126143476e-43
berlambat-lambat,neka-neka,1.0849772279894027e-43
buahnya,kahèi,1.1103319212128947e-43
dagingku,kahèi,1.1103319212128947e-43
bata,kota,1.1103319212128947e-43
membakarnya,kota,1.1103319212128947e-43
baik-baik.,kota,1.1103319212128947e-43
bata-bata,kota,1.1103319212128947e-43
perekatnya,kota,1.1103319212128947e-43
puncaknya,kota,1.1103319212128947e-43
ketulusan,Tareꞌa,1.1103319212128947e-43
menjawabnya,do,1.1103319212128947e-43
memberitahukan,sanao,1.1103319212128947e-43
dikenakan,lii,1.1103319212128947e-43
Jaminan,tatea,1.1103319212128947e-43
Cincin,tatea,1.1103319212128947e-43
meteraimu,tatea,1.1103319212128947e-43
gelangmu,tatea,1.1103319212128947e-43
karenanya,tatea,1.1103319212128947e-43
kerudungnya,tatea,1.1103319212128947e-43
izinkanlah,nèi,1.1103319212128947e-43
bangsaku,Mamre,1.1103319212128947e-43
disumpahkan-Nya,kahèi,1.1103319212128947e-43
menyuruhku,miu,1.1116651192772018e-43
Pemilik,mi,1.1558765787278683e-43
diperbudak,ae-ae,1.1558765787278683e-43
ditindas,ae-ae,1.1558765787278683e-43
menghukum,ae-ae,1.1558765787278683e-43
memperbudak,ae-ae,1.1558765787278683e-43
tuamu,ae-ae,1.1558765787278683e-43
bersiap,dua,1.1558765787278683e-43
Katakanlah,Yusuf,1.1558765787278683e-43
gundik,Sera,1.1558765787278683e-43
perkataanmu,do,1.1558765787278683e-43
wadah-wadahmu,Lami,1.1558765787278683e-43
madu,Lami,1.1558765787278683e-43
pistasio,Lami,1.1558765787278683e-43
ampunilah,Nèti,1.1558765787278683e-43
pelanggaran,Nèti,1.1558765787278683e-43
dosanya,Nèti,1.1558765787278683e-43
terhadapmu.,Nèti,1.1558765787278683e-43
berbuah,Ama,1.2047342446302915e-43
ALLAH,ae-ae,1.2047342446302915e-43
mencegahku,dua,1.2047342446302915e-43
bersetubuhlah,dua,1.2047342446302915e-43
melaluinya.,dua,1.2047342446302915e-43
lamanya,dua,1.2047342446302915e-43
sebaiknya,dua,1.2047342446302915e-43
benda,sabꞌa,1.2047342446302915e-43
bekal,doi,1.2047342446302915e-43
masalah,doi,1.2047342446302915e-43
padahal,babège,1.2089582021001172e-43
Kepada,doi,1.257164764701308e-43
berhadapan,re,1.257164764701308e-43
Memang,dua,1.257164764701308e-43
tepat,dua,1.257164764701308e-43
memperdaya,dua,1.257164764701308e-43
kesulunganku,dua,1.257164764701308e-43
berkatku.,dua,1.257164764701308e-43
Singkirkanlah,nèi,1.257164764701308e-43
ilah-ilah,nèi,1.257164764701308e-43
bersihkanlah,nèi,1.257164764701308e-43
gantilah,nèi,1.257164764701308e-43
pakaianmu,nèi,1.257164764701308e-43
bersiap-siap,nèi,1.257164764701308e-43
menjawabku,nèi,1.257164764701308e-43
kesulitanku,nèi,1.257164764701308e-43
minta,Hebron,1.257164764701308e-43
teliti,do,1.257164764701308e-43
dapatkah,do,1.257164764701308e-43
adikmu.,do,1.257164764701308e-43
utuh,kahèi,1.257164764701308e-43
nyawamu,do,1.313714996300364e-43
75,pidhu,1.313714996300364e-43
keponakannya,pidhu,1.313714996300364e-43
kumpulkan,pidhu,1.313714996300364e-43
kalinya,kahèi,1.313714996300364e-43
terhibur,seli,1.313714996300364e-43
bebannya,nèi,1.313714996300364e-43
peristirahatan,nèi,1.313714996300364e-43
menyenangkan,nèi,1.313714996300364e-43
memikul,nèi,1.313714996300364e-43
beban,nèi,1.313714996300364e-43
Setiap,hèli,1.3748697491545418e-43
artinya,nèi,1.3748697491545418e-43
bertanggung,ladhe-leru,1.3748697491545418e-43
jawab,ladhe-leru,1.3748697491545418e-43
tengah-tengahnya,ladhe-leru,1.3748697491545418e-43
Padan,sebhe,1.3748697491545418e-43
tubuhnya,sebhe,1.3748697491545418e-43
memburu,kahèi,1.3748697491545418e-43
menyala,baku,1.3748697491545418e-43
buah-buah,lèke,1.3748697491545418e-43
ilah-ilahmu,kahèi,1.3748697491545418e-43
untukmu.,kahèi,1.3748697491545418e-43
Rahellah,kahèi,1.3748697491545418e-43
membiarkanku,kai,1.3748697491545418e-43
janda,kahèi,1.3748697491545418e-43
dewasa.,kahèi,1.3748697491545418e-43
kakak-kakaknya.,kahèi,1.3748697491545418e-43
sisiku,sebhe,1.3748697491545418e-43
menegurmu,sakaa,1.3750072430040398e-43
hati-Nya,dꞌara,1.3770713015254359e-43
wajahku,rèhu,1.3845276004419426e-43
musim-musim,re,1.4408871477872575e-43
menyambar-nyambar,re,1.4408871477872575e-43
Adakah,le,1.4408871477872575e-43
batas-batasnya,Mamre,1.4408871477872575e-43
mengizinkan,ae-ae,1.4408871477872575e-43
pengasuhnya,ae-ae,1.4408871477872575e-43
Adik,ae-ae,1.4408871477872575e-43
berpuluh-puluh,ae-ae,1.4408871477872575e-43
negeri-negeri,ae-ae,1.4408871477872575e-43
memusuhi,ae-ae,1.4408871477872575e-43
menjagamu,mamuri,1.4408871477872575e-43
dicintai,hèia,1.4408871477872575e-43
ingatlah,do,1.4408871477872575e-43
membusukkanku,ae-ae,1.4408871477872575e-43
Orang-orangku,ae-ae,1.4408871477872575e-43
bergabung,ae-ae,1.4408871477872575e-43
melawanku,ae-ae,1.4408871477872575e-43
kaumnya,Suku,1.4408871477872575e-43
17,pidhu,1.4408871477872575e-43
laporan,pidhu,1.4408871477872575e-43
mengutusnya,Hebron,1.4408871477872575e-43
mempermalukan,hèia,1.4408871477872575e-43
Begitu,hèia,1.4408871477872575e-43
didengarnya,hèia,1.4408871477872575e-43
dikurung,Yusuf,1.4408871477872575e-43
secepatnya,karohe,1.4408871477872575e-43
kepemilikan,ae,1.4408871477872575e-43
Laki-laki,peka,1.5124925703476792e-43
dipenuhi,peka,1.5124925703476792e-43
merekalah,sebhe,1.5124925703476792e-43
membiarkanmu,peka,1.5124925703476792e-43
berpisah,sebhe,1.5124925703476792e-43
tiba-tiba,era,1.5124925703476792e-43
Gadis,era,1.5124925703476792e-43
perawan,era,1.5124925703476792e-43
kesulungannya,peka,1.5124925703476792e-43
utusan,peka,1.5124925703476792e-43
saudaranyalah,peka,1.5124925703476792e-43
bidan,peka,1.5124925703476792e-43
ditahan,peka,1.5124925703476792e-43
diketahui,peka,1.5124925703476792e-43
Uangku,peka,1.5124925703476792e-43
karungku,peka,1.5124925703476792e-43
kecut,peka,1.5124925703476792e-43
merupakan,nèi,1.5124925703476792e-43
amat,nèi,1.5124925703476792e-43
menafsirkannya,dhèu,1.5402719607814028e-43
jenisnya.,peka,1.5903577624374315e-43
haram,Mèti,1.5903577624374315e-43
nyawa,do,1.5903577624374315e-43
kelahirannya,era,1.5903577624374315e-43
Diberkatilah,lii,1.5903577624374315e-43
tanganmu.,lii,1.5903577624374315e-43
depannya,peka,1.5903577624374315e-43
singgah,ra,1.5903577624374315e-43
menggenapi,kahèi,1.5903577624374315e-43
Berhati-hatilah,peka,1.5903577624374315e-43
Tumpukan,nèngu,1.5903577624374315e-43
menghiburnya,ra,1.5903577624374315e-43
dihibur,ra,1.5903577624374315e-43
berkabung.,ra,1.5903577624374315e-43
Kira-kira,peka,1.5903577624374315e-43
menantumu,peka,1.5903577624374315e-43
bersundal,peka,1.5903577624374315e-43
perzinaannya,peka,1.5903577624374315e-43
dibakar,peka,1.5903577624374315e-43
mengangkatmu,milu,1.5903577624374315e-43
memasangnya,milu,1.5903577624374315e-43
memakaikan,milu,1.5903577624374315e-43
linen,milu,1.5903577624374315e-43
halus,milu,1.5903577624374315e-43
kejarlah,peka,1.5903577624374315e-43
kanannya,re,1.5903577624374315e-43
Umat,peka,1.5903577624374315e-43
Manasye.,peka,1.5903577624374315e-43
memasukannya,jꞌole,1.675244288869434e-43
tinggali,peka,1.675244288869434e-43
malaikat-malaikat,Bèli,1.675244288869434e-43
Bangun,Bèli,1.675244288869434e-43
penghukuman,Bèli,1.675244288869434e-43
jerami,Hèia,1.675244288869434e-43
keturunanmulah,pabèba,1.675244288869434e-43
Kuikrarkan,pabèba,1.675244288869434e-43
Melalui,pabèba,1.675244288869434e-43
cucuku,nèngu,1.675244288869434e-43
serombongan,re,1.675244288869434e-43
mengangkut,re,1.675244288869434e-43
menafsirkannya.,peka,1.675244288869434e-43
penafsiran,peka,1.675244288869434e-43
dikenali,nèngu,1.675244288869434e-43
Inikah,do,1.675244288869434e-43
ceritakan,do,1.675244288869434e-43
Jauhlah,peka,1.675244288869434e-43
membentuk,nèngu,1.7680177411354253e-43
ambil,peka,1.7680177411354253e-43
Ke,peka,1.7680177411354253e-43
terairi,sebhe,1.7680177411354253e-43
mana-mana,sebhe,1.7680177411354253e-43
Keadaan,sebhe,1.7680177411354253e-43
memanggilnya,peka,1.7680177411354253e-43
Kedua,nèi,1.7680177411354253e-43
diriku,Hèia,1.7680177411354253e-43
senang,kèpe,1.7680177411354253e-43
melepas,nèngu,1.7680177411354253e-43
Kemarilah,peka,1.7680177411354253e-43
besertaku,Hudꞌi,1.7680177411354253e-43
digiring,Hudꞌi,1.7680177411354253e-43
mengering,lèke,1.8696644920322132e-43
awan,peka,1.8696644920322132e-43
Itu,era,1.8696644920322132e-43
memindahkan,sebhe,1.8696644920322132e-43
tekukur,peka,1.8696644920322132e-43
penghinaan,peka,1.8696644920322132e-43
kuterima,peka,1.8696644920322132e-43
tanggung,peka,1.8696644920322132e-43
jawabmu,peka,1.8696644920322132e-43
pelukanmu,peka,1.8696644920322132e-43
meskipun,nèngu,1.8696644920322132e-43
singgahlah,lapa,1.8696644920322132e-43
menginaplah,lapa,1.8696644920322132e-43
perjalanan.,lapa,1.8696644920322132e-43
mengejek,peka,1.8696644920322132e-43
Usirlah,peka,1.8696644920322132e-43
pelayannya,peka,1.8696644920322132e-43
pertengkaran,Rehobot,1.8696644920322132e-43
keleluasaan,Rehobot,1.8696644920322132e-43
Namamu,peka,1.8696644920322132e-43
terbakar,peka,1.8696644920322132e-43
kemarahannya,peka,1.8696644920322132e-43
meniduri,peka,1.8696644920322132e-43
sepakat,ra,1.8696644920322132e-43
Syama,Sera,1.8696644920322132e-43
Agar,kèpe,1.8696644920322132e-43
lempar,kèpe,1.8696644920322132e-43
menganugerahkan,sanao-maena,1.8696644920322132e-43
mendekatkan,re,1.8696644920322132e-43
Nahat,Rehuel,1.8719094361197057e-43
tumbuhan,kahèi,1.981509640210417e-43
diciptakan,neꞌe,1.981509640210417e-43
menimpakan,nèngu,1.981509640210417e-43
Eliezer,ae-ae,1.981509640210417e-43
warisku,ae-ae,1.981509640210417e-43
Jawab-Nya,peka,1.981509640210417e-43
akulah,peka,1.981509640210417e-43
hamba-Ku,peka,1.981509640210417e-43
menyebar,suku,1.981509640210417e-43
kekayaan,”,1.981509640210417e-43
kelahiranmu,nèi,1.981509640210417e-43
berjumlah,Ruben,1.981509640210417e-43
memasukkanku,ku,1.981509640210417e-43
Bunuhlah,peka,1.981509640210417e-43
Serahkanlah,peka,1.981509640210417e-43
membenarkan,peka,1.981509640210417e-43
Kakaknya,peka,1.981509640210417e-43
mengasihinya,peka,1.981509640210417e-43
ngeri,peka,1.981509640210417e-43
Belilah,kahèi,1.981509640210417e-43
tandus,kahèi,1.981509640210417e-43
hukum,ra,1.981509640210417e-43
biji,Ètu,2.1046706598045952e-43
Melaluimu,suku,2.1046706598045952e-43
pandang,ra,2.1046706598045952e-43
berlindung,ra,2.1046706598045952e-43
maksudmu,nèngu,2.1046706598045952e-43
bangunlah,peka,2.1046706598045952e-43
dimakannya,sèmi,2.1046706598045952e-43
diberitahu,peka,2.1046706598045952e-43
membunuhmu,peka,2.1046706598045952e-43
kukatakan,peka,2.1046706598045952e-43
lari,peka,2.1046706598045952e-43
kudirikan,kahèi,2.1046706598045952e-43
mendahului,ku,2.1046706598045952e-43
mengendarai,peka,2.1046706598045952e-43
Berlutut,peka,2.1046706598045952e-43
Sejahtera,nèngu,2.1046706598045952e-43
ayahmulah,nèngu,2.1046706598045952e-43
karungmu,nèngu,2.1046706598045952e-43
menebusku,ra,2.1046706598045952e-43
berkatilah,ra,2.1046706598045952e-43
namaku,ra,2.1046706598045952e-43
mangsa,singa,2.1046706598045952e-43
membalaskan,ra,2.1046706598045952e-43
Tema,Yetur,2.1542852515871227e-43
Misyma,Yetur,2.218783335865061e-43
terhadapmu,èu,2.235710330321405e-43
Yetur,Yetur,2.240858382071204e-43
calon-calon,peka,2.2410824791140838e-43
mengawini,peka,2.2410824791140838e-43
calon,peka,2.2410824791140838e-43
berikutnya,peka,2.2410824791140838e-43
Semalam,peka,2.2410824791140838e-43
Kedar,Yetur,2.2410824791140838e-43
Adbeel,Yetur,2.2410824791140838e-43
Mibsam,Yetur,2.2410824791140838e-43
Nafish,Yetur,2.2410824791140838e-43
Kedma,Yetur,2.2410824791140838e-43
kampung,Yetur,2.2410824791140838e-43
pemukiman,Yetur,2.2410824791140838e-43
duduklah,peka,2.2410824791140838e-43
buruanku,peka,2.2410824791140838e-43
TUHAN.,peka,2.2410824791140838e-43
warna,pakarata,2.2410824791140838e-43
menegurnya,do,2.2410824791140838e-43
kaumimpikan,do,2.2410824791140838e-43
denganmu.,peka,2.2410824791140838e-43
dibebani,kahèi,2.2410824791140838e-43
Seluruh,ra,2.2410824791140838e-43
Uang,Hèia,2.2410824791140838e-43
mengutuk,mamuri,2.3923089770258463e-43
mudanya,mamuri,2.3923089770258463e-43
Ai,re,2.3923089770258463e-43
satu-satunya,peka,2.3923089770258463e-43
kaukasihi,peka,2.3923089770258463e-43
Moria,peka,2.3923089770258463e-43
persembahkanlah,peka,2.3923089770258463e-43
kayunya,nèngu,2.3923089770258463e-43
bakarannya,nèngu,2.3923089770258463e-43
gundiknya,re,2.3923089770258463e-43
depanku,peka,2.3923089770258463e-43
lewat,ra,2.3923089770258463e-43
membelinya,nèi,2.3923089770258463e-43
peristiwa-peristiwa,kahèi,2.3923089770258463e-43
rotinya,kahèi,2.3923089770258463e-43
pegawainya,kahèi,2.3923089770258463e-43
memasukkan,kahèi,2.3923089770258463e-43
dipenjarakan,kahèi,2.3923089770258463e-43
Semuanya,Nèti,2.3923089770258463e-43
mengungkapkan,Nèti,2.3923089770258463e-43
jadikanlah,leo,2.3923089770258463e-43
ternakku,leo,2.3923089770258463e-43
kemurahanmu,nèngu,2.3923089770258463e-43
pandanganmu,nèngu,2.3923089770258463e-43
berjanjilah,nèngu,2.3923089770258463e-43
menguburku,nèngu,2.3923089770258463e-43
mengadili,hakim,2.4144197733228706e-43
harinya,bèli,2.4248241316872666e-43
mengerahkan,kèpe,2.561156716294362e-43
terlatih,kèpe,2.561156716294362e-43
318,kèpe,2.561156716294362e-43
hiduplah,peka,2.561156716294362e-43
Tunjukkanlah,peka,2.561156716294362e-43
kasihmu,peka,2.561156716294362e-43
tuju,peka,2.561156716294362e-43
menyembuhkan,ra,2.561156716294362e-43
Sebelumnya,ra,2.561156716294362e-43
harganya,nèi,2.561156716294362e-43
apalah,nèi,2.561156716294362e-43
merah-merah,peka,2.561156716294362e-43
lelah.,peka,2.561156716294362e-43
dianggapnya,ku,2.561156716294362e-43
tempat-tempatnya,Pinon,2.561156716294362e-43
Alwa,Pinon,2.561156716294362e-43
Yetet,Pinon,2.561156716294362e-43
Ela,Pinon,2.561156716294362e-43
Pinon,Pinon,2.561156716294362e-43
Mibzar,Pinon,2.561156716294362e-43
Magdiel,Pinon,2.561156716294362e-43
Iram,Pinon,2.561156716294362e-43
kediamannya,Pinon,2.561156716294362e-43
kepadamu.,Bisa,2.561156716294362e-43
