source_word,target_word,confidence_score,pos,page_number
kebiasaan,lodo,4.4315264319453343e-44,adverb,5
kebiasaan,tema,4.4315264319453343e-44,adverb,5
tinggalkan,tèke,4.4315264319453343e-44,verb,35
tinggalkan,bhera,4.4315264319453343e-44,verb,35
lagi,hari,4.4537395506244904e-44,particle,17
menjadikannya,j'aj'i,4.516982090426589e-44,verb,12
menjadikannya,j'aj'i,4.516982090426589e-44,conjunction,12
bersalah,sigo,4.605006548456181e-44,noun,28
bersalah,sala,4.605006548456181e-44,verb,28
bersalah,sale,4.605006548456181e-44,verb,28
kantong,kanoto,4.696624652801896e-44,noun,14
hamba-mu,ènu,4.791981938626008e-44,noun,10
mengikat,èki,4.993535079645246e-44,verb,11
mengikat,èki-karadhe,4.993535079645246e-44,verb,11
mengikat,pa'èki,4.993535079645246e-44,verb,11
mengikat,uj'u,4.993535079645246e-44,verb,11
menyampaikan,toke,4.993535079645246e-44,preposition,29
menyampaikan,toke dai,4.993535079645246e-44,preposition,29
menyampaikan,sange,4.993535079645246e-44,verb,29
menyampaikan,dai,4.993535079645246e-44,conjunction,29
bertambah-tambah,tabha,5.100018115271596e-44,verb,32
kawanannya,anga,5.100018115271596e-44,noun,14
kawanannya,angalai,5.100018115271596e-44,noun,14
rakyat,kaba rai,5.100018115271596e-44,noun,27
rakyat,dhèu kaba rai,5.100018115271596e-44,noun,27
bersamaku,sama,5.211376851316794e-44,comparative,29
dahulu,uru,5.211376851316794e-44,adverb,7
dahulu,uuru,5.211376851316794e-44,adverb,7
gembala,ana madhutu.,5.211376851316794e-44,noun,9
menempatkannya,era,5.211376851316794e-44,noun,33
berpesan,moa,5.326764891667773e-44,verb,26
mendapati,bisa,5.326764891667773e-44,verb,7
mendapati,abhu,5.326764891667773e-44,verb,7
mendapati,abhu,5.326764891667773e-44,verb,7
paksa,seti,5.446886122594147e-44,verb,23
paksa,laka-seti,5.446886122594147e-44,verb,23
paksa,pakaseti,5.446886122594147e-44,verb,23
paksa,palaka,5.446886122594147e-44,verb,23
barang,mèdha.,5.572501702176795e-44,noun,3
bukti,bukti,5.572501702176795e-44,noun,6
menguburnya,padhane,5.572501702176795e-44,verb,17
keserupaan,rèhu,5.703295078364821e-44,noun,28
keserupaan,rohu,5.703295078364821e-44,noun,28
keserupaan,rupa,5.703295078364821e-44,noun,28
mengenakan,lèka,5.703295078364821e-44,verb,15
mengenakan,lèke,5.703295078364821e-44,verb,15
menuntutnya,paj'uj'u,5.703295078364821e-44,verb,36
menuntutnya,katange,5.703295078364821e-44,verb,36
menuntutnya,pa'oo-parodha,5.703295078364821e-44,verb,36
menuntutnya,pahutu,5.703295078364821e-44,verb,36
telinga,rèu dhilu,5.703295078364821e-44,noun,33
hendak,dèi,5.840077642719674e-44,verb,11
hendak,no'o,5.840077642719674e-44,verb,11
membalas,bala;,5.840077642719674e-44,verb,3
membalas,dhaa.,5.840077642719674e-44,verb,3
begini,sèmi ne'e ka.,5.983131491810999e-44,comparative,3
tiga,tèlu,5.983131491810999e-44,numeral,34
tongkat,tatea,6.132141839267185e-44,noun,35
barat,haa.,6.288635350306943e-44,noun,3
zaman,taa,6.288635350306943e-44,noun,37
zaman,tebho,6.288635350306943e-44,noun,37
agar,ho,6.480152809104158e-44,conjunction,1
agar,sèna ka,6.480152809104158e-44,conjunction,1
hadapan-ku,tangara,6.623633535052521e-44,verb,10
hadapan-ku,tangare,6.623633535052521e-44,verb,10
kedatanganku,mai,6.623633535052521e-44,verb,8
mengubur,padhane,6.623633535052521e-44,verb,17
terdapat,bisa,6.623633535052521e-44,verb,7
terdapat,abhu,6.623633535052521e-44,verb,7
terdapat,abhu,6.623633535052521e-44,verb,7
atap,rèu èmu,6.80354698574037e-44,noun,2
sesuatunya,èci,6.80354698574037e-44,numeral,31
sungai,loko,6.80354698574037e-44,noun,32
makanan,na'a,6.992541575039516e-44,verb,19
mengambilnya,nare,6.992541575039516e-44,verb,1
berdiam,ugu-ge'e boe,7.191099578907972e-44,idiom,8
cincin,kadeli,7.191099578907972e-44,noun,7
sehari,lod'o,7.191099578907972e-44,noun,11
sehari,loo,7.191099578907972e-44,noun,11
sehari,hari,7.191099578907972e-44,temporal,11
termasuk,maso,7.191099578907972e-44,verb,20
tuan,lamatua,7.191099578907972e-44,noun,35
binatang-binatang,badha,7.400474292505228e-44,noun,5
memuji,koa-kio,7.400474292505228e-44,verb,26
menyusahkan,j'èra,7.400474292505228e-44,verb,32
asal,sad'i,7.620516059414765e-44,conjunction,2
menyentuh,gai,7.620516059414765e-44,verb,31
menyentuh,goi,7.620516059414765e-44,verb,31
menyentuh,g'ag'e,7.620516059414765e-44,verb,31
menyentuh,pagoi,7.620516059414765e-44,verb,31
perlu,pusi,7.620516059414765e-44,verb,25
perlu,parluu,7.620516059414765e-44,auxiliary,25
suka,dale,7.853380623286302e-44,verb,32
suka,dèi,7.853380623286302e-44,verb,32
suka,neo,7.853380623286302e-44,verb,32
gemetar,karèbha;,8.098218439434987e-44,verb,9
gemetar,rèbha-rèbha.,8.098218439434987e-44,verb,9
pindah,pidha,8.098218439434987e-44,verb,26
sesudah,nare,8.098218439434987e-44,verb,32
sesudah,ka,8.098218439434987e-44,complementizer,32
sesudah,ele,8.098218439434987e-44,particle,32
sesudah,le,8.098218439434987e-44,particle,32
atau,do,8.358208348416103e-44,conjunction,2
berjalan-jalan,j'ara,8.358208348416103e-44,noun,12
berjalan-jalan,kako,8.358208348416103e-44,verb,12
mengambilkan,nare,8.358208348416103e-44,verb,1
tumbuh,muri,8.358208348416103e-44,verb,35
kesakitan,pèda,8.63258582004556e-44,verb,28
menjadikanku,j'aj'i,8.63258582004556e-44,verb,12
menjadikanku,j'aj'i,8.63258582004556e-44,conjunction,12
menjatuhkan,bèbha,8.63258582004556e-44,verb,13
menjatuhkan,bèbhe,8.63258582004556e-44,verb,13
menjatuhkan,bhèbha,8.63258582004556e-44,verb,13
menjatuhkan,manahu,8.63258582004556e-44,verb,13
pengawas,mage,8.923105995340341e-44,verb,2
diam-diam,ugu-ge'e boe,9.231708106982551e-44,idiom,8
rasa,mamènyi,9.231708106982551e-44,noun,27
berisi,soli,9.56053886147636e-44,verb,12
kami,ji'i,9.56053886147636e-44,pronoun,14
kami,ng-,9.56053886147636e-44,pronoun,14
kami,nga,9.56053886147636e-44,pronoun,14
kami,nga-,9.56053886147636e-44,pronoun,14
suka,dale,9.56053886147636e-44,verb,32
suka,dèi,9.56053886147636e-44,verb,32
suka,neo,9.56053886147636e-44,verb,32
turunkan,papuru,9.56053886147636e-44,verb,36
turunkan,saguru,9.56053886147636e-44,verb,36
biarkan,hia,9.909006506858382e-44,verb,5
biarkan,ai-hèb'a,9.909006506858382e-44,idiom,5
cincin,kadeli,1.110331921212895e-43,noun,7
agar,ho,1.869664492032213e-43,conjunction,1
agar,sèna ka,1.869664492032213e-43,conjunction,1
itu,èèna,1.869664492032213e-43,demonstrative,12
itu,na,1.869664492032213e-43,demonstrative,12
itu,nèi,1.869664492032213e-43,demonstrative,12
kesalahan,sasala,5.034222014518825e-43,noun,16
kesalahan,sasala-sasigo,5.034222014518825e-43,noun,16
kesalahan,sigo,5.034222014518825e-43,noun,16
sejak,karèi,1.0567243691409198e-42,adverb,30
sejak,krèi,1.0567243691409198e-42,adverb,30
budak,ènu,1.2329059029637008e-42,noun,5
itu,èèna,0.0771394851849444,demonstrative,12
itu,na,0.0771394851849444,demonstrative,12
itu,nèi,0.0771394851849444,demonstrative,12
dahulu,uru,0.2019227662480942,adverb,7
dahulu,uuru,0.2019227662480942,adverb,7
semua,mèu-mèu,0.2267221545394132,adverb,30
semua,aa'i,0.2267221545394132,quantifier,30
semua,aa'i-aa'i,0.2267221545394132,quantifier,30
atau,do,0.2583112566700671,conjunction,2
lagi,hari,0.2710911954866301,particle,17
makanan,na'a,0.277126832092085,verb,19
bumi,rai-haha,0.3158303742079451,noun,6
gembala,ana madhutu.,0.370959272510661,noun,9
bersamaku,sama,0.3832744372705463,comparative,29
kami,ji'i,0.4106541101326197,pronoun,14
kami,ng-,0.4106541101326197,pronoun,14
kami,nga,0.4106541101326197,pronoun,14
kami,nga-,0.4106541101326197,pronoun,14
kami,ji'i,0.4119282892501749,pronoun,14
kami,ng-,0.4119282892501749,pronoun,14
kami,nga,0.4119282892501749,pronoun,14
kami,nga-,0.4119282892501749,pronoun,14
bumi,rai-haha,0.455098226915441,noun,6
begini,sèmi ne'e ka.,0.4782785383454362,comparative,3
tiga,tèlu,0.5451000081284777,numeral,34
sungai,loko,0.6119026975754438,noun,32
tongkat,tatea,0.6449825608459645,noun,35
biarkan,hia,0.683661750832408,verb,5
biarkan,ai-hèb'a,0.683661750832408,idiom,5
makanan,nganga'a,0.7218542718533126,noun,19
tuan,lamatua,0.8094647922629407,noun,35
