english_version,mismatch_type,verse_reference,description
Brenton,dhao_has_content_eng_missing,1CO 11:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:22,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:24,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:25,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:26,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:27,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:28,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:29,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:30,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:31,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:32,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:33,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:34,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:22,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:24,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:25,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:26,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:27,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:28,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:29,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:30,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:31,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 12:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 13:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:22,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:24,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:25,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:26,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:27,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:28,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:29,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:30,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:31,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:32,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:33,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:34,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:35,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:36,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:37,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:38,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:39,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:40,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 14:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:22,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:24,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:25,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:26,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:27,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:28,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:29,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:30,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:31,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:32,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:33,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:34,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:35,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:36,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:37,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:38,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:39,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:40,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:41,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:42,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:43,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:44,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:45,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:46,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:47,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:48,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:49,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:50,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:51,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:52,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:53,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:55,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:56,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:57,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:58,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 15:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:22,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:24,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 16:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:24,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:25,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:26,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:27,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:28,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:29,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:30,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:31,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 1:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 2:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 3:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:20,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 4:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 5:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 6:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 6:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 6:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 6:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 6:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 6:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 6:15,"Dhao has content, English is empty"
