verse,source_text,target_text,pred_target_text
GEN 1:12,"Bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji menurut jenisnya, dan pohon yang berbuah dengan biji di dalamnya menurut jenisnya. Allah melihat bahwa itu baik.","Ètu dedha-rai, ana aajꞌu se hua-hela ka madhutu rupa rèngu. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa.","Hèia rai hia jꞌuꞌu dhu muri, ajꞌu-ajꞌu dhu muri, dènge ajꞌu-ajꞌu dhu hua. Lamatua ladhe nèdhi, na, jꞌara seꞌe beꞌa."
GEN 1:13,"Jadilah petang dan jadilah pagi, itulah hari ketiga.","Neꞌe ne, lodꞌo ka tèlu kèna.","Ka lodꞌo cèna, dènge madꞌae aae èèna ka, madꞌae aae hari. Èle èèna ka, lèke dènge lodꞌo tèlu."
GEN 1:14-15,"Kemudian, Allah berfirman, “Biarlah ada penerang di cakrawala langit untuk memisahkan siang dari malam, dan biarlah itu ada untuk tanda-tanda dan untuk musim-musim, dan untuk hari-hari serta tahun-tahun, dan biarlah itu menjadi penerang di cakrawala langit, untuk memberikan terang atas bumi.” Demikianlah itu terjadi.","Hèia Ama Lamatua lii hari, aku Nèngu na, “Re bèka dedha, hudꞌi abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. Hudꞌi abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. Rèngu aaꞌi-aaꞌi se, jꞌajꞌi tadha, ho sèna ka bisa ige lodꞌo, hèru, dènge tèu.” Ropa padhai lii nare sèmi neꞌe, mèdha dhu heo aaꞌi-aaꞌi ra jꞌajꞌi dènge ka.","Èle èèna ka, Ama Lamatua peka hari, na, Hudꞌi dènge ku saraa èci ètu dedha-liru, sèna ka pasaraa mèu-mèda. Sèna ka hia tadha-tadha, sèna ka jꞌajꞌi mi tadha, lodꞌo-lodꞌo jꞌajꞌajꞌèra, lodꞌo-lodꞌo dhu Ama Lamatua hagꞌe nare dhèu ètu rai-haha ne, dènge tèu-tèu dhu Lamatua papuru mai. Hèia Na tao sèmi èèna kahèi."
GEN 1:16,"Allah membuat dua penerang yang besar. Penerang yang lebih besar untuk menguasai siang, sedangkan penerang yang lebih kecil untuk menguasai malam. Dia juga membuat bintang-bintang.","Ka Na tao ka mèdha kapai dua dhu pasaraa rai-haha. Dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. Aa Na tao hua-hètu kahèi.","Ètu dedha-liru, Ama Lamatua tao saraa dua rupa. Saraa dhu kapai risi, sèna ka pale-lème lodꞌo; aa saraa dhu ana iiki, sèna ka pale-lème mèda. Na tao kahèi hua-hètu."
GEN 1:17,"Allah mengatur mereka di cakrawala langit untuk menerangi bumi,","Na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha.","Ama Lamatua pajꞌujꞌu saraa se, ho pasaraa liru dènge liru, sèna ka pasaraa rai-haha."
GEN 1:18,"untuk menguasai siang dan menguasai malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa itu baik.","Ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. Dènge jꞌara neꞌe, Na hagꞌe eele saraa nèti maroga. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa.","sèna ka rèngu rèdꞌu paredha ètu dꞌara saraa, aa rèdꞌu paredha ètu dꞌara maroga. Èle èèna ka, Ama Lamatua ladhe, na, beꞌa."
GEN 1:19,"Jadilah petang dan jadilah pagi, itulah hari keempat.","Neꞌe ne, lodꞌo ka èpa kèna.","Hèia lodꞌo cèna, dènge lodꞌo bèli."
GEN 1:20,"Kemudian, Allah berfirman, “Biarlah air dikerumuni oleh makhluk-makhluk hidup, dan biarlah burung-burung beterbangan di atas bumi, melintasi cakrawala langit.”","Hèia Ama Lamatua padhai lii hari, peka na, “Hudꞌi abhu ku ae-ae dhu mamuri ètu dꞌara èi. Dènge hudꞌi abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne.”","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, Hudꞌi laa èi ne jꞌajꞌi dènge ngiꞌu dhu mamuri. Hua-hètu ae kahèi, tao sèmi èèna. Hua-hètu ae kahèi, tao sèmi manu-bhui dhu lela re dedha-liru. Hua-hètu ae kahèi, tao sèmi èèna ètu dedha-liru."
GEN 1:21,"Lalu, Allah menciptakan binatang-binatang laut yang besar dan segala jenis makhluk hidup yang bergerak serta berkerumun di dalam air menurut jenisnya, dan segala burung bersayap menurut jenisnya. Allah melihat bahwa itu baik.","Ka Na tao ka iꞌa aaꞌi-aaꞌi dènge badha kapai dhu mamuri ètu dꞌara èi. Na pajꞌajꞌi kahèi manu-bhui aaꞌi-aaꞌi. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa.","Èle èèna ka, Ama Lamatua pajꞌajꞌi badha-manu dhu kapai aae-aae ètu dꞌara dhasi, dènge rupa-rupa badha mamuri ètu dꞌara èi. Lamatua pajꞌajꞌi kahèi rupa-rupa manu-bhui dhu dènge èla, toke rèngu bisa rai. Lamatua ladhe, na, beꞌa titu kèna."
GEN 1:22,"Allah memberkatinya, firman-Nya, “Berkembangbiaklah, dan berlipatgandalah, dan penuhilah air di lautan, dan biarlah burung-burung berlipat ganda di bumi.”","Ka Na padhai lii ho sèna ka hia berkat mi aaꞌi-aaꞌi dhu mamuri, peka na, “Iꞌa se, hudꞌi laa bèba-kacanga sèna ka papènu èi ètu mia-mia. Aa manu-bhui, asa tabha kahèi.”","Hèia Ama Lamatua hia si mèngi-nale, peka na, Bèli-camèdꞌa ana iiki-iiki sèra muri asa dꞌara dhasi. Manu-bhui kahèi ae-ae ètu rai-haha. Manu-bhui kahèi ae-ae ètu rai-haha."
GEN 1:23,Jadilah petang dan jadilah pagi. Inilah hari kelima.,"Neꞌe ne, lodꞌo ka lèmi kèna.","Ka lodꞌo cèna, hèia lèmi lodꞌo. Madꞌae aae kahèi, lèmi lodꞌo."
GEN 1:24-25,"Kemudian, Allah berfirman, “Biarlah bumi menghasilkan makhluk hidup menurut jenisnya, hewan ternak, binatang melata, dan binatang-binatang liar, masing-masing menurut jenisnya.” Lalu, jadilah demikian. Allah membuat binatang liar di darat itu menurut jenisnya, hewan ternak menurut jenisnya, dan segala binatang melata di atas tanah menurut jenisnya. Allah melihat bahwa itu baik.","Ka Ama Lamatua peka hari, na, “Hudꞌi abhu ku rupa-rupa badha dhu mamuri ètu rai-dedha. Sèmi: badha-manu dhu ani, badha hui, dènge badha dhu rodꞌo, èci-èci ka dènge rupa na.” Ropa padhai lii nare sèmi neꞌe, badha aaꞌi-aaꞌi ra jꞌajꞌi dènge ka. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, Hudꞌi laa rai-haha hia ngiꞌu dhu mamuri madhutu rupa-rupa. Nuka sèmi: badha, rodꞌo, dènge badha hui. Èci-èci ka madhutu raropa na. Hèia Ama Lamatua tao badha hui, ka Na pajꞌajꞌi ètu rai-haha, badha dènge badha rodꞌo sèra. Lamatua ladhe nèdhi, na, beꞌa kahèi."
GEN 1:26,"Kemudian, Allah berfirman, “Sekarang, mari Kita membuat manusia dalam rupa Kita, menurut keserupaan Kita. Biarlah mereka berkuasa atas ikan-ikan di laut, atas burung-burung di udara, atas ternak, atas seluruh bumi, dan atas segala yang melata yang merayap di bumi.”","Ka Ama Lamatua peka hari, aku Nèngu na, “Hua iia, mai Ta pajꞌajꞌi dhèu, madhutu rupa Èdhi. Hudꞌi laa ra leru dènge ator iꞌa aaꞌi-aaꞌi ètu dꞌara dhasi, manu-bhui aaꞌi-aaꞌi ètu dedha-liru, badha-manu dhu ani, dènge badha leo aaꞌi-aaꞌi ra dhu mamuri ètu rai-haha ne.”","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, Mai ho èdhi tao dhèu rai-haha, èci èèna ka dènge èdhi. Hudꞌi laa rèngu paredha iꞌa-iꞌa ètu dꞌara dhasi, manu-bhui ètu dedha-liru, badha-manu, dènge badha-manu aaꞌi-aaꞌi ètu rai-haha, dènge badha-manu aaꞌi-aaꞌi dhu rodꞌo ètu rai-haha."
GEN 1:27,"Lalu, Allah menciptakan manusia menurut rupa-Nya. Menurut rupa Allah, Dia menciptakannya. Laki-laki dan perempuan, demikianlah Dia menciptakan mereka.","Hèia Na pajꞌajꞌi dhèu rai-haha ne madhutu rupa Na. Na pajꞌajꞌi si, dhèu mone dènge dhèu bhèni.","Hèia Ama Lamatua pajꞌajꞌi dhèu rai-haha, èci èèna ka dènge Nèngu. Na pajꞌajꞌi dhèu rai-haha, mone dènge bhèni."
GEN 1:28,"Allah memberkati mereka dan Allah berfirman kepada mereka, “Beranakcuculah dan berlipatgandalah, dan penuhilah bumi, dan kuasailah itu. Berkuasalah atas ikan-ikan di laut, atas burung-burung di udara, dan atas segala yang hidup yang bergerak di bumi.”","Ka Na padhai lii ho sèna ka hia berkat mi rèngu, aku Nèngu na, “Miu hudꞌi bèba-kacanga ku, sèna ka pea papènu rai-haha ne, ho mi ator ne. Jaꞌa hia miu koasa, sèna ka mi ator iꞌa, manu-bhui, dènge badha-manu aaꞌi-aaꞌi ra ètu rai-haha ne.","Hèia Ama Lamatua hia si mèngi-nale. Ka Na peka dènge ra, Miu hudꞌi jꞌajꞌi ku ana-ana ae-ae, toke ra ae-ae. Miu hudꞌi uri jꞌara-jꞌara mamuri dhu ae-ae ètu rai-haha, toke pasoa aaꞌi isi rai-haha. Miu hudꞌi jꞌajꞌi ku dhèu aae-dhèu dhu rèdꞌu paredha. Miu hudꞌi paredha iꞌa-iꞌa ètu dꞌara dhasi, manu-bhui ètu dedha-liru, dènge badha aaꞌi-aaꞌi dhu rai-haha."
GEN 1:29,"Kemudian, Allah berfirman, “Lihat, Aku telah memberikan kepadamu segala tumbuhan yang menghasilkan biji yang ada di seluruh muka bumi, dan segala pohon yang buahnya berbiji, itulah yang akan menjadi makananmu.","Mi nanene paie-iie! Jaꞌa hia miu rupa-rupa ngangaꞌa ètu rai-haha neꞌe. Sèmi: ana aajꞌu dhu dènge hua, dhu dènge lamusi, aa dhu dènge rèu mangèru.","Hèia Ama Lamatua padhai lii, peka na, Sèmi neꞌe. Jaꞌa hia le hia miu ajꞌu-jꞌu dhu muri ètu rai-haha. Ajꞌu sèra, hia miu ngangaꞌa-nganginu."
GEN 1:30,"Untuk segala binatang di bumi, dan untuk segala burung di langit, dan untuk segala yang merayap di bumi, yaitu segala sesuatu yang ada napas hidup di dalamnya, Aku telah memberi segala tumbuhan hijau sebagai makanan.” Lalu, jadilah demikian.","Jaꞌa hia rupa-rupa ana aajꞌu kahèi sèna ka jꞌajꞌi ngangaꞌa badha. Ngangaꞌa hia badha-manu dhu ani, badha hui, badha dhu rodꞌo, dènge manu-bhui.” Ropa padhai lii nare sèmi neꞌe, ngangaꞌa badha sèra aaꞌi-aaꞌi ra jꞌajꞌi dènge ka.","Badha aaꞌi-aaꞌi ètu rai-haha, manu-bhui aaꞌi-aaꞌi ètu dedha-liru, dènge badha rodꞌo-roꞌo aaꞌi-aaꞌi dhu mamuri ètu rai-haha. Jaꞌa hia raꞌa-rinu sèra, nuka sèmi ajꞌu dhu muri tabꞌa ètu dꞌara oka-tedhe. Rèngu raꞌa kahèi. Hèia na mamuri ka sèmi èèna."
GEN 1:31,"Allah mengamati segala sesuatu yang telah dibuat-Nya, dan lihatlah, itu sangat baik! Jadilah petang dan jadilah pagi. Inilah hari keenam.","Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. Neꞌe ne, lodꞌo ka èna kèna.","Hèia Ama Lamatua ladhe nèdhi aaꞌi-aaꞌi dhu Na pajꞌajꞌi. Ka Na ladhe, na, mèu titu kèna. Hèia abhu lodꞌo rea. Aa abhu lodꞌo rea. Madꞌae aae kahèi. Èle èèna, lodꞌo ka èna."
GEN 2:1,Demikianlah langit dan bumi beserta segala isinya diselesaikan.,"Dènge jꞌara sèmi èèna ka, Ama Lamatua pajꞌajꞌi dedha-liru, rai-haha, dènge isi ra aaꞌi-aaꞌi.","Lamatua pajꞌajꞌi liru dènge rai-haha, dènge isi ra aaꞌi-aaꞌi."
GEN 2:2,"Pada hari ketujuh, Allah menyelesaikan pekerjaan-Nya, yang telah dilakukan-Nya itu, dan Dia beristirahat pada hari ketujuh dari segala pekerjaan-Nya, yang telah dilakukan-Nya.","Ropa Na sabꞌa èle, asa bèli èèna, lèke dènge lodꞌo ka pidhu. Hèia Na ae nèti sasabꞌa-laꞌa Na.","Hèia dꞌai lodꞌo ka pidhu, Lamatua sabꞌa nare aaꞌi mèu-mèu. Ka Na ae nare dꞌara, ka Na ae nare dꞌara ca lodꞌo. Hèia Na ae nare dꞌara lodꞌo ka pidhu, nèti aaꞌi-aaꞌi dhu Na pajꞌajꞌi."
GEN 2:3,"Lalu, Allah memberkati hari ketujuh itu dan menguduskannya, sebab pada saat itu, Dia beristirahat dari segala pekerjaan-Nya, yang telah Dia lakukan dalam penciptaan.","Dènge jꞌara neꞌe, Na tao lodꞌo ka pidhu ne, lodꞌo dhu kapai risi nèti lodꞌo dhu leo sèra. Na tao sèmi èèna, lula Na paꞌèle aaꞌi le sasabꞌa Na, ka ètu dꞌara lodꞌo ka pidhu na, Na ae.","Hèia Ama Lamatua hia mèngi-nale mi lodꞌo ka pidhu, ka Na dedꞌe padedha-dedha lodꞌo èèna, sèna ka jꞌajꞌi mola-mèci. Ka Na ae nare lodꞌo èèna, nèti sasabꞌa-laꞌa Na aaꞌi-aaꞌi, dhu Na pajꞌajꞌi ètu rai-haha."
GEN 2:4,"Inilah riwayat langit dan bumi ketika mereka diciptakan, pada waktu TUHAN Allah menjadikan bumi dan langit,","Dꞌai sange neꞌe ka, lii lolo Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha ne. Lodꞌo Ama LAMATUA heka pajꞌajꞌi dedha-liru dènge rai-haha èèna,","Neꞌe ne, lii lolo nèti uru jꞌara, lodꞌo Ama Lamatua pajꞌajꞌi liru dènge rai-haha."
GEN 2:5-6,"ketika di bumi belum ada segala semak belukar di ladang dan belum ada tanaman ladang yang tumbuh karena TUHAN Allah belum menurunkan hujan ke bumi, dan belum ada orang yang mengolah tanah itu. Namun, ada kabut yang keluar dari bumi dan membasahi seluruh permukaan bumi.","dhae abhu mèka ana aajꞌu, lula Na papuru mèka èjꞌi. Taa èèna, dhoka sèbꞌu èi di, mai nèti dꞌara rai ho pabasa rai re dedha. Aa abhu mèka dhèu rai-haha dhu tao oka-tedhe.","Lodꞌo èèna, abhu mèka ana aajꞌu ètu rai-haha, aa ajꞌu dhu muri mèka, lula Ama Lamatua papuru mèka èjꞌi. Abhu mèka dhèu sabꞌa ètu rai-haha. Te ngaa ana aajꞌu se bèbhe mai, ka ra pakihu eele rai-haha."
GEN 2:7,"Kemudian, TUHAN Allah membentuk manusia dari debu tanah dan mengembuskan napas kehidupan ke dalam lubang hidungnya sehingga manusia itu menjadi makhluk yang hidup.","Èle èèna ka, Ama LAMATUA nare rai ciki, ka Na pajꞌajꞌi dhèu rai-haha. Hèia Na tiu aꞌae Na asa dꞌara sahènga dhèu na, ka na mamuri dènge ka.","Hèia Lamatua tao dhèu rai-haha nèti ahu rai, ka Na ère aꞌae dhu nèti mamuri asa dꞌara rèhu na. Ka dhèu ne jꞌajꞌi ngiꞌu dhu mamuri."
GEN 2:8,"Lalu, TUHAN Allah membuat sebuah taman di sebelah timur, di Eden, dan di sana Dia menempatkan manusia yang telah dibentuk-Nya itu.","Hèia Ama LAMATUA bhoke oka cue ètu rai Eden, re bèka dhimu. Hèia Na hia dhèu ne pea ètu dꞌara oka na.","Èle èèna ka, Lamatua Lamatua tao oka cue ètu hèbꞌa dhimu, ngara na Eden. Hèia Lamatua tao dhèu rai-haha dhu Na pajꞌajꞌi sèra, ho pea ètu oka ne."
GEN 2:9,"Dari dalam tanah, TUHAN Allah menumbuhkan segala jenis pohon yang enak dilihat dan baik untuk makanan. Pohon kehidupan juga ada di tengah-tengah taman itu beserta pohon pengetahuan yang baik dan yang jahat.","Ètu dꞌara oka èèna, Na pamamuri rupa-rupa ajꞌu dhu beꞌa, dhu dhèu bisa raꞌa. Aa Na pamamuri kahèi ajꞌu dua kapua ètu talora aae oka èèna. Ladhe dhèu raꞌe hua nèti ajꞌu èci, na mamuri taa-taa. Aa ladhe dhèu raꞌe hua nèti ajꞌu èci hari, neꞌa hagꞌe mia dhu beꞌa, aa mia dhu karehe.","Ètu dꞌara oka ne, abhu ajꞌu rupa-rupa dhu dhèu dꞌèi raꞌa. Ajꞌu dhu nèti mamuri hia dhèu rai-haha, dènge ajꞌu dhu nèti reꞌa dadꞌèi Lamatua, hua iia kahèi."
GEN 2:10,"Ada suatu sungai yang mengalir dari Eden dan mengairi taman itu. Dari situ, sungai tersebut terbagi menjadi empat cabang.","Ètu era èèna, abhu loko èci dhu hae nèti dꞌara oka èèna. Loko èèna, èpa kacanga.","Abhu loko èci dhu bèbhe mai nèti dꞌara oka èèna, ngara na Eden. Nèti loko èèna, loko ne bagi mi èpa."
GEN 2:11,"Nama sungai yang pertama adalah Pison yang mengelilingi seluruh tanah Hawila, tempat yang ada emasnya.","Kacanga ka èci na, ngara na Pison. Nèngu ka dhu hae pale-lème rai Hawila dhu abhu hualaa ae-ae.","Ngara loko ka èci, Pison. Nèngu neꞌe ka dhu uli aaꞌi rai Hawila. Ètu dꞌara loko ne, abhu loko hualaa ae-ae."
GEN 2:12,"Emas dari tanah itu bagus, dan di sana ada damar bedolah dan batu krisopras.","Ètu era èèna ka, abhu poe-pai, ajꞌu dhu raa na hèu mèngi, dènge hadhu kaleꞌe.","Ètu era neꞌe, abhu era tao hualaa dhu beꞌa. Abhu era tao labhu kaleꞌe dhu kabꞌua, dènge hadhu krisopras dhu kabꞌua titu kèna."
GEN 2:13,Nama sungai yang kedua adalah Gihon yang mengalir mengelilingi seluruh tanah Kush.,"Kacanga ka dua, ngara na Gihon. Kacanga ne, hae pale-lème rai Kus.","Ngara loko ka dua, Gihon. Nèngu neꞌe ka dhu hae asa rai Kus."
GEN 2:14,Nama sungai yang ketiga adalah Tigris yang mengalir di sebelah timur Asyur. Sungai yang keempat adalah Efrat.,"Kacanga ka tèlu, ngara na Tigris. Kacanga neꞌe ka, jꞌajꞌi mi too rai Asyur re ca bèka dhimu. Kacanga ka èpa, ngara na Efrat.","Aa loko ka tèlu, ngara na Tigris. Uru èèna, loko ne madhèdi asa bèka dhimu nèti Asur. Aa loko ka èpa, ngara na Efrat."
GEN 2:15,TUHAN Allah mengambil manusia itu dan menempatkannya di taman Eden untuk mengolahnya dan memeliharanya.,"Ka Ama LAMATUA hia dhèu pea ètu dꞌara Eden, ho na ladhe-leru oka èèna.","Èle èèna ka, Ama Lamatua dedꞌe nèti dhèu èèna, ka pamaso ne ètu dꞌara oka Eden, sèna ka na ladhe-leru oka ne."
GEN 2:16,"Kemudian, TUHAN Allah memberikan perintah kepada manusia itu, firman-Nya, “Kamu boleh makan dari segala pohon apa yang ada di taman ini,","Hèia Na hia paredha mi dhèu ne, aku Nèngu na, “Hua aajꞌu aaꞌi-aaꞌi ètu dꞌara oka ne, èu bisa muꞌa.","Èle èèna ka, Lamatua hia paredha mi dhèu èèna, peka na, Èu bisa muꞌa nèti ajꞌu aaꞌi-aaꞌi ètu dꞌara oka ne."
GEN 2:17,"tetapi kamu jangan makan dari pohon pengetahuan tentang yang baik dan yang jahat, sebab pada hari kamu memakannya, kamu pasti akan mati.”","Te ngaa èci dhu èu bisa boe muꞌa. Nuka hua nèti ajꞌu dhu neꞌa hagꞌe mia dhu beꞌa, aa mia dhu karehe. Ladhe muꞌa, èu madhe dènge.”","Te ngaa baku muꞌa nèti ajꞌu dhu peka-padhai jꞌara-jꞌara dhu beꞌa dènge dhu karehe. Te lodꞌo miu miꞌa, èèna na miu madhe tareꞌa."
GEN 2:18,"Kemudian, TUHAN Allah berfirman, “Tidak baik kalau manusia itu sendiri saja. Aku akan membuat baginya, penolong yang sepadan dengannya.”","Ka Ama LAMATUA tuhu haru lii Na, aku Nèngu na, “Babeꞌa na aadꞌo, ladhe dhèu ne mamuri mesa na. De Jaꞌa neo pajꞌajꞌi hia ne, anga ca dhèu dhu pamèci dènge ne.”","Hèia Ama Lamatua peka hari, na, Beꞌa boe ladhe dhèu rai-haha ne mesa na. Jaꞌa neo tao dhèu èci, ho soru-bara ne."
GEN 2:19-20,"Lalu, dari tanah, TUHAN Allah membentuk segala binatang di padang dan segala burung di udara, dan membawanya kepada manusia untuk melihat bagaimana dia akan menyebut mereka. Apa pun sebutan manusia itu bagi setiap makhluk hidup itu, itulah namanya. Jadi, manusia itu memberikan nama untuk semua hewan, untuk burung-burung di udara, dan semua binatang liar di padang. Akan tetapi, bagi manusia itu, tidak ditemukan seorang penolong yang sepadan dengannya.","Lodꞌo èèna, Ama LAMATUA nare rai ciki, ka Na tao rupa-rupa badha dènge manu-bhui. Hèia Na pangèdꞌu si asa dhèu ne, sèna ka na pangare si. Ka dhèu ne pangare badha se dènge manu-bhui aaꞌi-aaꞌi ra, èci-èci ka dènge ngara ra. Te ngaa dhèu ne abhu mèka anga dhu pamèci dènge nèngu.","Hèia Lamatua tao nèti rai ne, rupa-rupa badha hui, nuka sèmi badha ai, dènge rupa-rupa manu-bhui dhu lela ètu dedha-liru. Ka Lamatua lere si mai asa dhèu èèna, sèna ka na neꞌa dhèu ne pangare rèngu ngara na ngaa. Dhèu ne pangare dhèu rai-haha, nuka sèmi badha hui, manu-bhui, dènge badha hui aaꞌi-aaꞌi ètu dꞌara padꞌa sodꞌa. Te ngaa dhèu ne abhu boe dhèu dhu soru-bara ne, dhu palèke dènge ne."
GEN 2:21,"Lalu, TUHAN Allah mendatangkan tidur yang lelap atas manusia itu. Ketika dia tidur, TUHAN mengambil salah satu tulang rusuknya, lalu menutupnya dengan daging.","Hèia Ama LAMATUA pabhèjꞌi luu dhèu neꞌe. Ropa na bhèjꞌi, Ama Lamatua nare rui karasa na calaa, ka Na pakateme hari nuꞌa deo na.","Hèia Lamatua tao bhèjꞌi kapai, ka dhèu ne bhèjꞌi luu. Ropa na bhèjꞌi luu, ka Lamatua hutu nare rui dhèu ne èci, ka Na pahutu dènge sisi."
