Pada mulanya , Allah menciptakan langit dan bumi . ||| Uru-uru tèka , Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha .
Lalu , Allah memberkati hari ketujuh itu dan menguduskannya , sebab pada saat itu , Dia beristirahat dari segala pekerjaan-Nya , yang telah Dia lakukan dalam penciptaan . ||| Dènge jꞌara neꞌe , Na tao lodꞌo ka pidhu ne , lodꞌo dhu kapai risi nèti lodꞌo dhu leo sèra . Na tao sèmi èèna , lula Na paꞌèle aaꞌi le sasabꞌa Na , ka ètu dꞌara lodꞌo ka pidhu na , Na ae .
Inilah riwayat langit dan bumi ketika mereka diciptakan , pada waktu TUHAN Allah menjadikan bumi dan langit , ||| Dꞌai sange neꞌe ka , lii lolo Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha ne . Lodꞌo Ama LAMATUA heka pajꞌajꞌi dedha-liru dènge rai-haha èèna ,
ketika di bumi belum ada segala semak belukar di ladang dan belum ada tanaman ladang yang tumbuh karena TUHAN Allah belum menurunkan hujan ke bumi , dan belum ada orang yang mengolah tanah itu . Namun , ada kabut yang keluar dari bumi dan membasahi seluruh permukaan bumi . ||| dhae abhu mèka ana aajꞌu , lula Na papuru mèka èjꞌi . Taa èèna , dhoka sèbꞌu èi di , mai nèti dꞌara rai ho pabasa rai re dedha . Aa abhu mèka dhèu rai-haha dhu tao oka-tedhe .
Kemudian , TUHAN Allah membentuk manusia dari debu tanah dan mengembuskan napas kehidupan ke dalam lubang hidungnya sehingga manusia itu menjadi makhluk yang hidup . ||| Èle èèna ka , Ama LAMATUA nare rai ciki , ka Na pajꞌajꞌi dhèu rai-haha . Hèia Na tiu aꞌae Na asa dꞌara sahènga dhèu na , ka na mamuri dènge ka .
Lalu , TUHAN Allah membuat sebuah taman di sebelah timur , di Eden , dan di sana Dia menempatkan manusia yang telah dibentuk-Nya itu . ||| Hèia Ama LAMATUA bhoke oka cue ètu rai Eden , re bèka dhimu . Hèia Na hia dhèu ne pea ètu dꞌara oka na .
Dari dalam tanah , TUHAN Allah menumbuhkan segala jenis pohon yang enak dilihat dan baik untuk makanan . Pohon kehidupan juga ada di tengah-tengah taman itu beserta pohon pengetahuan yang baik dan yang jahat . ||| Ètu dꞌara oka èèna , Na pamamuri rupa-rupa ajꞌu dhu beꞌa , dhu dhèu bisa raꞌa . Aa Na pamamuri kahèi ajꞌu dua kapua ètu talora aae oka èèna . Ladhe dhèu raꞌe hua nèti ajꞌu èci , na mamuri taa-taa . Aa ladhe dhèu raꞌe hua nèti ajꞌu èci hari , neꞌa hagꞌe mia dhu beꞌa , aa mia dhu karehe .
Ada suatu sungai yang mengalir dari Eden dan mengairi taman itu . Dari situ , sungai tersebut terbagi menjadi empat cabang . ||| Ètu era èèna , abhu loko èci dhu hae nèti dꞌara oka èèna . Loko èèna , èpa kacanga .
Nama sungai yang pertama adalah Pison yang mengelilingi seluruh tanah Hawila , tempat yang ada emasnya . ||| Kacanga ka èci na , ngara na Pison . Nèngu ka dhu hae pale-lème rai Hawila dhu abhu hualaa ae-ae .
Emas dari tanah itu bagus , dan di sana ada damar bedolah dan batu krisopras . ||| Ètu era èèna ka , abhu poe-pai , ajꞌu dhu raa na hèu mèngi , dènge hadhu kaleꞌe .
Nama sungai yang kedua adalah Gihon yang mengalir mengelilingi seluruh tanah Kush . ||| Kacanga ka dua , ngara na Gihon . Kacanga ne , hae pale-lème rai Kus .
Nama sungai yang ketiga adalah Tigris yang mengalir di sebelah timur Asyur . Sungai yang keempat adalah Efrat . ||| Kacanga ka tèlu , ngara na Tigris . Kacanga neꞌe ka , jꞌajꞌi mi too rai Asyur re ca bèka dhimu . Kacanga ka èpa , ngara na Efrat .
TUHAN Allah mengambil manusia itu dan menempatkannya di taman Eden untuk mengolahnya dan memeliharanya . ||| Ka Ama LAMATUA hia dhèu pea ètu dꞌara Eden , ho na ladhe-leru oka èèna .
Kemudian , TUHAN Allah memberikan perintah kepada manusia itu , firman-Nya , “ Kamu boleh makan dari segala pohon apa yang ada di taman ini , ||| Hèia Na hia paredha mi dhèu ne , aku Nèngu na , “ Hua aajꞌu aaꞌi-aaꞌi ètu dꞌara oka ne , èu bisa muꞌa .
tetapi kamu jangan makan dari pohon pengetahuan tentang yang baik dan yang jahat , sebab pada hari kamu memakannya , kamu pasti akan mati . ” ||| Te ngaa èci dhu èu bisa boe muꞌa . Nuka hua nèti ajꞌu dhu neꞌa hagꞌe mia dhu beꞌa , aa mia dhu karehe . Ladhe muꞌa , èu madhe dènge . ”
Kemudian , TUHAN Allah berfirman , “ Tidak baik kalau manusia itu sendiri saja . Aku akan membuat baginya , penolong yang sepadan dengannya . ” ||| Ka Ama LAMATUA tuhu haru lii Na , aku Nèngu na , “ Babeꞌa na aadꞌo , ladhe dhèu ne mamuri mesa na . De Jaꞌa neo pajꞌajꞌi hia ne , anga ca dhèu dhu pamèci dènge ne . ”
Lalu , dari tanah , TUHAN Allah membentuk segala binatang di padang dan segala burung di udara , dan membawanya kepada manusia untuk melihat bagaimana dia akan menyebut mereka . Apa pun sebutan manusia itu bagi setiap makhluk hidup itu , itulah namanya . Jadi , manusia itu memberikan nama untuk semua hewan , untuk burung-burung di udara , dan semua binatang liar di padang . Akan tetapi , bagi manusia itu , tidak ditemukan seorang penolong yang sepadan dengannya . ||| Lodꞌo èèna , Ama LAMATUA nare rai ciki , ka Na tao rupa-rupa badha dènge manu-bhui . Hèia Na pangèdꞌu si asa dhèu ne , sèna ka na pangare si . Ka dhèu ne pangare badha se dènge manu-bhui aaꞌi-aaꞌi ra , èci-èci ka dènge ngara ra . Te ngaa dhèu ne abhu mèka anga dhu pamèci dènge nèngu .
Lalu , TUHAN Allah mendatangkan tidur yang lelap atas manusia itu . Ketika dia tidur , TUHAN mengambil salah satu tulang rusuknya , lalu menutupnya dengan daging . ||| Hèia Ama LAMATUA pabhèjꞌi luu dhèu neꞌe . Ropa na bhèjꞌi , Ama Lamatua nare rui karasa na calaa , ka Na pakateme hari nuꞌa deo na .
Tulang rusuk , yang telah TUHAN Allah ambil dari manusia itu , dibuat-Nya menjadi seorang perempuan dan dibawa-Nya kepada manusia itu . ||| Nèti rui ne , Na pajꞌajꞌi bhèni ca dhèu . Hèia Na pangèdꞌu bhèni ne mi dhèu èèna .
Kemudian , manusia itu berkata , “ Inilah tulang dari tulang-tulangku , dan daging dari dagingku ; dia akan disebut perempuan karena dia diambil dari laki-laki . ” ||| Ropa ladhe nèdhi bhèni ne , ka dhèu na peka , aku nèngu na , “ Waaa ! Neꞌe ne ku ! Sèmi neꞌe ku , heka pamèci dènge jaꞌa kèna ! Rui na , sama èci èèna ka dènge rui jaꞌa . Aa isi na , sama kahèi dènge isi jaꞌa . Lula nèngu ne , jꞌajꞌi nèti dhèu mone , nèti èèna ka jaꞌa pangare ne , ‘ dhèu bhèni ’ . ”
Karena itu , laki-laki akan meninggalkan ayahnya dan ibunya , lalu bersatu dengan istrinya sehingga mereka akan menjadi satu daging . ||| Nèti èèna ka , dhèu mone hudꞌi tèke eele ku ina-ama na , ho laꞌe mamuri dꞌara èci dènge dhèu èmu-kamali na , lula dua ra , jꞌajꞌi le èci .
Manusia dan istrinya itu , keduanya telanjang , tetapi mereka tidak merasa malu . ||| Lodꞌo èèna , dua ra dhu dènge boe mèdha-papake , te ngaa ra makae boe .
Ular adalah yang paling licik dari segala binatang di padang yang telah dijadikan oleh TUHAN Allah . Dia berkata kepada perempuan itu , “ Apakah Allah benar-benar berfirman , ‘ Kamu tidak boleh makan dari pohon mana pun di taman ini ? ’ ” ||| Nèti badha aaꞌi-aaꞌi dhu Ama LAMATUA pajꞌajꞌi ètu rai-haha ne , mege ka dhu mèu risi kapodꞌe-kabèli . Ca lodꞌo , mege karèi bhèni na , aku nèngu na , “ Tareꞌa , do ? Ama Lamatua kai miu baku miꞌa hua aajꞌu aaꞌi-aaꞌi ètu dꞌara oka neꞌe . ”
Perempuan itu berkata kepada ular , “ Kami boleh makan buah dari pohon-pohon di dalam taman , tetapi dari buah pohon yang ada di tengah taman , Allah telah berfirman , ‘ Kamu tidak boleh memakannya , kamu juga tidak boleh menyentuhnya , nanti kamu akan mati . ’ ” ||| Ka bhèni na bꞌala , “ Aadꞌo ! Jiꞌi bisa ngaꞌa ! Dhodhoka ajꞌu ca kapua ètu talora oka ne , Ama Lamatua kai , baku ngaꞌa hua na . Na peka na , jiꞌi baku ngaꞌa , aa baku gꞌagꞌe hua èèna kahèi , te aadꞌo na , jiꞌi madhe ! ”
Namun , ular itu berkata kepada perempuan itu , “ Kamu sama sekali tidak akan mati , ||| Te ngaa mege na dhaa , aku nèngu na , “ Waa ! Sèmi boe èèna ! Miu se madhe boe !
sebab Allah tahu bahwa pada hari kamu memakannya , matamu akan terbuka dan kamu akan menjadi seperti Allah , tahu yang baik dan yang jahat ! ” ||| Ama Lamatua mema kai tareꞌa sèmi èèna , lula dhu neꞌa le , ladhe miꞌe hua aajꞌu èèna , miu jꞌajꞌi dꞌèlu-mèu sèmi Nèngu . Ho èèna na meꞌa mia dhu beꞌa , aa mia dhu karehe . ”
Ketika perempuan itu melihat bahwa pohon itu baik sebagai makanan dan itu menarik bagi mata , dan pohon itu diinginkan untuk membuat seseorang bijaksana , dia pun memetik buahnya dan memakannya . Lalu , dia juga memberikannya kepada suaminya yang bersamanya , dan suaminya pun memakannya . ||| Aa bhèni ne ladhe na ajꞌu ne beꞌa titu kèna , dènge hua na ele boe kee . Na ngee , “ Ladhe jaꞌa kuꞌa hua ajꞌu neꞌe , jaꞌa dꞌèlu-mèu. ” Hèia puu nare ka hua ajꞌu èèna , ka naꞌe . Naꞌe nare , nèti hia dhèu èmu na , ka naꞌa kahèi .
Lalu , mata mereka berdua terbuka sehingga mereka tahu bahwa mereka telanjang . Kemudian , mereka menyemat daun-daun ara dan membuat cawat . ||| Raꞌa rare ka , heka reꞌa na rèngu dhu pake boe mèdha dhu hutu ua rèngu . Nèti èèna ka , ra lui rèu ajꞌu ho paꞌabhe era makae rèngu .
Ketika mereka mendengar suara TUHAN Allah yang berjalan di taman pada suatu hari yang sejuk , manusia dan istrinya itu menyembunyikan diri mereka dari hadapan TUHAN Allah di antara pohon-pohon di dalam taman . ||| Dꞌai lodꞌo nihia , dua ra tadèngi lii core haga Ama LAMATUA ètu dꞌara oka èèna . Ka dua ra rai lasi luꞌu asa ca bèka ajꞌu , sèna ka LAMATUA baku nèdhi si .
Namun , TUHAN Allah memanggil manusia itu dan berkata kepadanya , “ Di manakah kamu ? ” ||| Te ngaa Ama LAMATUA paroa mi dhèu mone èèna , aku Nèngu na , “ Adam ! Èu ètu mia ? ”
Dia menjawab , “ Aku mendengar suara-Mu di taman dan aku takut karena aku telanjang , jadi aku bersembunyi . ” ||| Hèia mone na dhaa , “ Jaꞌa tadèngi lii Lamatua ètu neꞌe . Te ngaa jaꞌa makae , lula jaꞌa pake boe mèdha ètu ua . Nèti èèna ka , jaꞌa rai pahuni iisi . ”
Kemudian , TUHAN berkata , “ Siapa yang memberitahukanmu kalau kamu telanjang ? Apakah kamu makan dari pohon yang kepadamu telah Kuperintahkan jangan kamu memakannya ? ” ||| Ka Lamatua peka na , “ Cee ka dhu peka , na èu dhu pake boe mèdha-papake ? De tasamia ? Tatu èu muꞌa le hua ajꞌu dhu Jaꞌa kai na , sina ma ? ”
Manusia itu berkata , “ Perempuan yang Engkau berikan untuk bersamaku itu , dialah yang telah memberikannya kepadaku dari pohon itu , maka aku pun memakannya . ” ||| Ka na bꞌala , peka na , “ Bhèni dhu Èu hia ho paꞌanga dènge jaꞌa èèna , ka dhu hia jaꞌa kuꞌa ! ”
Lalu , TUHAN Allah berkata kepada perempuan itu , “ Apa yang telah kaulakukan ? ” Perempuan itu menjawab , “ Ular itu menipuku , maka aku makan . ” ||| Hèia Ama LAMATUA peka dènge bhèni na , aku Nèngu na , “ Nga tao ka , èu adꞌu madha jꞌara èèna ? ” Ka bhèni ne dhaa , peka na , “ Te mege ne ka dhu agꞌo jaꞌa ! Nèti èèna ka , jaꞌa kuꞌa . ”
Kemudian , TUHAN Allah berkata kepada ular itu , “ Karena kamu telah melakukan hal ini , terkutuklah kamu di antara segala hewan ternak , dan di antara segala binatang liar di padang . Dengan perutmu , kamu akan berjalan , dan kamu akan makan debu tanah seumur hidupmu . ||| Èle èèna ka , Ama LAMATUA dhoo mege èèna , aku Nèngu na , “ Jaꞌa huku èu , lula tatao èu . Nèti badha aaꞌi-aaꞌi , dhoka èu di dhu abhu huku sèmi neꞌe . Mulai nèti deo neꞌe toke èu madhe , èu dhoka rodꞌo dènge kakara , aa muꞌa ètu rai di .
Aku akan mengadakan permusuhan antara kamu dengan perempuan ini , dan di antara keturunanmu dan keturunannya . Keturunannya akan meremukkan kepalamu , dan kamu akan meremukkan tumitnya . ” ||| Jaꞌa tao sèna ka , èu loe boe pamusu dènge bhèni ne . Aa ana-èpu miu dua mi sèmi èèna kahèi . Ana-èpu èu , èèna na kadhi hui tèdhu dhèu . Te ngaa ca dhèu nèti ana-èpu bhèni ne , èèna na dhedhe palaho kètu èu . ”
Kepada perempuan itu , Allah berfirman , “ Aku akan sangat melipatgandakan susah payahmu ketika mengandung ; dalam kesakitan kamu akan melahirkan anak-anak ; tetapi kamu tetap akan berahi kepada suamimu , dan dia akan berkuasa atasmu . ” ||| Èle èèna ka , Ama Lamatua peka dènge bhèni ne , “ Èèna na , Jaꞌa pasusa tabha èu , ropa èu dènge babia ; lodꞌo mora iisi , èu asa tabha jꞌèra . Masi ka sèmi èèna , dꞌara èu dꞌèi taruu dhèu èmu èu , aa nèngu ka dhu ator èu . ”
Lalu , kepada manusia itu , Dia berfirman , “ Karena kamu mendengarkan suara istrimu , dan telah makan dari pohon yang kepadamu telah Kuperintahkan , ‘ Jangan kamu memakannya , ’ terkutuklah tanah karena kamu ! Dengan susah payah kamu akan makan dari hasilnya selama hari-hari hidupmu . ||| Ka Ama Lamatua peka dènge mone ne , “ Èu madhutu boe lii paredha Jaꞌa , te ngaa èu nanene dhoka lii dhèu èmu èu di , ka èu muꞌa hua ajꞌu dhu Jaꞌa kai èèna . Nèti èèna ka , èu abhu huku kahèi . Aa rai lèke huku kahèi . Nèti deo neꞌe , toke dꞌai èu madhe , hudꞌi èu kabèli rai , heka èu abhu ngangaꞌa kèna . Dènge sabꞌa bia sèmi neꞌe ka , èu heka mamuri kèna .
Semak duri dan rumput liarlah yang akan ditumbuhkan bagimu , dan kamu akan memakan tumbuh-tumbuhan di padang . ||| Masi ka èu sèle rupa-rupa hini èèna ka , te ngaa dhu muri mai dhodhoka dhudhu-sete di .
Dengan keringat di wajahmu , kamu akan makan roti , sampai kamu kembali kepada tanah yang darinya kamu diambil . Sebab , kamu adalah debu , dan kamu akan kembali kepada debu . ||| Hudꞌi èu èi kabhèsu haa ku , heka rai hia èu ngangaꞌa kèna . Èu hudꞌi sabꞌa bia sèmi èèna ku , toke dꞌai lodꞌo èu madhe . Èu ne , Jaꞌa pajꞌajꞌi nèti rai . De ladhe èu madhe , èu jꞌajꞌi hari rai . ”
Manusia itu menyebut istrinya Hawa karena dia adalah ibu dari semua yang hidup . ||| Èle èèna ka , Adam pangare dhèu èmu na ‘ Hawa ’ ( dhu sasoa na ‘ dhu mamuri ’ ) , te nèngu ka jꞌajꞌi ina nèti dhèu dhu mamuri aaꞌi-aaꞌi .
TUHAN Allah membuat pakaian dari kulit untuk manusia dan istrinya itu , lalu mengenakannya kepada mereka . ||| Hèia Ama LAMATUA tao mèdha-papake nèti kaꞌuri badha , ka papake dua ra .
Setelah itu , TUHAN Allah berfirman , “ Lihatlah , manusia itu menjadi seperti salah satu dari Kita , tahu tentang yang baik dan yang jahat . Sekarang , jangan sampai dia mengulurkan tangannya dan mengambil juga dari pohon kehidupan , lalu memakannya dan hidup selama-lamanya . ” ||| Ka Ama LAMATUA peka , “ Limuri ne , dhèu reꞌa le , mia dhu beꞌa dènge mia dhu karehe , sèmi Èdhi kahèi . De mage dhoka , rèngu raꞌa hua ajꞌu dhu èci hari na , dhu hia mamuri taa-taa . ”
Karena itu , TUHAN Allah menyuruhnya keluar dari taman Eden untuk mengolah tanah yang dari itu dia diambil . ||| Èle èèna ka , Na babèga eele si nèti dꞌara oka Eden èèna , ho lasi asa era leo , sèna ka ra mamuri dènge sabꞌe oka-tedhe . Lula dhèu jꞌajꞌi nèti rai , de mamuri kahèi nèti rai .
