word,freq_count,target_text,source_text
betel,12,"Èle èèna ka, Abram si pidha hari asa ledhe re balèu. Ka ra pea taha ètu talora rae Betel dènge rae Ai. Ètu èèna, na patitu mei korban èci ho na mangajꞌi mi LAMATUA.","Dari tempat itu, dia pindah ke pegunungan di sebelah timur Betel dan membentangkan tendanya dengan Betel di sebelah barat dan Ai di sebelah timur. Di sana, dia mendirikan mazbah bagi TUHAN dan memanggil nama TUHAN."
efron,12,"Ka na padhai lii, peka na, “Ladhe miu sèmi lii jaꞌa na, jaꞌa manèngi ho peka dènge ana mone Sohar, dhu ngara na Efron.","Dia berkata kepada mereka, “Jika kamu telah menyetujui agar aku dapat menguburkan orang matiku dari hadapanku ini, dengarkanlah aku dan temuilah Efron keturunan Zohar itu demi aku,"
edom,12,"Ka na peka dènge Yakob, aku nèngu na, “Ari, ee! Hia ku jaꞌa bubur kabꞌui mea ciki ètu dꞌara èru èèna, ho jaꞌa kuꞌa! Te jaꞌa manganga bia.” (Nèti èèna ka, ra pangare na, Edom, dhu sasoa na ‘mea’.)","Lalu, Esau berkata kepada Yakub, “Aku mohon kepadamu, biarkanlah aku makan sedikit dari yang merah-merah itu sebab aku sangat lelah.” Oleh sebab itu, orang menamakannya Edom."
merayap,11,"Ka Ama Lamatua peka hari, aku Nèngu na, “Hua iia, mai Ta pajꞌajꞌi dhèu, madhutu rupa Èdhi. Hudꞌi laa ra leru dènge ator iꞌa aaꞌi-aaꞌi ètu dꞌara dhasi, manu-bhui aaꞌi-aaꞌi ètu dedha-liru, badha-manu dhu ani, dènge badha leo aaꞌi-aaꞌi ra dhu mamuri ètu rai-haha ne.”","Kemudian, Allah berfirman, “Sekarang, mari Kita membuat manusia dalam rupa Kita, menurut keserupaan Kita. Biarlah mereka berkuasa atas ikan-ikan di laut, atas burung-burung di udara, atas ternak, atas seluruh bumi, dan atas segala yang melata yang merayap di bumi.”"
bersyeba,11,"Bèli madꞌae aae èèna, Abraham tao gee jꞌara hia Hagar, aa na kadhoe èi dꞌara baboꞌi cue mi kabela-kao na. Hèia na patabuli ka bhèni ne dènge ana na Ismael, ho lasi. Ka ra kako palème dꞌara mamoo dhu dètu dènge Beer-Syeba.","Kemudian, Abraham bangun pagi-pagi sekali, lalu mengambil roti serta kantong kulit yang berisi air, dan memberikannya kepada Hagar. Dia meletakkan makanan dan air itu di pundak Hagar dan menyerahkan anak itu kepadanya, lalu menyuruh mereka pergi. Lalu, perempuan itu pergi mengembara di padang belantara Bersyeba."
tugu,11,"Dꞌara madꞌae aae era, Yakob kèdꞌi le èèna. Ka nare hadhu dhu na tao lalaka deo na. Hèia na patitu jꞌajꞌi mi tadha. Ka na bhori èi mènyi asa dedha hadhu èèna, hèia na mangajꞌi mi Lamatua.","Karena itu, Yakub bangun pagi-pagi benar dan mengambil batu yang diletakkannya di bawah kepalanya. Lalu, dia menyusunnya menjadi sebuah tugu dan mencurahkan minyak ke atasnya."
ham,10,"Lodꞌo Noh mamuri dꞌai 500 (lèmi ngasu) tèu, na matana ana mone dhèu tèlu, Sem, Yafet dènge Ham.","Ketika Nuh hidup selama 500 tahun, Sem, Ham, dan Yafet lahir baginya."
mamre,10,"Hèia Abram si lèpa hari asa era pea ra, dhu dètu dènge ajꞌu-ajꞌu aae ètu Mamre, dhu padètu dènge Hebron. Èle èèna ka, na pudhi hadhu tao mei korban ho na mangajꞌi LAMATUA ètu èèna.","Setelah itu, Abram memindahkan tendanya dan tinggal di dekat pohon-pohon tarbantin Mamre, di Hebron. Di sana, dia membangun mazbah bagi TUHAN."
bermimpi,10,"Dꞌara mèda èèna, na nii. Na ladhe nèdhi langa èci dhu patitu ètu rai, suu na dꞌai dedha-liru. Ka ana pajuu Ama Lamatua nèti sorga, caꞌe-puru ètu dedha langa èèna.","Kemudian, dia bermimpi, dan lihatlah, sebuah tangga didirikan di atas bumi yang ujungnya sampai ke langit. Lihatlah, para malaikat Allah turun naik melaluinya."
gosyen,10,"Ho èèna na, ama pea ètu rai Gosen padètu dènge nèngu. Era na beꞌa aa taleo. Sèna ka ama bisa piara kahibꞌi-kalèbho, kahibꞌi-kaꞌia dènge sapi aaꞌi-aaꞌi ra. Aa na manèngi kahèi ho ama laꞌe dènge ana-èpu, dènge isi èmu, dènge mèdha-panyau, ho pea taruu mi nèi.","Engkau akan tinggal di tanah Gosyen dan engkau akan dekat denganku, engkau, dan anak-anakmu, dan anak-anak dari anak-anakmu, dan kawanan kambing dombamu, dan ternakmu, dan segala yang engkau miliki."
permukaan,9,"Lodꞌo rai-haha jꞌajꞌi mèka, aaꞌi-aaꞌi dhae mèci mèka. Dhu abhu, èi. Aa maroga aatu-aatu saguru nare ne. Ka Roh Lamatua lela ètu dedha èi èèna.","Bumi tidak berbentuk dan kosong, kegelapan menutupi permukaan samudra, dan Roh Allah melayang-layang di atas permukaan air."
cakrawala,9,"Hèia Ama Lamatua lii hari, Na peka, “Hudꞌi dènge ku era talele, sèna ka hagꞌe eele èi. Nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha.” Ropa peka nare sèmi èèna, hèia èi bꞌagi dènge mi dua.","Kemudian, Allah berfirman, “Jadilah cakrawala di tengah-tengah air untuk memisahkan air dari air!” Lalu, Allah membuat cakrawala dan memisahkan air yang ada di atas cakrawala itu dari air yang ada di bawah cakrawala itu. Lalu, jadilah demikian."
yafet,9,"Lodꞌo Noh mamuri dꞌai 500 (lèmi ngasu) tèu, na matana ana mone dhèu tèlu, Sem, Yafet dènge Ham.","Ketika Nuh hidup selama 500 tahun, Sem, Ham, dan Yafet lahir baginya."
seir,9,"dènge dhèu Hori dhu ètu ledhe Seir, dꞌai sebhe mamoo El Paran.","dan orang Hori yang tinggal di pegunungan mereka, Seir, sampai ke El-Paran di pinggir padang belantara."
betuel,9,"Ka na abhu hari Kesed, Haso, Pildas, Yidlaf, dènge Betuel.","Kemudian, Kesed, Hazo, Pildash, Yidlaf, dan Betuel.”"
bilha,9,"Ka Laban hia ènu na dhèu bhèni èci, ngara na Bilha, sèna ka jꞌajꞌi mi ènu Rahel.","Laban memberikan hamba perempuannya, Bilha, kepada anaknya, Rahel, untuk menjadi hamba bagi anaknya itu."
kakaknya,9,"Te ngaa Rahel dhu abhu mèka ana. Nèti èèna ka, nèngu tèke dꞌara dènge aꞌa na. Hèia na peka dènge dhèu èmu na, “Aꞌa! Hia ku jaꞌa ana laa, ma. Ladhe aadꞌo, beꞌa risi jaꞌa madhe ka laa.”","Ketika Rahel melihat bahwa dia tidak melahirkan anak bagi Yakub, dia cemburu terhadap kakaknya dan berkata kepada Yakub, “Berikanlah anak untukku, kalau tidak, aku akan mati!”"
piala,9,"Aa jaꞌa kèdꞌu galaa dhu dhèu aae biasa pake ninu. Jaꞌa puu hua anggor, ka pacèli èi sa dꞌara galaa deo na. Hèia kèti asa dhèu aae, hia na ninu.”","Pada saat itu, di tanganku ada piala Firaun, lalu aku memetik buah anggur itu dan memerasnya ke dalam piala Firaun. Kemudian, aku memberikan piala itu ke tangan Firaun.”"
adikku,8,"Ka LAMATUA karèi Kaen, aku Nèngu na, “Kaen! Ari mu ka mia?” Hèia Kaen dhaa, aku nèngu na, “Jaꞌa keꞌa boe na ètu mia! Èu ngee na, jaꞌa dhèu kèpe haga na, do?”","Lalu, TUHAN bertanya kepada Kain, “Di mana Habel, adikmu?” Kain menjawab, “Aku tidak tahu. Apakah aku penjaga adikku?”"
menetap,8,"Hèia Kaen tèke eele dènge era èèna. Laꞌe pakajꞌèu nèti LAMATUA, asa era èci, ètu bèka dhimu oka Eden. Era neꞌe, ngara na Nod dhu sasoa na, ‘lole-laa’. Ka na pea ètu era èèna.","Lalu, Kain pergi dari hadapan TUHAN dan menetap di tanah Nod, sebelah timur Eden."
filistin,8,"dhèu Patrusim, dhèu Kasluhim, dènge dhèu Kaftorim. Dhèu Kasluhim nuka bèi-baki nèti dhèu Pilistin.","Patrusim, Kasluhim, yang adalah nenek moyang bangsa Filistin, dan Kaftorim."
gerar,8,"toke too rai rèngu mulai nèti Sidon taruu asa Gerar, dꞌai Gasa. Nèti èèna, laꞌe dꞌai Sodom, Gomora, Adma dènge Seboim, dꞌai kota Lasa.","Wilayah orang Kanaan membentang dari Sidon ke arah Gerar sampai ke Gaza, dan ke arah Sodom, Gomora, Adma, Zeboim, sampai ke Lasa."
aram,8,"Ana-èpu Sem, ka: Elam, Asyur, Arpaksad, Lud dènge Aram.","Keturunan Sem adalah Elam, Asyur, Arpakhsad, Lud, dan Aram."
perempuanmu,8,"Bèli madꞌae aae era, ana pajuu Lamatua dhèu dua se, pakaseti Lot si, ho lasi karohe asa era kajꞌèu. Ra peka na, “Lami ka! Ère mèti dhèu èmu mu, dènge ana bhèni èu dhèu dua sèra, ho rai ka. Tèke eele kota neꞌe! Mage dhoka miu madhe aaꞌi palere-lere dènge kota ne.”","Pada waktu fajar, malaikat-malaikat itu mendesak Lot, katanya, “Bangun! Bawa istri dan kedua anak perempuanmu yang ada di sini, atau kamu juga akan dibinasakan dalam penghukuman kota ini!”"
pangkal,8,"Abraham dhu dènge dhèu èci dhu na lèka ho ladhe-leru mèdha-panyau na. Ca lodꞌo, Abraham paroa nare, ka peka dènge ne, aku nèngu na, “Mu pasa dhilu èu paie-iie! Jaꞌa manèngi sèna ka èu subha madhe dènge kolongara LAMATUA. Nèngu ka, Ama Lamatua dhu tao dedha-liru dènge rai-haha ne. Dhu peka na, èu bisa boe more ana bhèni nèti dhèu Kanaꞌan, ho paleo dènge ana jaꞌa Isak.","Abraham berkata kepada hambanya yang tertua dalam rumahnya, yaitu hambanya yang bertanggung jawab atas seluruh harta miliknya, “Letakkanlah tanganmu di bawah pangkal pahaku. Aku mau supaya kamu bersumpah demi TUHAN, yaitu Allah langit dan Allah bumi, bahwa kamu tidak akan mengambil istri bagi anakku dari anak-anak perempuan Kanaan yang di tengah-tengahnya aku berdiam ini."
bertutul,8,"Ladhe moꞌo, deo neꞌe kahèi, jaꞌa laku asa badha-manu toꞌo sèi, ho hagꞌe si. Mia dhu dènge boe katèdꞌa aa dènge boe karata, sèra sa unu toꞌo ku taruu. Te ngaa mia dhu dènge katèdꞌa aa dhu karata, hia mi jaꞌa. Dènge kahibꞌi-kalèbho dhu mèdhi, jaꞌa kora aaꞌi si. Seꞌe se, hudꞌi laa jꞌajꞌi mi babꞌae rui-jꞌajꞌèra jaꞌa.","Hari ini, izinkan aku berjalan di antara kawanan kambing dombamu untuk memisahkan dari situ setiap domba yang berbintik-bintik dan bertutul, dan setiap anak domba yang berwarna gelap, dan setiap kambing yang bertutul atau berbintik-bintik. Itulah yang akan menjadi upahku."
ana,8,"Esau leo dènge ana bhèni Kanaꞌan dhèu dua. Èci dhèu Het, ana bhèni nèti Elon, ngara na Ada. Dhèu èmu na èci hari, dhèu Hewi, ngara na Oholibama. Ama na, ngara na Anah, aa baki na Sibeon.","Esau mengambil istri dari anak-anak perempuan Kanaan, yaitu Ada, anak Elon, orang Het; Oholibama, anak Ana, anak perempuan Zibeon, orang Hewi;"
karungnya,8,"Èle èèna ka, Yusuf paredha dhèu sabꞌa sèra, ho soli are asa dꞌara karo aꞌa na si. Aa tao hari doi kabꞌua are sèra, asa dꞌara karo ra èci-èci. Ra tèke ètu hèbꞌa karo sèra. Na pua dhèu sabꞌa seꞌe, ho hia si dènge gee. Ka dhèu sabꞌa seꞌe lalau ka, madhutu ngaa dhu Yusuf paredha.","Setelah itu, Yusuf memerintahkan untuk mengisi karung-karung mereka dengan gandum, mengembalikan uang masing-masing orang ke dalam karungnya, dan memberikan bekal untuk perjalanan kepada mereka. Dilaksanakanlah hal itu bagi mereka."
petang,7,"Ka pangare saraa ne ‘mèu’, aa maroga na ‘mèda’. Neꞌe ne, lodꞌo ka èci kèna.","Allah menyebut terang itu siang dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama."
lahirlah,7,"Ka Henok matana Irad. Hèia Irad matana Mehuyael. Mehuyael matana Metusael. Aa ana Metusael, Lamek.","Bagi Henokh, lahirlah Irad, dan Irad adalah ayah Mehuyael. Mehuyael adalah ayah Metusael, dan Metusael adalah ayah Lamekh."
milka,7,"Abram madhèdi dènge Sarai. Nahor leo dènge ana bhèni Haran, ngara na Milka. Haran abhu ana mone èci kahèi, ngara na Yiska.","Abram dan Nahor mengambil istri. Istri Abram bernama Sarai dan istri Nahor bernama Milka, anak Haran, ayah Milka dan Yiska."
zoar,7,"Hèia Lot ladhe palème. Ka na ladhe nèdhi rai taleo ètu sebhe loko Yarden dhu madha èi ae, toke dꞌai rae Soar. Era ne, rai hèu mèngi sama sèmi oka LAMATUA, dènge rai Masir kahèi. (Lodꞌo èèna, LAMATUA dhae huku mèka kota Sodom dènge kota Gomora. De rai èèna, beꞌa era.)","Lalu, Lot mengarahkan matanya dan melihat seluruh Lembah Yordan, yang terairi dengan baik di mana-mana seperti taman TUHAN, seperti tanah Mesir ke arah Zoar. Keadaan itu adalah sebelum TUHAN membinasakan Sodom dan Gomora."
lezat,7,"Mu pananasu pabeꞌa-beꞌa, madhutu dadꞌèi jaꞌa, ho mèti mai hia jaꞌa. Ladhe kuꞌa-kinu kora, jaꞌa hia mema èu mèngi-nale. Sadꞌi èu unu le mèngi-nale èèna, jaꞌa madhe èèna ka, ngaa-ngaa tao heka.”","Lalu, olahlah makanan lezat bagiku, seperti yang aku suka, dan bawalah kemari untuk kumakan supaya aku dapat memberkatimu sebelum aku mati.”"
zilpa,7,"Ropa dꞌai mèda èèna, Laban hia boe Rahel, te ngaa na pua Lea maso asa dꞌara paleo Yakob. Ka Yakob jꞌunu dènge ne. Asa bèli èèna, Yakob heka neꞌa kèna, nèngu dhu leo dènge Lea di. Hèia Yakob laꞌe patao dènge Laban, aku nèngu na, “Nga tao ka, toꞌo pasèru jaꞌa sèmi neꞌe? Jaꞌa sabꞌa sèmi ènu pidhu tèu kateme hia mi èu, sèna ka bisa abhu Rahel! Nga tao ka toꞌo pasilu dènge Lea?” Ka Laban dhaa, “Baku nasa ku! Madhutu adꞌa jiꞌi ètu rai neꞌe, ari bisa boe leo uuru èmu nèti aꞌa. De beꞌa risi sèmi neꞌe! Èu mate hari ku pidhu lodꞌo, dꞌai èle tatao ne, heka èu abhu Rahel kèna. Sadꞌi èu sabꞌa hari hia jaꞌa pidhu tèu.” Hèia Laban pangèdꞌu dènge ènu bhèni èci, hia mi Lea. Ngara na Silpa.","Malam itu, Laban mengambil anak perempuannya, Lea, dan membawanya kepada Yakub. Lalu, Yakub bersetubuh dengannya. Laban juga memberikan hamba perempuannya, Zilpa, kepada anaknya, Lea, untuk menjadi hamba anaknya itu. Keesokan paginya, lihatlah, itu adalah Lea! Karena itu, Yakub berkata kepada Laban, “Apa yang engkau lakukan terhadapku? Bukankah aku bekerja untukmu demi Rahel? Lalu, mengapa engkau menipuku?” Laban menjawab, “Bukan kebiasaan di negeri kami untuk memberikan yang termuda sebelum yang sulung. Genapilah dahulu 7 hari baginya, lalu kami akan memberikan dia juga kepadamu asalkan kamu kembali bekerja untukku selama tujuh tahun lagi.”"
dina,7,"Ka Lea nara iisi hari, te ngaa ana bhèni, ka na pangare na, Dina.","Setelah itu, dia melahirkan seorang anak perempuan dan menamainya Dina."
tumpukan,7,"Hèia Yakob pua dhèu sabꞌa na, lasi udhu hadhu. Ka ra madhèdi raꞌa-rinu ètu era èèna, padètu dènge hadhu sèra.","Yakub berkata kepada saudara-saudaranya, “Kumpulkanlah batu-batu.” Lalu, mereka mengambil batu-batu dan membuat satu tumpukan. Setelah itu, mereka makan di sana, di dekat tumpukan itu."
oholibama,7,"Esau leo dènge ana bhèni Kanaꞌan dhèu dua. Èci dhèu Het, ana bhèni nèti Elon, ngara na Ada. Dhèu èmu na èci hari, dhèu Hewi, ngara na Oholibama. Ama na, ngara na Anah, aa baki na Sibeon.","Esau mengambil istri dari anak-anak perempuan Kanaan, yaitu Ada, anak Elon, orang Het; Oholibama, anak Ana, anak perempuan Zibeon, orang Hewi;"
elifas,7,"Ada, dhèu èmu uuru Esau, nara iisi Elifas. Basmat matana Rahuel.","Lalu, Ada melahirkan Elifas bagi Esau, Basmat melahirkan Rehuel,"
penggantinya,7,"Ropa Bela madhe, ra dedꞌe Yobab ho gati ne, jꞌajꞌi dhèu aae. Ama na, ngara na Sera, nèti rae Bosra.","Setelah Bela mati, yang memerintah sebagai penggantinya adalah Yobab, anak Zerah, dari Bozra."
kurus,7,"Nèbhu boe, sapi pidhu ngiꞌu dhu leo hari, kalua nèti dꞌara loko deo na. Ngiꞌu sapi sèra malaka-godꞌa. Ra titu padètu dènge sapi kabèbꞌu sèra.","Kemudian, lihatlah, dari sungai muncul tujuh ekor sapi betina lainnya, yang kelihatan buruk dan kurus badannya, dan berdiri dengan sapi-sapi lainnya di tepi sungai itu."
berlipatgandalah,6,"Ka Na padhai lii ho sèna ka hia berkat mi aaꞌi-aaꞌi dhu mamuri, peka na, “Iꞌa se, hudꞌi laa bèba-kacanga sèna ka papènu èi ètu mia-mia. Aa manu-bhui, asa tabha kahèi.”","Allah memberkatinya, firman-Nya, “Berkembangbiaklah, dan berlipatgandalah, dan penuhilah air di lautan, dan biarlah burung-burung berlipat ganda di bumi.”"
eden,6,"Hèia Ama LAMATUA bhoke oka cue ètu rai Eden, re bèka dhimu. Hèia Na hia dhèu ne pea ètu dꞌara oka na.","Lalu, TUHAN Allah membuat sebuah taman di sebelah timur, di Eden, dan di sana Dia menempatkan manusia yang telah dibentuk-Nya itu."
cantik,6,"Ana-ana mone nèti Lamatua ladhe rèdhi ana bhèni nèti dhèu rai-haha se, bhèni iia hua. Ka lasi todhe rare ana bhèni mia dhu ra dꞌèi.","anak-anak Allah melihat bahwa anak-anak perempuan manusia itu cantik, lalu mereka mengambil istri-istri yang mereka pilih untuk diri mereka sendiri."
sulungnya,6,"Ana uuru Kanaꞌan, nuka, Sidon. Kanaꞌan jꞌajꞌi bèi-baki nèti dhèu Het,","Kanaan adalah ayah Sidon, anak sulungnya, dan Het,"
amori,6,"dhèu Yebusi, dhèu Amori, dhèu Girgasi,","dan orang Yebusi, orang Amori, orang Girgasi,"
selah,6,"Ana Arpaksad ka, Sela. Ana Sela ka, Eber.",Arpakhsad adalah ayah Selah; dan Selah adalah ayah Eber.
tarbantin,6,"Dꞌai era èèna, Abram kako palème rai ne, toke dꞌai padètu dènge rae èci, ngara na Sikem. Ka ra pea taha ètu èèna, padètu dènge ajꞌu aae ca kapua ètu More. Lodꞌo èèna, dhèu Kanaꞌan dhu pea ètu èèna era.","Abram berjalan melalui tanah itu sampai ke suatu tempat di Sikhem, di pohon tarbantin More. Pada masa itu, orang Kanaan tinggal di tanah itu."
hori,6,"dènge dhèu Hori dhu ètu ledhe Seir, dꞌai sebhe mamoo El Paran.","dan orang Hori yang tinggal di pegunungan mereka, Seir, sampai ke El-Paran di pinggir padang belantara."
sesudahmu,6,"Jaꞌa sanèdꞌe taruu lii pajaji Jaꞌa dènge èu, aa dènge ana-èpu èu sèra. Lii pajaji ne maꞌète boe toke taa-taa, lula Jaꞌa neꞌe ka Ama Lamatua nèti èu dènge ana-èpu mu.","Aku akan meneguhkan perjanjian antara Aku dan kamu, dan keturunan-keturunan sesudahmu dalam generasi mereka, untuk suatu perjanjian yang kekal, yaitu Aku akan menjadi Allah bagimu dan bagi keturunan-keturunan sesudahmu."
kakakku,6,"Hèia Abimelek dhaa, peka na, “Lamatua! Jaꞌa dhae paꞌèci mèka dènge bhèni na. Aa jaꞌa sasala aadꞌo. Abraham unu na ka dhu peka, bhèni na, ana hèni nèngu! Aa bhèni na dhaa sèmi èèna kahèi. Nèti èèna ka, jaꞌa hia dhèu lasi lii dꞌai ne, dènge dꞌara mola. De Lamatua baku padꞌui jaꞌa sasala!”","Namun, Abimelekh belum mendekati Sara dan dia berkata, “Tuhan, apakah Engkau akan membunuh bangsa yang tidak bersalah? Bukankah dia sendiri yang berkata kepadaku, ‘Perempuan ini adalah adikku,’? Lalu, bukankah perempuan itu juga berkata, ‘Laki-laki ini adalah kakakku,’? Aku melakukan ini dalam ketulusan hatiku dan ketidakbersalahan tanganku.”"
syikal,6,"Èle èèna ka, dhèu aae Abimelek pangèdꞌu hari Sara laꞌe asa Abraham. Ka na peka dènge Sara, “Èèna na, jaꞌa hia ana mone mu doi iia ca riho, sèna ka jꞌajꞌi tadha jaꞌa tao boe sala ngaa-ngaa mi èu. Ho hudꞌi sène, dhèu aaꞌi-aaꞌi ra reꞌa!” Hèia dhèu aae peka dènge Abraham, aku nèngu na, “Kabarai jaꞌa ne, dhu bhoke tèke hia èu. Èu neo pea mi era mia èèna ka, jaꞌa hia èu.” Ka Abimelek hia Abraham sapi, kahibꞌi-kaꞌia, dènge kahibꞌi-kalèbho. Na hia kahèi ènu dhèu mone dènge dhèu bhèni.","Abimelekh mengambil domba, sapi, serta hamba laki-laki dan perempuan, lalu memberikannya kepada Abraham. Abimelekh juga mengembalikan Sara, istri Abraham, kepadanya. Kata Abimelekh, “Lihatlah, negeriku ada di hadapanmu. Tinggallah di mana pun kamu suka.” Abimelekh berkata kepada Sara, “Dengarlah, aku memberikan 1000 syikal perak kepada kakakmu sebagai bukti kesucianmu di hadapan semua orang yang bersama-sama denganmu. Di hadapan semua orang, namamu dibersihkan.”"
menamakan,6,"Èle èèna ka, LAMATUA hia Sara mèngi-nale madhutu lii pajaji Na. Lodꞌo Sara dènge babia, Abraham dhu heka le. Ropa Sara nara iisi, umur Abraham dꞌai cangasu tèu kèna. Lodꞌo Sara dꞌai hèru, ka nara iisi ana mone ca dhèu. Ka Abraham pangare ne, Isak (dhu sasoa na ‘na mari’). Sara peka hèi, aku nèngu na, “Ama Lamatua tao jaꞌa mari, lula jaꞌa karejꞌe. Dhèu ae ka dhu pangee na, jaꞌa ètu dꞌara heka sèmi neꞌe ne, abhu heka ana. Masi ka dhèu èmu jaꞌa heka bhoro le, te jaꞌa bisa kora iisi ana hia ne. Èèna na, ladhe dhèu tadèngi jꞌara neꞌe, rèngu aaꞌi-aaꞌi ra mari kahèi dènge jaꞌa ne.” Ropa Isak dꞌai aru lodꞌo, Abraham suna ne, madhutu paredha Ama Lamatua.","TUHAN mengunjungi Sara seperti yang difirmankan-Nya, dan TUHAN melakukan kepada Sara seperti yang telah difirmankan-Nya. Jadi, Sara mengandung dan melahirkan seorang anak laki-laki bagi Abraham pada masa tuanya, sesuai dengan waktu yang telah difirmankan Allah kepadanya. Abraham menamakan anak yang lahir baginya itu Ishak, yaitu anak yang telah dilahirkan oleh Sara baginya. Lalu, Abraham menyunat Ishak, anak laki-lakinya itu, ketika berumur 8 hari, seperti yang diperintahkan Allah kepadanya. Abraham berumur 100 tahun ketika Ishak lahir. Sara berkata, “Allah telah membuatku tertawa, dan setiap orang yang mendengar hal ini akan tertawa bersamaku.” Dia berkata lagi, “Dahulu, siapakah yang dapat mengatakan kepada Abraham bahwa Sara akan menyusui anak? Namun, aku telah melahirkan seorang anak laki-laki baginya, pada masa tuanya.”"
makhpela,6,"Peka dènge ne, ladhe na dꞌèi, na pahia dènge jaꞌa loe na, Makpela, dhu ètu karasa oka na. Na manèngi ca ngaa èèna ka, jaꞌa tihe. Jaꞌa neo tihe pamaꞌète kabꞌua na, ètu madha miu aaꞌi-aaꞌi mi, sèna ka rai èèna jꞌajꞌi unu jaꞌa. Jaꞌa neo tao era èèna, jꞌajꞌi mi roꞌa dhèu madhe jiꞌi.”","supaya dia memberikan kepadaku Gua Makhpela, yang adalah miliknya, yang terletak di ujung ladangnya. Biarlah dia memberikannya kepadaku dengan harga penuh sebagai tempat pekuburan di tengah-tengah kamu.”"
